Temperature,Path,Final_Rw,a,vol,outlier_pct,VO_Total,VO_Outliers,VO_Outlier_Pct,Uiso_O_Phase0,Uiso_O_Phase0_err,Uiso_V_Phase0,Uiso_V_Phase0_err,Uiso_Zr_Phase0,Uiso_Zr_Phase0_err,delta2_Phase0,delta2_Phase0_err,psize_Phase0,psize_Phase0_err,s_Phase0,s_Phase0_err
372,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_372C_avg_426_445_00000,0.1376173592239324,26.431,18464.637420991003,0,800,122,15.25,0.0100374208,3990530220000.0,0.00297260698,1866101680000.0,0.0018625565,1449991420000.0,2.55378575,646779543000000.0,197.697407,52231586700000.0,0.503894096,352765128000.0
427,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_427C_avg_446_465_00000,0.1360283683275542,26.4262,18454.579440032732,0,805,111,13.788819875776397,0.00987932114,4249090930000.0,0.00311553768,2157785880000.0,0.0023045316,1718719020000.0,2.41665762,1437598580000000.0,227.901067,52016832200000.0,0.491085444,399433877000.0
481,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_481C_avg_466_485_00000,0.1537740267432757,26.421,18443.687416460998,0,800,125,15.625,0.0119599976,24352843200000.0,0.00405968891,10552330000000.0,0.00360599357,11450293900000.0,2.54694241,4369566660000000.0,165.578881,283853836000000.0,0.503929721,2794271750000.0
536,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_536C_avg_486_505_00000,0.1540393375648706,26.4156,18432.381005908417,0,800,117,14.625,0.01328793,2.38155495e+18,0.00424549386,1.75247518e+18,0.00419399879,3.53852594e+18,2.55614462,247099108000000.0,152.841204,6.95523853e+18,0.508425224,3.97263289e+17
590,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_590C_avg_506_525_00000,0.1742422850644594,26.407,18414.384041143,0,800,125,15.625,0.0175970346,4674839630000.0,0.00541826229,1347885570000.0,0.00514699038,1344766300000.0,2.72349751,101851617000000.0,142.705363,31550529000000.0,0.504201558,211841698000.0
644,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_644C_avg_526_545_00000,0.1824128193260004,26.4053,18410.82788887688,0,800,125,15.625,0.0154859389,49571537900000.0,0.00561002407,18286796700000.0,0.00612393816,23253044500000.0,2.56622311,2386949860000000.0,136.301425,430283333000000.0,0.506304325,3754976520000.0
650,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_650C_avg_546_565_00000,0.17863781279721,26.4049,18409.99121370965,0,805,114,14.161490683229813,0.0167439956,45425172400000.0,0.00515324902,15353799400000.0,0.00592465569,19132436200000.0,2.58118854,1975819040000000.0,167.943261,371601445000000.0,0.492214419,2949949510000.0
655,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_655C_avg_566_585_00000,0.18677340364429,26.404,18408.108787264,0,800,125,15.625,0.0158089788,24494676000000.0,0.00571948157,7747049540000.0,0.00638418414,10797247800000.0,2.56605694,1102998980000000.0,134.463672,196545794000000.0,0.505642734,1766015140000.0
661,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_661C_avg_586_605_00000,0.187822192856516,26.4059,18412.08294915738,0,800,125,15.625,0.0155547024,4159256190000.0,0.00570141075,1170552410000.0,0.00660167721,1497905620000.0,2.55776713,132078024000000.0,133.680956,28198961300000.0,0.505276842,263312732000.0
666,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_666C_avg_606_625_00000,0.1819526452947944,26.4006,18400.99855651222,0,800,117,14.625,0.015702162,45293670600000.0,0.00524896896,18407005300000.0,0.00626337601,25053869500000.0,2.56261776,1367101910000000.0,170.111775,474100477000000.0,0.48888106,3189129110000.0
672,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_672C_avg_626_645_00000,0.188453696092547,26.4055,18411.246235966377,0,800,125,15.625,0.0161189947,3.29148388e+19,0.00553910072,8.55745441e+18,0.00661110561,7.12130511e+18,2.55584126,124772915000000.0,131.953639,6.80379343e+20,0.506722146,3.9255731e+18
677,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_677C_avg_646_665_00000,0.1792808895296989,26.4029,18405.808218096387,0,806,114,14.1439205955335,0.0148183743,8.56113314e+18,0.00494872564,8.94064178e+17,0.00619988676,7.45215136e+18,2.45668613,519630408000000.0,163.605193,1.53412364e+19,0.491177839,1.04402512e+18
688,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_688C_avg_666_685_00000,0.1886656513981106,26.4031,18406.226489141787,0,800,125,15.625,0.0164010031,61684645900000.0,0.00539619599,17655311700000.0,0.00669980444,21613066700000.0,2.54228203,1779806760000000.0,158.323171,390050366000000.0,0.493711528,3005450760000.0
699,fits/NewResults_Feb2026/Fit_IndependentSeries/Fit_IndependentSeriesZirconiumVanadate_Refinement22022026_Independent/PDF_ZrV2O7_061_699C_avg_686_705_00000,0.1869486901681233,26.3999,18399.534912791998,0,806,114,14.1439205955335,0.0188016408,4913934620000.0,0.00557440919,1290148470000.0,0.00669893672,1574908640000.0,2.61113309,113940383000000.0,158.187386,28828157400000.0,0.493619077,234840809000.0
