Results written: Sat Mar  7 07:47:32 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02235527
Contributions  0.02235527
Restraints     0.00000000
Chi2           4.47934815
Reduced Chi2   0.01518423
Rw             0.14951680

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O466_Phase0   3.98141649e-01 +/- 3.14644179e+13
x_O468_Phase0   8.97659972e-01 +/- 4.16139483e+13
x_O470_Phase0   6.02154973e-01 +/- 3.92022536e+13
x_O476_Phase0   2.97921710e-01 +/- 3.40071642e+13
x_O478_Phase0   7.98419675e-01 +/- 3.99425670e+13
x_O48_Phase0    8.82334128e-03 +/- 1.37705992e+12
x_O492_Phase0   2.33821851e-02 +/- 4.00354652e+12
x_O494_Phase0   4.76094762e-01 +/- 3.55372611e+13
x_O496_Phase0   9.75354311e-01 +/- 3.78967498e+13
x_O498_Phase0   5.23668770e-01 +/- 3.53319317e+13
x_O4_Phase0     9.60250993e-01 +/- 3.89264948e+13
x_O50_Phase0    4.90899554e-01 +/- 3.55506318e+13
x_O516_Phase0   1.02871545e-01 +/- 1.43110947e+13
x_O518_Phase0   3.97494781e-01 +/- 3.28869744e+13
x_O520_Phase0   8.97755882e-01 +/- 3.78947481e+13
x_O522_Phase0   6.02701588e-01 +/- 3.55679234e+13
x_O52_Phase0    9.91170475e-01 +/- 3.82534223e+13
x_O540_Phase0   2.52530627e-02 +/- 3.85910146e+12
x_O542_Phase0   4.74111185e-01 +/- 3.56274169e+13
x_O544_Phase0   9.76242211e-01 +/- 3.79747299e+13
x_O546_Phase0   5.25454157e-01 +/- 3.54238445e+13
x_O54_Phase0    5.09860069e-01 +/- 3.55845467e+13
x_O564_Phase0   3.98674679e-02 +/- 6.06688429e+12
x_O566_Phase0   4.58868344e-01 +/- 3.50421833e+13
x_O568_Phase0   9.60817940e-01 +/- 4.16156343e+13
x_O570_Phase0   5.40438890e-01 +/- 3.59333944e+13
x_O576_Phase0   2.24055847e-01 +/- 2.82652250e+13
x_O584_Phase0   6.39837176e-01 +/- 4.09007445e+13
x_O588_Phase0   1.63425597e-01 +/- 2.17276085e+13
x_O590_Phase0   3.36704068e-01 +/- 3.14117030e+13
x_O592_Phase0   8.36661189e-01 +/- 3.71839792e+13
x_O594_Phase0   6.62695404e-01 +/- 3.45067159e+13
x_O612_Phase0   2.55269996e-01 +/- 2.80751640e+13
x_O614_Phase0   2.46723254e-01 +/- 2.60617429e+13
x_O616_Phase0   7.46601918e-01 +/- 3.24845213e+13
x_O618_Phase0   7.56245923e-01 +/- 3.50530982e+13
x_O636_Phase0   2.00596537e-01 +/- 2.58588255e+13
x_O638_Phase0   3.00296294e-01 +/- 3.12926312e+13
x_O640_Phase0   8.00429917e-01 +/- 3.85518245e+13
x_O642_Phase0   6.99827730e-01 +/- 3.84689735e+13
x_O660_Phase0   1.43362060e-01 +/- 2.05021083e+13
x_O662_Phase0   3.55962952e-01 +/- 3.27237936e+13
x_O664_Phase0   8.55727021e-01 +/- 4.07945365e+13
x_O665_Phase0   1.44251951e-01 +/- 2.11592909e+13
x_O666_Phase0   6.44505376e-01 +/- 3.69466827e+13
x_O684_Phase0   7.09647417e-02 +/- 1.14285949e+13
x_O686_Phase0   4.30943408e-01 +/- 3.26587324e+13
x_O688_Phase0   9.30174187e-01 +/- 4.06513676e+13
x_O689_Phase0   6.98728198e-02 +/- 1.14165004e+13
x_O690_Phase0   5.69859719e-01 +/- 3.46396868e+13
x_O6_Phase0     5.40587987e-01 +/- 3.67482194e+13
x_O702_Phase0   6.99129000e-01 +/- 4.04780517e+13
x_O708_Phase0   1.36826784e-01 +/- 2.04626972e+13
x_O710_Phase0   3.63415335e-01 +/- 3.24841371e+13
x_O712_Phase0   8.63798047e-01 +/- 4.08743051e+13
x_O713_Phase0   1.36195950e-01 +/- 1.88391313e+13
x_O714_Phase0   6.36599936e-01 +/- 3.72861344e+13
x_O72_Phase0    2.69935249e-02 +/- 4.97168594e+12
x_O732_Phase0   1.99457712e-01 +/- 2.71216427e+13
x_O734_Phase0   2.99445298e-01 +/- 3.11341639e+13
x_O736_Phase0   7.98916192e-01 +/- 4.18966185e+13
x_O738_Phase0   7.01124901e-01 +/- 4.12293771e+13
x_O739_Phase0   2.98855032e-01 +/- 3.24234736e+13
x_O744_Phase0   2.54930101e-01 +/- 3.11685879e+13
x_O746_Phase0   7.55669081e-01 +/- 4.06946951e+13
x_O747_Phase0   2.44287904e-01 +/- 2.93746442e+13
x_O74_Phase0    4.71649050e-01 +/- 3.45246852e+13
x_O76_Phase0    9.72566364e-01 +/- 3.71911067e+13
x_O78_Phase0    5.26555648e-01 +/- 3.83513633e+13
x_O79_Phase0    4.73497356e-01 +/- 3.70393462e+13
x_O96_Phase0    9.81585204e-02 +/- 1.45018975e+13
x_O98_Phase0    4.02514575e-01 +/- 3.31901626e+13
x_V0_Phase0     4.37760221e-02 +/- 7.17472531e+12
x_V100_Phase0   8.73513505e-01 +/- 3.09734221e+13
x_V101_Phase0   1.26695547e-01 +/- 1.75656303e+13
x_V102_Phase0   6.29198638e-01 +/- 3.39586223e+13
x_V103_Phase0   3.70525732e-01 +/- 3.37523798e+13
x_V119_Phase0   7.94526094e-01 +/- 4.10726339e+13
x_V120_Phase0   1.34564464e-01 +/- 1.88713697e+13
x_V121_Phase0   8.65437807e-01 +/- 3.29019126e+13
x_V122_Phase0   3.66469800e-01 +/- 3.20832967e+13
x_V123_Phase0   6.33616593e-01 +/- 4.00161985e+13
x_V124_Phase0   8.67391664e-01 +/- 3.91762355e+13
x_V126_Phase0   6.29334606e-01 +/- 3.28959057e+13
x_V127_Phase0   3.70604285e-01 +/- 3.13454641e+13
x_V12_Phase0    2.80867424e-01 +/- 2.88560947e+13
x_V131_Phase0   1.26039002e-01 +/- 1.83577552e+13
x_V132_Phase0   1.25955030e-01 +/- 1.93654405e+13
x_V138_Phase0   7.94496406e-01 +/- 3.75012809e+13
x_V140_Phase0   7.04001005e-01 +/- 4.05795661e+13
x_V141_Phase0   2.95962664e-01 +/- 3.02680839e+13
x_V144_Phase0   2.84689588e-02 +/- 4.54498753e+12
x_V146_Phase0   4.75889171e-01 +/- 3.20850827e+13
x_V147_Phase0   5.24105779e-01 +/- 3.18369669e+13
x_V148_Phase0   9.78846932e-01 +/- 2.81438324e+13
x_V149_Phase0   2.11460465e-02 +/- 3.12861207e+12
x_V150_Phase0   5.28914911e-01 +/- 3.21307260e+13
x_V151_Phase0   4.71079005e-01 +/- 3.14811560e+13
x_V168_Phase0   3.68093441e-02 +/- 5.77567654e+12
x_V170_Phase0   4.57684764e-01 +/- 1.76746748e+13
x_V172_Phase0   9.62661439e-01 +/- 3.21027160e+13
x_V173_Phase0   3.72305136e-02 +/- 5.49387363e+12
x_V174_Phase0   5.37417740e-01 +/- 3.34828938e+13
x_V175_Phase0   4.62549394e-01 +/- 3.23044065e+13
x_V192_Phase0   2.10523771e-01 +/- 1.65999708e+13
x_V194_Phase0   2.83139945e-01 +/- 1.82489977e+13
x_V196_Phase0   7.86917511e-01 +/- 3.35448165e+13
x_V197_Phase0   2.13373475e-01 +/- 2.63072924e+13
x_V198_Phase0   7.14126677e-01 +/- 3.67998404e+13
x_V199_Phase0   2.85371035e-01 +/- 3.23713552e+13
x_V1_Phase0     9.56235591e-01 +/- 4.12764134e+13
x_V206_Phase0   7.06751041e-01 +/- 3.99755315e+13
x_V207_Phase0   2.93223852e-01 +/- 2.82894216e+13
x_V20_Phase0    6.20922805e-01 +/- 3.93076075e+13
x_V213_Phase0   3.50544585e-02 +/- 5.99414962e+12
x_V26_Phase0    1.21790944e-01 +/- 1.49399421e+13
x_V2_Phase0     4.52594650e-01 +/- 3.20374252e+13
x_V34_Phase0    4.64200097e-01 +/- 3.23484652e+13
x_V35_Phase0    5.35801947e-01 +/- 3.21980031e+13
x_V3_Phase0     5.47417466e-01 +/- 3.25595449e+13
x_V42_Phase0    1.98617102e-01 +/- 2.33171535e+13
x_V43_Phase0    8.01358933e-01 +/- 3.84419341e+13
x_V48_Phase0    3.66018878e-02 +/- 5.80523614e+12
x_V49_Phase0    9.63310163e-01 +/- 3.14535266e+13
x_V4_Phase0     9.59518518e-01 +/- 4.09007160e+13
x_V50_Phase0    4.62399058e-01 +/- 2.89275766e+13
x_V51_Phase0    5.37593419e-01 +/- 3.69523253e+13
x_V52_Phase0    9.63115476e-01 +/- 3.16938740e+13
x_V53_Phase0    3.69846024e-02 +/- 6.12314746e+12
x_V54_Phase0    5.37551215e-01 +/- 2.16107146e+13
x_V5_Phase0     4.04519922e-02 +/- 6.85953842e+12
x_V6_Phase0     5.41024779e-01 +/- 1.80125111e+13
x_V72_Phase0    2.01220626e-01 +/- 2.35224065e+13
x_V73_Phase0    7.98767311e-01 +/- 3.02224811e+13
x_V74_Phase0    3.04909349e-01 +/- 2.98674234e+13
x_V76_Phase0    8.04100007e-01 +/- 3.88701516e+13
x_V78_Phase0    6.97941721e-01 +/- 2.06303448e+13
x_V82_Phase0    9.68662687e-01 +/- 3.70657894e+13
x_V83_Phase0    3.14031549e-02 +/- 5.76810193e+12
x_V84_Phase0    3.14248240e-02 +/- 5.87820205e+12
x_V91_Phase0    3.71258635e-01 +/- 3.35645446e+13
x_V96_Phase0    1.28599669e-01 +/- 1.54740687e+13
x_V97_Phase0    8.71408328e-01 +/- 3.41131864e+13
x_V98_Phase0    3.70871884e-01 +/- 1.90420149e+13
x_V9_Phase0     7.84878980e-01 +/- 3.69257228e+13
x_ZR0_Phase0    1.32464733e-03 +/- 2.14949709e+11
x_ZR100_Phase0  5.01653059e-01 +/- 3.38157083e+13
x_ZR101_Phase0  4.98489537e-01 +/- 3.43686765e+13
x_ZR102_Phase0  4.94919834e-01 +/- 3.34618919e+13
x_ZR103_Phase0  5.03361578e-01 +/- 3.21436026e+13
x_ZR104_Phase0  5.01078647e-04 +/- 8.51147975e+10
x_ZR105_Phase0  9.99488858e-01 +/- 3.56236496e+13
x_ZR106_Phase0  9.98010243e-01 +/- 3.34023751e+13
x_ZR107_Phase0  2.09741970e-03 +/- 3.27673262e+11
x_ZR10_Phase0   9.93337447e-01 +/- 3.17981278e+13
x_ZR11_Phase0   6.69687604e-03 +/- 1.03597940e+12
x_ZR12_Phase0   2.75198144e-03 +/- 4.52268949e+11
x_ZR13_Phase0   9.97123374e-01 +/- 3.43186876e+13
x_ZR14_Phase0   5.03878842e-01 +/- 3.42526730e+13
x_ZR15_Phase0   4.96697640e-01 +/- 3.36403697e+13
x_ZR16_Phase0   3.37698850e-01 +/- 2.83398893e+13
x_ZR17_Phase0   6.62472499e-01 +/- 3.10201549e+13
x_ZR18_Phase0   6.62344105e-01 +/- 3.36983027e+13
x_ZR19_Phase0   3.37666034e-01 +/- 3.11596711e+13
x_ZR1_Phase0    9.98732715e-01 +/- 3.28813981e+13
x_ZR20_Phase0   8.34548605e-01 +/- 3.49676653e+13
x_ZR21_Phase0   1.65394459e-01 +/- 2.25309326e+13
x_ZR22_Phase0   1.63925987e-01 +/- 2.05276681e+13
x_ZR23_Phase0   8.35975681e-01 +/- 3.38421136e+13
x_ZR24_Phase0   4.99776467e-01 +/- 3.30826225e+13
x_ZR25_Phase0   9.99960666e-01 +/- 3.90412452e+13
x_ZR26_Phase0   5.00047200e-01 +/- 3.72216156e+13
x_ZR27_Phase0   7.38528397e-05 +/- 1.18403892e+10
x_ZR28_Phase0   1.64740467e-01 +/- 2.14712294e+13
x_ZR29_Phase0   8.35060081e-01 +/- 3.58116193e+13
x_ZR2_Phase0    4.95955504e-01 +/- 3.32128226e+13
x_ZR30_Phase0   3.34697945e-01 +/- 3.08050005e+13
x_ZR31_Phase0   6.65489097e-01 +/- 3.50307221e+13
x_ZR32_Phase0   8.36451948e-01 +/- 3.39871031e+13
x_ZR33_Phase0   1.63877870e-01 +/- 2.17997397e+13
x_ZR34_Phase0   6.65185453e-01 +/- 3.42983677e+13
x_ZR35_Phase0   3.34637631e-01 +/- 3.02728298e+13
x_ZR36_Phase0   1.70240128e-01 +/- 2.27369866e+13
x_ZR37_Phase0   8.29681888e-01 +/- 3.63346864e+13
x_ZR38_Phase0   3.32684618e-01 +/- 3.00408159e+13
x_ZR39_Phase0   6.67401307e-01 +/- 3.45494187e+13
x_ZR3_Phase0    5.04073809e-01 +/- 3.25630260e+13
x_ZR40_Phase0   8.38019007e-01 +/- 3.46525808e+13
x_ZR41_Phase0   1.61909729e-01 +/- 2.17534697e+13
x_ZR42_Phase0   6.66018660e-01 +/- 3.49333910e+13
x_ZR43_Phase0   3.33503055e-01 +/- 3.02129303e+13
x_ZR44_Phase0   3.32933448e-01 +/- 3.10156882e+13
x_ZR45_Phase0   6.67420062e-01 +/- 3.47684805e+13
x_ZR46_Phase0   8.30722663e-01 +/- 3.33994985e+13
x_ZR47_Phase0   1.68841174e-01 +/- 2.29078781e+13
x_ZR48_Phase0   1.70955025e-01 +/- 2.20043599e+13
