Results written: Wed Feb  4 18:51:18 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02052876
Contributions  0.02052876
Restraints     0.00000000
Chi2           3.57608007
Reduced Chi2   0.01436177
Rw             0.14327862

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O452_Phase0   7.29090925e-02 +/- 6.87684103e+08
x_O455_Phase0   4.28051019e-01 +/- 2.10915667e+09
x_O458_Phase0   8.11658246e-01 +/- 2.21584532e+09
x_O460_Phase0   6.87980262e-01 +/- 2.23929644e+09
x_O461_Phase0   3.12008845e-01 +/- 1.90984936e+09
x_O464_Phase0   1.02766858e-01 +/- 8.33961792e+08
x_O466_Phase0   3.98216678e-01 +/- 1.58334278e+09
x_O468_Phase0   8.97601137e-01 +/- 2.24689348e+09
x_O470_Phase0   6.02215356e-01 +/- 2.15765913e+09
x_O476_Phase0   2.97763738e-01 +/- 1.71453390e+09
x_O478_Phase0   7.98308109e-01 +/- 2.09411779e+09
x_O48_Phase0    8.88632712e-03 +/- 9.38021146e+07
x_O492_Phase0   2.35565435e-02 +/- 2.25851758e+08
x_O494_Phase0   4.75744945e-01 +/- 1.76900091e+09
x_O496_Phase0   9.75205896e-01 +/- 1.96832860e+09
x_O498_Phase0   5.23749661e-01 +/- 1.80745832e+09
x_O4_Phase0     9.60225928e-01 +/- 1.98845167e+09
x_O50_Phase0    4.90643264e-01 +/- 1.80989004e+09
x_O516_Phase0   1.02785171e-01 +/- 9.34930431e+08
x_O518_Phase0   3.97594357e-01 +/- 1.69771819e+09
x_O520_Phase0   8.97774789e-01 +/- 1.89914405e+09
x_O522_Phase0   6.02548216e-01 +/- 1.85149593e+09
x_O52_Phase0    9.90999558e-01 +/- 1.96529824e+09
x_O540_Phase0   2.52447141e-02 +/- 2.74224998e+08
x_O542_Phase0   4.74077120e-01 +/- 1.85521018e+09
x_O544_Phase0   9.76476855e-01 +/- 1.86800019e+09
x_O546_Phase0   5.25574455e-01 +/- 1.85428631e+09
x_O54_Phase0    5.10282977e-01 +/- 1.86027120e+09
x_O564_Phase0   4.00859014e-02 +/- 4.19807181e+08
x_O566_Phase0   4.58559842e-01 +/- 1.77269144e+09
x_O568_Phase0   9.60810637e-01 +/- 2.29774524e+09
x_O569_Phase0   3.91936488e-02 +/- 3.65279093e+08
x_O570_Phase0   5.40764530e-01 +/- 1.83360206e+09
x_O576_Phase0   2.24003848e-01 +/- 1.61970480e+09
x_O584_Phase0   6.40141508e-01 +/- 2.19990273e+09
x_O588_Phase0   1.63199431e-01 +/- 1.22676637e+09
x_O590_Phase0   3.36936134e-01 +/- 1.64000047e+09
x_O592_Phase0   8.36949271e-01 +/- 1.85990607e+09
x_O594_Phase0   6.62711668e-01 +/- 1.84278474e+09
x_O612_Phase0   2.55239424e-01 +/- 1.42208672e+09
x_O614_Phase0   2.47346402e-01 +/- 1.49685509e+09
x_O616_Phase0   7.47138399e-01 +/- 1.68487403e+09
x_O618_Phase0   7.56202727e-01 +/- 1.83859578e+09
x_O636_Phase0   2.00750987e-01 +/- 1.43061323e+09
x_O638_Phase0   3.00335184e-01 +/- 1.66536535e+09
x_O640_Phase0   8.00244240e-01 +/- 1.96328065e+09
x_O642_Phase0   7.00056078e-01 +/- 1.93936475e+09
x_O660_Phase0   1.43319964e-01 +/- 1.28132743e+09
x_O662_Phase0   3.56046957e-01 +/- 1.64801259e+09
x_O664_Phase0   8.55618858e-01 +/- 2.16283449e+09
x_O665_Phase0   1.44347553e-01 +/- 1.17312094e+09
x_O666_Phase0   6.44612248e-01 +/- 1.87184551e+09
x_O684_Phase0   7.10063655e-02 +/- 5.93871445e+08
x_O686_Phase0   4.30703030e-01 +/- 1.94045548e+09
x_O688_Phase0   9.30342570e-01 +/- 2.16610850e+09
x_O689_Phase0   6.97298272e-02 +/- 7.31851713e+08
x_O690_Phase0   5.69776815e-01 +/- 1.71206202e+09
x_O6_Phase0     5.40675290e-01 +/- 1.91339158e+09
x_O702_Phase0   6.99199511e-01 +/- 2.23220489e+09
x_O703_Phase0   3.00779467e-01 +/- 1.79373404e+09
x_O708_Phase0   1.36673515e-01 +/- 1.11696734e+09
x_O710_Phase0   3.63547605e-01 +/- 1.71364032e+09
x_O712_Phase0   8.63793374e-01 +/- 2.17318120e+09
x_O713_Phase0   1.36215981e-01 +/- 1.18844562e+09
