Results written: Thu Feb  5 00:19:55 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01870964
Contributions  0.01870964
Restraints     0.00000000
Chi2           3.25919173
Reduced Chi2   0.00499111
Rw             0.13678319

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O303_Phase0   4.93755590e-01 +/- 3.19933096e+13
x_O30_Phase0    5.23651783e-01 +/- 3.27824144e+13
x_O31_Phase0    4.76348217e-01 +/- 3.26786219e+13
x_O320_Phase0   3.58409281e-01 +/- 3.28176472e+13
x_O321_Phase0   6.41590719e-01 +/- 3.47490336e+13
x_O322_Phase0   1.41484962e-01 +/- 2.29752961e+13
x_O323_Phase0   8.58515038e-01 +/- 3.29640756e+13
x_O324_Phase0   6.41045047e-01 +/- 3.24148621e+13
x_O325_Phase0   3.58954953e-01 +/- 3.13489930e+13
x_O326_Phase0   8.58802291e-01 +/- 3.32512392e+13
x_O327_Phase0   1.41197709e-01 +/- 2.30053297e+13
x_O328_Phase0   4.37762351e-01 +/- 3.27787403e+13
x_O329_Phase0   5.62237649e-01 +/- 3.32328410e+13
x_O335_Phase0   4.39537356e-01 +/- 3.35775079e+13
x_O344_Phase0   1.08130179e-02 +/- 2.31101729e+12
x_O345_Phase0   9.89186982e-01 +/- 3.30511555e+13
x_O346_Phase0   4.89196497e-01 +/- 3.18305787e+13
x_O347_Phase0   5.10803503e-01 +/- 3.22350323e+13
x_O348_Phase0   9.88552561e-01 +/- 3.27375358e+13
x_O349_Phase0   1.14474386e-02 +/- 2.77661906e+12
x_O350_Phase0   5.09354835e-01 +/- 3.18471389e+13
x_O351_Phase0   4.90645165e-01 +/- 3.17034424e+13
x_O368_Phase0   2.35619407e-01 +/- 2.86780513e+13
x_O369_Phase0   7.64380593e-01 +/- 3.31355404e+13
x_O370_Phase0   2.64719893e-01 +/- 2.94874203e+13
x_O371_Phase0   7.35280107e-01 +/- 3.30792007e+13
x_O372_Phase0   7.67086966e-01 +/- 3.29405794e+13
x_O373_Phase0   2.32913034e-01 +/- 2.76676775e+13
x_O374_Phase0   7.32376849e-01 +/- 3.29059060e+13
x_O375_Phase0   2.67623151e-01 +/- 2.89216177e+13
x_O392_Phase0   2.83974067e-01 +/- 2.91604858e+13
x_O393_Phase0   7.16025933e-01 +/- 3.21306074e+13
x_O394_Phase0   2.16216217e-01 +/- 2.63231660e+13
x_O395_Phase0   7.83783783e-01 +/- 3.27521173e+13
