0.010870201	0.0000000
0.017253020	0.0000000
0.023635838	0.0000000
0.030018656	0.0000000
0.036401475	0.0000000
0.042784293	0.0000000
0.049167111	0.0000000
0.055549930	0.0000000
0.061932748	0.0000000
0.068315566	0.0000000
0.074698385	0.0000000
0.081081203	0.0000000
0.087464022	0.0000000
0.093846840	0.0000000
0.10022966	0.0000000
0.10661248	0.0000000
0.11299529	0.0000000
0.11937811	0.0000000
0.12576093	0.0000000
0.13214375	0.0000000
0.13852657	0.0000000
0.14490939	0.0000000
0.15129221	0.0000000
0.15767502	0.0000000
0.16405784	0.0000000
0.17044066	0.0000000
0.17682348	0.0000000
0.18320630	0.0000000
0.18958912	0.0000000
0.19597193	0.0000000
0.20235475	6322.6453
0.20873757	6535.2076
0.21512039	5888.0860
0.22150321	4450.6320
0.22788603	3689.0354
0.23426884	2187.8430
0.24065166	1006.1126
0.24703448	107.09370
0.25341730	-598.34349
0.25980012	-1185.0368
0.26618294	-1750.1824
0.27256575	-2066.5492
0.27894857	-2500.4129
0.28533139	-2657.8869
0.29171421	-2824.4962
0.29809703	-3030.1703
0.30447985	-3210.5074
0.31086266	-3478.7968
0.31724548	-3494.6926
0.32362830	-3629.9000
0.33001112	-3965.9967
0.33639394	-3971.2317
0.34277676	-4062.5461
0.34915957	-4006.6252
0.35554239	-4189.4371
0.36192521	-3945.5446
0.36830803	-3979.3597
0.37469085	-3837.2647
0.38107367	-3477.0256
0.38745648	-3088.7664
0.39383930	-2651.7071
0.40022212	-2635.3283
0.40660494	-2596.2933
0.41298776	-2760.0069
0.41937058	-2801.9850
0.42575339	-2922.6444
0.43213621	-2979.6225
0.43851903	-2956.1135
0.44490185	-3020.5297
0.45128467	-3048.9671
0.45766749	-3099.0426
0.46405030	-3124.5298
0.47043312	-3177.3120
0.47681594	-3204.9211
0.48319876	-3139.3854
0.48958158	-3073.9721
0.49596440	-2991.7947
0.50234722	-3029.8422
0.50873003	-3070.1391
0.51511285	-3096.4500
