Results written: Tue Feb  3 03:51:55 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01912666
Contributions  0.01912666
Restraints     0.00000000
Chi2           3.58390870
Reduced Chi2   0.01439321
Rw             0.13829916

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O452_Phase0   7.29090925e-02 +/- 2.70826956e+09
x_O455_Phase0   4.28051019e-01 +/- 7.86313963e+09
x_O458_Phase0   8.11658246e-01 +/- 8.41351810e+09
x_O460_Phase0   6.87980262e-01 +/- 8.43008474e+09
x_O461_Phase0   3.12008845e-01 +/- 6.99158898e+09
x_O464_Phase0   1.02766858e-01 +/- 3.45396617e+09
x_O466_Phase0   3.98216678e-01 +/- 5.92319816e+09
x_O468_Phase0   8.97601137e-01 +/- 8.43327986e+09
x_O470_Phase0   6.02215356e-01 +/- 8.10948235e+09
x_O476_Phase0   2.97763738e-01 +/- 6.50163715e+09
x_O478_Phase0   7.98308109e-01 +/- 7.77445196e+09
x_O48_Phase0    8.88632712e-03 +/- 2.93308707e+08
x_O492_Phase0   2.35565435e-02 +/- 9.33322849e+08
x_O494_Phase0   4.75744945e-01 +/- 6.75611585e+09
x_O496_Phase0   9.75205896e-01 +/- 7.26792334e+09
x_O498_Phase0   5.23749661e-01 +/- 6.82392846e+09
x_O4_Phase0     9.60225928e-01 +/- 7.42527498e+09
x_O50_Phase0    4.90643264e-01 +/- 6.79027624e+09
x_O516_Phase0   1.02785171e-01 +/- 3.48891705e+09
x_O518_Phase0   3.97594357e-01 +/- 6.27069599e+09
x_O520_Phase0   8.97774789e-01 +/- 7.14218731e+09
x_O522_Phase0   6.02548216e-01 +/- 6.95950880e+09
x_O52_Phase0    9.90999558e-01 +/- 7.31117875e+09
x_O540_Phase0   2.52447141e-02 +/- 1.01520725e+09
x_O542_Phase0   4.74077120e-01 +/- 6.81452938e+09
x_O544_Phase0   9.76476855e-01 +/- 7.12380978e+09
x_O546_Phase0   5.25574455e-01 +/- 7.09484659e+09
x_O54_Phase0    5.10282977e-01 +/- 6.99881285e+09
x_O564_Phase0   4.00859014e-02 +/- 1.43751874e+09
x_O566_Phase0   4.58559842e-01 +/- 6.73429707e+09
x_O568_Phase0   9.60810637e-01 +/- 8.61711654e+09
x_O569_Phase0   3.91936488e-02 +/- 1.47173338e+09
x_O570_Phase0   5.40764530e-01 +/- 6.88287326e+09
x_O576_Phase0   2.24003848e-01 +/- 5.76616359e+09
x_O584_Phase0   6.40141508e-01 +/- 8.36554461e+09
x_O588_Phase0   1.63199431e-01 +/- 4.94034199e+09
x_O590_Phase0   3.36936134e-01 +/- 6.11857585e+09
x_O592_Phase0   8.36949271e-01 +/- 6.96267765e+09
x_O594_Phase0   6.62711668e-01 +/- 6.96556760e+09
x_O612_Phase0   2.55239424e-01 +/- 5.44096614e+09
x_O614_Phase0   2.47346402e-01 +/- 5.59106449e+09
x_O616_Phase0   7.47138399e-01 +/- 6.39045200e+09
x_O618_Phase0   7.56202727e-01 +/- 6.81475076e+09
x_O636_Phase0   2.00750987e-01 +/- 5.34274575e+09
x_O638_Phase0   3.00335184e-01 +/- 5.99008402e+09
x_O640_Phase0   8.00244240e-01 +/- 7.26706123e+09
x_O642_Phase0   7.00056078e-01 +/- 7.40984549e+09
x_O660_Phase0   1.43319964e-01 +/- 4.47924942e+09
x_O662_Phase0   3.56046957e-01 +/- 6.73888847e+09
x_O664_Phase0   8.55618858e-01 +/- 8.11535560e+09
x_O665_Phase0   1.44347553e-01 +/- 4.70908224e+09
x_O666_Phase0   6.44612248e-01 +/- 7.02286173e+09
x_O684_Phase0   7.10063655e-02 +/- 2.35842547e+09
x_O686_Phase0   4.30703030e-01 +/- 7.21803420e+09
x_O688_Phase0   9.30342570e-01 +/- 8.22565433e+09
x_O689_Phase0   6.97298272e-02 +/- 2.59879026e+09
x_O690_Phase0   5.69776815e-01 +/- 6.61306861e+09
x_O6_Phase0     5.40675290e-01 +/- 7.22161967e+09
x_O702_Phase0   6.99199511e-01 +/- 8.29711284e+09
x_O703_Phase0   3.00779467e-01 +/- 6.87879630e+09
x_O708_Phase0   1.36673515e-01 +/- 4.31488253e+09
x_O710_Phase0   3.63547605e-01 +/- 6.36293241e+09
x_O712_Phase0   8.63793374e-01 +/- 8.18213199e+09
x_O713_Phase0   1.36215981e-01 +/- 4.70409832e+09
x_O714_Phase0   6.36512502e-01 +/- 7.10598056e+09
x_O72_Phase0    2.69303970e-02 +/- 1.07120915e+09
x_O732_Phase0   1.99133626e-01 +/- 5.47541358e+09
x_O734_Phase0   2.99442349e-01 +/- 5.97357422e+09
x_O736_Phase0   7.99006406e-01 +/- 8.32860096e+09
x_O738_Phase0   7.01077244e-01 +/- 8.42235401e+09
x_O739_Phase0   2.98906444e-01 +/- 6.95224456e+09
x_O744_Phase0   2.55028024e-01 +/- 6.12327573e+09
x_O746_Phase0   7.55208785e-01 +/- 8.27083008e+09
x_O747_Phase0   2.44148584e-01 +/- 5.94306354e+09
x_O74_Phase0    4.71544472e-01 +/- 6.84209158e+09
x_O76_Phase0    9.72512186e-01 +/- 7.11357394e+09
x_O78_Phase0    5.26433987e-01 +/- 7.70789186e+09
x_O79_Phase0    4.73632179e-01 +/- 7.71756768e+09
x_O96_Phase0    9.85285158e-02 +/- 3.24498693e+09
x_O98_Phase0    4.02467716e-01 +/- 6.75147891e+09
x_V0_Phase0     4.34531756e-02 +/- 1.48425813e+09
x_V100_Phase0   8.74012002e-01 +/- 5.73552194e+09
x_V101_Phase0   1.26190949e-01 +/- 3.79124047e+09
x_V102_Phase0   6.29305460e-01 +/- 6.46343462e+09
x_V103_Phase0   3.70671565e-01 +/- 6.87066016e+09
x_V119_Phase0   7.94469297e-01 +/- 8.27080275e+09
x_V120_Phase0   1.34434383e-01 +/- 4.35933785e+09
x_V121_Phase0   8.65522783e-01 +/- 6.21479070e+09
x_V122_Phase0   3.66382571e-01 +/- 6.94897133e+09
x_V123_Phase0   6.33643173e-01 +/- 8.05936120e+09
x_V124_Phase0   8.67386945e-01 +/- 8.35036071e+09
x_V125_Phase0   1.32665246e-01 +/- 4.33214685e+09
x_V126_Phase0   6.29217655e-01 +/- 6.36832630e+09
x_V127_Phase0   3.70706491e-01 +/- 6.13568544e+09
x_V12_Phase0    2.80574538e-01 +/- 6.31837861e+09
x_V131_Phase0   1.25829184e-01 +/- 4.17959293e+09
x_V132_Phase0   1.25483562e-01 +/- 3.82544795e+09
x_V138_Phase0   7.94690483e-01 +/- 7.48173146e+09
x_V13_Phase0    7.19398941e-01 +/- 8.04117723e+09
x_V140_Phase0   7.04037438e-01 +/- 8.22733685e+09
x_V141_Phase0   2.95933602e-01 +/- 6.77331836e+09
x_V144_Phase0   2.87328477e-02 +/- 1.08015184e+09
x_V145_Phase0   9.71331117e-01 +/- 7.94204928e+09
x_V146_Phase0   4.75959929e-01 +/- 6.08916446e+09
x_V147_Phase0   5.24030172e-01 +/- 6.17714390e+09
x_V148_Phase0   9.79395374e-01 +/- 4.92258993e+09
x_V149_Phase0   2.06270989e-02 +/- 7.79546215e+08
x_V150_Phase0   5.28929658e-01 +/- 7.80340058e+09
x_V151_Phase0   4.70877562e-01 +/- 5.83630675e+09
x_V153_Phase0   6.28339312e-01 +/- 8.06918432e+09
x_V158_Phase0   6.31314875e-01 +/- 7.53566665e+09
x_V161_Phase0   9.53724677e-01 +/- 7.93356650e+09
x_V168_Phase0   3.66860383e-02 +/- 1.53054140e+09
x_V169_Phase0   9.63236430e-01 +/- 6.83346870e+09
x_V170_Phase0   4.58055413e-01 +/- 6.22330978e+09
x_V171_Phase0   5.41917402e-01 +/- 6.27854565e+09
x_V172_Phase0   9.62969260e-01 +/- 5.58941206e+09
x_V173_Phase0   3.68674997e-02 +/- 1.43202790e+09
x_V174_Phase0   5.37407303e-01 +/- 6.50473428e+09
x_V175_Phase0   4.62570532e-01 +/- 6.42194258e+09
x_V185_Phase0   6.30822266e-01 +/- 8.10594192e+09
x_V192_Phase0   2.10755899e-01 +/- 4.66000199e+09
x_V193_Phase0   7.89135885e-01 +/- 7.22145969e+09
x_V194_Phase0   2.82854857e-01 +/- 5.28053581e+09
x_V195_Phase0   7.17229431e-01 +/- 6.95245239e+09
x_V196_Phase0   7.87173014e-01 +/- 7.23170820e+09
x_V197_Phase0   2.13103095e-01 +/- 5.73304502e+09
x_V198_Phase0   7.13905215e-01 +/- 8.09945264e+09
x_V199_Phase0   2.85654881e-01 +/- 6.68556956e+09
x_V1_Phase0     9.56300300e-01 +/- 8.33555957e+09
x_V201_Phase0   7.00155251e-01 +/- 8.17123527e+09
x_V203_Phase0   2.08015197e-01 +/- 5.77834856e+09
x_V206_Phase0   7.06770265e-01 +/- 8.00799884e+09
x_V207_Phase0   2.93172009e-01 +/- 5.93844100e+09
x_V20_Phase0    6.20785158e-01 +/- 7.96249133e+09
x_V212_Phase0   9.64714508e-01 +/- 8.19985403e+09
x_V213_Phase0   3.49565481e-02 +/- 1.30414023e+09
x_V214_Phase0   4.08706360e-02 +/- 1.45644208e+09
x_V26_Phase0    1.21606529e-01 +/- 3.27669348e+09
x_V28_Phase0    6.19375616e-01 +/- 7.64154767e+09
x_V2_Phase0     4.52659690e-01 +/- 6.27289713e+09
x_V34_Phase0    4.64308662e-01 +/- 6.17610843e+09
x_V35_Phase0    5.35735561e-01 +/- 6.26731706e+09
x_V3_Phase0     5.47392798e-01 +/- 6.37516302e+09
x_V42_Phase0    1.98213121e-01 +/- 5.33571065e+09
x_V43_Phase0    8.01588718e-01 +/- 7.40234508e+09
x_V45_Phase0    2.99608156e-01 +/- 6.74018284e+09
x_V48_Phase0    3.67824240e-02 +/- 1.37055242e+09
x_V49_Phase0    9.62969247e-01 +/- 5.58841029e+09
x_V4_Phase0     9.59462736e-01 +/- 8.03406086e+09
x_V50_Phase0    4.62472629e-01 +/- 6.12441571e+09
x_V51_Phase0    5.37607037e-01 +/- 7.27739979e+09
x_V52_Phase0    9.63341578e-01 +/- 5.53764874e+09
x_V53_Phase0    3.68243631e-02 +/- 1.29250281e+09
x_V54_Phase0    5.37815132e-01 +/- 6.66294473e+09
x_V55_Phase0    4.62185073e-01 +/- 6.57013438e+09
x_V5_Phase0     4.05248266e-02 +/- 1.48996462e+09
x_V67_Phase0    4.60207794e-01 +/- 7.68397822e+09
x_V6_Phase0     5.40413453e-01 +/- 6.41928316e+09
x_V72_Phase0    2.01357467e-01 +/- 5.01511690e+09
x_V73_Phase0    7.98672803e-01 +/- 5.84787310e+09
x_V74_Phase0    3.05205755e-01 +/- 6.55934131e+09
x_V76_Phase0    8.04225848e-01 +/- 7.29503131e+09
x_V78_Phase0    6.98024107e-01 +/- 6.18386309e+09
x_V79_Phase0    3.02159596e-01 +/- 6.51631529e+09
x_V7_Phase0     4.59599609e-01 +/- 6.23810948e+09
x_V82_Phase0    9.68517994e-01 +/- 7.21292679e+09
x_V83_Phase0    3.14430330e-02 +/- 1.08992396e+09
x_V84_Phase0    3.12558886e-02 +/- 1.16677805e+09
x_V85_Phase0    9.68743335e-01 +/- 6.57634558e+09
x_V87_Phase0    4.66580288e-01 +/- 6.99532502e+09
x_V91_Phase0    3.71078608e-01 +/- 7.11474901e+09
x_V96_Phase0    1.28439315e-01 +/- 4.14390377e+09
x_V97_Phase0    8.71602599e-01 +/- 6.28001013e+09
x_V98_Phase0    3.70988568e-01 +/- 5.64214168e+09
x_V99_Phase0    6.28464962e-01 +/- 6.40185213e+09
x_V9_Phase0     7.85125790e-01 +/- 7.22296471e+09
x_ZR0_Phase0    6.93044059e-04 +/- 2.68866555e+07
x_ZR100_Phase0  5.01262197e-01 +/- 7.47174345e+09
x_ZR101_Phase0  4.98634790e-01 +/- 7.46709431e+09
x_ZR102_Phase0  4.95099798e-01 +/- 7.31745626e+09
x_ZR103_Phase0  5.03036052e-01 +/- 7.31683882e+09
x_ZR104_Phase0  3.75968321e-04 +/- 1.39967595e+07
x_ZR105_Phase0  9.99604420e-01 +/- 7.88350935e+09
x_ZR106_Phase0  9.98144294e-01 +/- 7.73606154e+09
x_ZR107_Phase0  1.90540665e-03 +/- 6.59093821e+07
x_ZR10_Phase0   9.93430499e-01 +/- 7.78900187e+09
x_ZR11_Phase0   5.92510586e-03 +/- 2.22402230e+08
x_ZR12_Phase0   2.78260726e-03 +/- 1.26694728e+08
x_ZR13_Phase0   9.97007354e-01 +/- 7.90900672e+09
x_ZR14_Phase0   5.03762476e-01 +/- 7.54548638e+09
x_ZR15_Phase0   4.97070911e-01 +/- 7.31935929e+09
x_ZR16_Phase0   3.37561887e-01 +/- 6.82546867e+09
x_ZR17_Phase0   6.62415756e-01 +/- 7.77066469e+09
x_ZR18_Phase0   6.62679554e-01 +/- 7.72490836e+09
x_ZR19_Phase0   3.37322975e-01 +/- 6.74351689e+09
x_ZR1_Phase0    9.99065003e-01 +/- 7.79019997e+09
x_ZR20_Phase0   8.33914221e-01 +/- 7.85257108e+09
x_ZR21_Phase0   1.65858866e-01 +/- 4.95834199e+09
x_ZR22_Phase0   1.63873090e-01 +/- 5.36085494e+09
x_ZR23_Phase0   8.36202647e-01 +/- 7.78863473e+09
x_ZR24_Phase0   4.99755062e-01 +/- 7.91182976e+09
x_ZR25_Phase0   1.00044349e+00 +/- 8.51486614e+09
x_ZR26_Phase0   4.99783760e-01 +/- 8.08138033e+09
x_ZR27_Phase0   -2.09063896e-04 +/- 7.82766936e+06
x_ZR28_Phase0   1.65542483e-01 +/- 4.83382159e+09
x_ZR29_Phase0   8.35273643e-01 +/- 7.90559758e+09
x_ZR2_Phase0    4.96082076e-01 +/- 7.51143720e+09
x_ZR30_Phase0   3.34885476e-01 +/- 6.77643818e+09
x_ZR31_Phase0   6.65151546e-01 +/- 7.69436249e+09
x_ZR32_Phase0   8.36339502e-01 +/- 7.86737397e+09
x_ZR33_Phase0   1.64446073e-01 +/- 4.75317511e+09
x_ZR34_Phase0   6.65190976e-01 +/- 7.71563380e+09
x_ZR35_Phase0   3.34713963e-01 +/- 6.96014781e+09
x_ZR36_Phase0   1.69944777e-01 +/- 4.59638609e+09
x_ZR37_Phase0   8.29949225e-01 +/- 7.63236313e+09
x_ZR38_Phase0   3.32513808e-01 +/- 6.89987514e+09
x_ZR39_Phase0   6.67502289e-01 +/- 7.82386761e+09
x_ZR3_Phase0    5.04412647e-01 +/- 7.22886999e+09
x_ZR40_Phase0   8.37529644e-01 +/- 7.78684051e+09
x_ZR41_Phase0   1.62193290e-01 +/- 5.04105732e+09
x_ZR42_Phase0   6.66224147e-01 +/- 7.74264907e+09
x_ZR43_Phase0   3.33562744e-01 +/- 7.02410652e+09
x_ZR44_Phase0   3.33029997e-01 +/- 6.82529818e+09
x_ZR45_Phase0   6.67542703e-01 +/- 7.75458457e+09
x_ZR46_Phase0   8.30997303e-01 +/- 7.71756554e+09
x_ZR47_Phase0   1.69014757e-01 +/- 5.09621229e+09
x_ZR48_Phase0   1.70708608e-01 +/- 4.93719175e+09
x_ZR49_Phase0   8.28860934e-01 +/- 7.76120317e+09
x_ZR4_Phase0    9.96853808e-01 +/- 7.45681358e+09
x_ZR50_Phase0   6.67110144e-01 +/- 7.81858808e+09
x_ZR51_Phase0   3.32040089e-01 +/- 6.67788113e+09
x_ZR52_Phase0   3.36263833e-01 +/- 6.74346843e+09
x_ZR53_Phase0   6.63550093e-01 +/- 7.76445898e+09
x_ZR54_Phase0   6.61458214e-01 +/- 7.60339733e+09
x_ZR55_Phase0   3.37371265e-01 +/- 6.94340988e+09
x_ZR56_Phase0   8.35434870e-01 +/- 7.80662013e+09
x_ZR57_Phase0   1.64503871e-01 +/- 5.06560062e+09
x_ZR58_Phase0   1.61701479e-01 +/- 5.09771976e+09
x_ZR59_Phase0   8.38302215e-01 +/- 7.81602457e+09
x_ZR5_Phase0    2.17496094e-03 +/- 8.28624799e+07
x_ZR60_Phase0   5.02559705e-03 +/- 1.82379874e+08
x_ZR61_Phase0   9.94293489e-01 +/- 7.68317163e+09
x_ZR62_Phase0   4.98612385e-01 +/- 7.28804973e+09
x_ZR63_Phase0   5.02294100e-01 +/- 7.47558190e+09
x_ZR64_Phase0   9.98614608e-01 +/- 7.74250975e+09
x_ZR65_Phase0   1.55263616e-03 +/- 5.92522347e+07
x_ZR66_Phase0   5.05151536e-01 +/- 7.47118357e+09
x_ZR67_Phase0   4.94293601e-01 +/- 7.40518552e+09
x_ZR68_Phase0   1.61904027e-01 +/- 4.73396570e+09
x_ZR69_Phase0   8.38775709e-01 +/- 7.78566491e+09
x_ZR6_Phase0    4.99822199e-01 +/- 7.47465019e+09
x_ZR70_Phase0   6.60370170e-01 +/- 7.69125918e+09
x_ZR71_Phase0   3.40544255e-01 +/- 6.85089112e+09
x_ZR72_Phase0   3.40607752e-01 +/- 6.86529418e+09
x_ZR73_Phase0   6.59615736e-01 +/- 7.72865444e+09
x_ZR74_Phase0   8.41421378e-01 +/- 7.80709640e+09
x_ZR75_Phase0   1.58719734e-01 +/- 4.83058114e+09
x_ZR76_Phase0   3.34039630e-01 +/- 6.63579517e+09
x_ZR77_Phase0   6.66557407e-01 +/- 7.65106572e+09
x_ZR78_Phase0   6.68198835e-01 +/- 7.75493519e+09
x_ZR79_Phase0   3.32090412e-01 +/- 6.80537328e+09
x_ZR7_Phase0    5.00125418e-01 +/- 7.47401985e+09
x_ZR80_Phase0   8.33074170e-01 +/- 7.73673547e+09
x_ZR81_Phase0   1.67439007e-01 +/- 5.06230947e+09
x_ZR82_Phase0   1.69679318e-01 +/- 4.84199376e+09
x_ZR83_Phase0   8.30110605e-01 +/- 7.64640403e+09
x_ZR84_Phase0   1.64788456e-01 +/- 5.01217684e+09
x_ZR85_Phase0   8.34861491e-01 +/- 7.93404992e+09
x_ZR86_Phase0   3.34687869e-01 +/- 6.50189054e+09
x_ZR87_Phase0   6.66144221e-01 +/- 7.58469649e+09
x_ZR88_Phase0   8.35206463e-01 +/- 7.72563983e+09
x_ZR89_Phase0   1.64602553e-01 +/- 4.80607501e+09
x_ZR8_Phase0    4.93893088e-01 +/- 7.43302874e+09
x_ZR90_Phase0   6.63414786e-01 +/- 7.84303498e+09
x_ZR91_Phase0   3.36209948e-01 +/- 7.12349607e+09
x_ZR92_Phase0   1.72803896e-01 +/- 5.15476250e+09
x_ZR93_Phase0   8.27057293e-01 +/- 7.87394476e+09
x_ZR94_Phase0   6.67381201e-01 +/- 6.93989290e+09
x_ZR95_Phase0   3.33018969e-01 +/- 6.78744436e+09
x_ZR96_Phase0   3.26212436e-01 +/- 6.81333030e+09
x_ZR97_Phase0   6.73751289e-01 +/- 7.56866051e+09
x_ZR98_Phase0   8.28987191e-01 +/- 7.81884938e+09
x_ZR99_Phase0   1.71201572e-01 +/- 4.70301609e+09
x_ZR9_Phase0    5.06307142e-01 +/- 7.34658896e+09
y_O0_Phase0     3.47392078e-01 +/- 6.32275418e+09
y_O100_Phase0   8.71834971e-01 +/- 8.23239138e+09
y_O101_Phase0   1.28116876e-01 +/- 4.41480119e+09
y_O102_Phase0   1.29363639e-01 +/- 4.12042395e+09
y_O120_Phase0   4.33838833e-01 +/- 6.38621679e+09
y_O122_Phase0   5.73915135e-01 +/- 5.12622913e+09
y_O124_Phase0   9.34483742e-01 +/- 6.76359727e+09
