Results written: Wed Mar  4 11:34:11 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01628370
Contributions  0.01628370
Restraints     0.00000000
Chi2           3.34422209
Reduced Chi2   0.00500632
Rw             0.12760759

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O30_Phase0    5.23579213e-01 +/- 7.21737640e+12
x_O31_Phase0    4.76421562e-01 +/- 7.21457565e+12
x_O320_Phase0   3.58364558e-01 +/- 7.03455806e+12
x_O321_Phase0   6.41635549e-01 +/- 7.51692568e+12
x_O322_Phase0   1.41725712e-01 +/- 5.15527570e+12
x_O323_Phase0   8.58275072e-01 +/- 7.41271678e+12
x_O324_Phase0   6.41041776e-01 +/- 7.31970409e+12
x_O325_Phase0   3.58957274e-01 +/- 6.72866992e+12
x_O326_Phase0   8.58566202e-01 +/- 7.45390121e+12
x_O327_Phase0   1.41433020e-01 +/- 5.06511075e+12
x_O328_Phase0   4.37560525e-01 +/- 7.09994921e+12
x_O329_Phase0   5.62439824e-01 +/- 7.33634455e+12
x_O344_Phase0   1.09161845e-02 +/- 5.48451118e+11
x_O345_Phase0   9.89084721e-01 +/- 7.46963597e+12
x_O346_Phase0   4.89330427e-01 +/- 7.23823392e+12
x_O347_Phase0   5.10669544e-01 +/- 7.25011044e+12
x_O348_Phase0   9.88643437e-01 +/- 7.42457168e+12
x_O349_Phase0   1.13565630e-02 +/- 4.79611393e+11
x_O350_Phase0   5.09295151e-01 +/- 7.18038536e+12
x_O351_Phase0   4.90705328e-01 +/- 7.14923958e+12
x_O368_Phase0   2.35673420e-01 +/- 6.14120632e+12
x_O369_Phase0   7.64327224e-01 +/- 7.33786088e+12
x_O370_Phase0   2.64755810e-01 +/- 6.58091393e+12
x_O371_Phase0   7.35243096e-01 +/- 7.41139155e+12
x_O372_Phase0   7.67158452e-01 +/- 7.40673144e+12
x_O373_Phase0   2.32841308e-01 +/- 6.28936714e+12
x_O374_Phase0   7.32376315e-01 +/- 7.27850781e+12
x_O375_Phase0   2.67622358e-01 +/- 6.47796792e+12
