Results written: Sat Mar 14 01:22:16 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02410423
Contributions  0.02257793
Restraints     0.00152630
Chi2           3.01821280
Reduced Chi2   0.01023123
Rw             0.15515391

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O466_Phase0   3.98026598e-01 +/- 3.37745678e+12
x_O468_Phase0   8.97631031e-01 +/- 4.76450150e+12
x_O470_Phase0   6.02203215e-01 +/- 4.54546021e+12
x_O476_Phase0   2.97901523e-01 +/- 3.53646359e+12
x_O478_Phase0   7.98405667e-01 +/- 4.40763174e+12
x_O48_Phase0    8.78732969e-03 +/- 1.80539994e+11
x_O492_Phase0   2.34854544e-02 +/- 4.95407918e+11
x_O494_Phase0   4.75945003e-01 +/- 3.67221389e+12
x_O496_Phase0   9.75178745e-01 +/- 4.16241266e+12
x_O498_Phase0   5.23810340e-01 +/- 3.86958503e+12
x_O4_Phase0     9.60243591e-01 +/- 4.19912333e+12
x_O50_Phase0    4.90918548e-01 +/- 3.72402875e+12
x_O516_Phase0   1.02963756e-01 +/- 1.86885816e+12
x_O518_Phase0   3.97504922e-01 +/- 3.47603923e+12
x_O520_Phase0   8.97755559e-01 +/- 4.04708693e+12
x_O522_Phase0   6.02818801e-01 +/- 3.86503971e+12
x_O52_Phase0    9.91197433e-01 +/- 4.15117717e+12
x_O540_Phase0   2.54106617e-02 +/- 5.04657302e+11
x_O542_Phase0   4.74046540e-01 +/- 3.89771903e+12
x_O544_Phase0   9.76216122e-01 +/- 4.01478192e+12
x_O546_Phase0   5.25563103e-01 +/- 3.96985652e+12
x_O54_Phase0    5.09906550e-01 +/- 3.83418601e+12
x_O564_Phase0   3.99709651e-02 +/- 6.75661752e+11
x_O566_Phase0   4.58688124e-01 +/- 3.82795351e+12
x_O568_Phase0   9.60806063e-01 +/- 4.67944788e+12
x_O570_Phase0   5.40533326e-01 +/- 3.79042686e+12
x_O576_Phase0   2.24075311e-01 +/- 3.14491843e+12
x_O584_Phase0   6.39805776e-01 +/- 4.68836736e+12
x_O588_Phase0   1.63389592e-01 +/- 2.35068799e+12
x_O590_Phase0   3.36800189e-01 +/- 3.35658451e+12
x_O592_Phase0   8.36728328e-01 +/- 3.95555959e+12
x_O594_Phase0   6.62509293e-01 +/- 3.53793593e+12
x_O612_Phase0   2.55245577e-01 +/- 2.93873749e+12
x_O614_Phase0   2.46899549e-01 +/- 2.81878966e+12
x_O616_Phase0   7.46742697e-01 +/- 3.56520415e+12
x_O618_Phase0   7.56151199e-01 +/- 3.84223987e+12
x_O636_Phase0   2.00665791e-01 +/- 2.95895289e+12
x_O638_Phase0   3.00234099e-01 +/- 3.39851738e+12
x_O640_Phase0   8.00336297e-01 +/- 4.10618608e+12
x_O642_Phase0   6.99927564e-01 +/- 4.10252198e+12
x_O660_Phase0   1.43344832e-01 +/- 2.21454438e+12
x_O662_Phase0   3.55993669e-01 +/- 3.51552594e+12
x_O664_Phase0   8.55737477e-01 +/- 4.54588519e+12
x_O665_Phase0   1.44242789e-01 +/- 2.23451189e+12
x_O666_Phase0   6.44456169e-01 +/- 3.98680870e+12
x_O684_Phase0   7.10134128e-02 +/- 1.18571291e+12
x_O686_Phase0   4.31061985e-01 +/- 3.64022927e+12
x_O688_Phase0   9.30210207e-01 +/- 4.54674678e+12
x_O689_Phase0   6.98452176e-02 +/- 1.48400190e+12
x_O690_Phase0   5.69759012e-01 +/- 3.81536529e+12
x_O6_Phase0     5.40631546e-01 +/- 4.00762486e+12
x_O702_Phase0   6.99116656e-01 +/- 4.54927771e+12
x_O708_Phase0   1.36746057e-01 +/- 1.99797121e+12
x_O710_Phase0   3.63439250e-01 +/- 3.33209087e+12
x_O712_Phase0   8.63805241e-01 +/- 4.61677593e+12
x_O713_Phase0   1.36187945e-01 +/- 2.29776981e+12
x_O714_Phase0   6.36614776e-01 +/- 3.92938545e+12
x_O72_Phase0    2.68328819e-02 +/- 5.22247097e+11
x_O732_Phase0   1.99251138e-01 +/- 2.82632554e+12
x_O734_Phase0   2.99580403e-01 +/- 3.52166395e+12
