PC1,PC2,PC3,Temperature (°C)
0.9085842391429312,0.32817164118336395,0.2465577529383102,25
0.9085842391429325,0.3281716411833641,0.24655775293830995,25
0.6227792169565884,0.30730589418797444,0.020130711356976628,60
0.5086981775655358,0.29470036892711166,-0.040270315286620534,70
0.24123112481199518,0.27108501939595264,-0.12714716022166442,75
0.1317517633378849,0.24910331130834357,-0.14480853539072236,80
0.07532228752519848,0.23866126153047681,-0.15021603697627914,85
0.017443850503081025,0.22668584327510685,-0.1503665404242561,90
-0.0376596305809389,0.21399292725359473,-0.1479577702853779,95
-0.14104061810208113,0.18938026035956507,-0.13371705561354577,100
-0.5922512719644664,0.08326105119141444,0.044919240928052745,105
-0.5922512719644664,0.08326105119141444,0.044919240928052745,105
-0.6793651555187157,0.058063187117245896,0.10062829427282846,111
-0.7184206549410534,0.04300030847989904,0.1282902855606107,117
-0.7304078775657864,0.03532651218249541,0.13669469779324947,122
-0.713647224496038,0.015991372130287708,0.12281110832740987,154
-0.562507907285247,0.006961834320038211,0.03042602799006667,209
-0.5916607605565154,-0.0007680485840503234,0.04829523342992408,209
-0.5312331398583438,0.015264505141259948,0.013251511945125848,209
-0.454951434579563,-0.020464710167157514,-0.012356062082447333,264
-0.30813669967460466,-0.041506592744387505,-0.05458966045504516,318
-0.15187622968261705,-0.06166414245928773,-0.07976053252353556,372
-0.05464847164286685,-0.10023114896206413,-0.07810378249231235,427
0.05307060068716715,-0.12910686999425183,-0.06936059544414888,481
0.14224033702766656,-0.16256772640319034,-0.05185441847294807,536
0.22132866236980053,-0.1967322982985404,-0.0316847604807043,590
0.296149017776745,-0.23169954308038562,-0.006568233872860562,644
0.3082039235436814,-0.24005824194833092,-0.0006214744927577478,650
0.3189063143159731,-0.2424308145359522,0.0031233280480529517,655
0.3290180363409018,-0.2504827345310941,0.006254218663371083,661
0.33106834947723296,-0.25421338751503975,0.008740086095746476,666
0.34273175339994666,-0.2584948454384422,0.01161185573951509,672
0.3543160790932414,-0.25789838582316504,0.01602539744530532,677
0.3608760890803168,-0.26729453621678456,0.020364059408237097,688
0.38775428631447556,-0.272773963656784,0.029782130706081888,699
