NMF_comp1,NMF_comp2,NMF_comp3,Temperature (°C)
0.5223121882514328,0.5762459331474891,0.0,25
0.5223121882514334,0.5762459331474885,0.0,25
0.5278172642338257,0.48912978778990607,0.10349268169920613,60
0.5326728349117087,0.45248057634884314,0.14366628070568072,70
0.5384183609043522,0.36922257259130126,0.24002361723671817,75
0.5507537823051764,0.3296054279649698,0.2748876707467345,80
0.556238010879343,0.3095983366106866,0.2932303901199155,85
0.5630667411119938,0.28855526546561355,0.3116094234889939,90
0.5706223129318754,0.2679393842236843,0.3286073763651732,95
0.5863638503791717,0.22907545494137158,0.3604790477269912,100
0.6484513883130013,0.05907951691714891,0.49874019173045936,105
0.648451388313,0.059079516917149064,0.4987401917304604,105
0.6636666345974875,0.02407617629650389,0.5235612986779128,111
0.6736005307818489,0.0066573720834547006,0.5332907878451082,117
0.6791165890105803,0.0,0.535165670966414,122
0.6912525643182212,0.0,0.5224201126370184,154
0.7152226299259362,0.034086599923072274,0.4601619102839832,209
0.7196008737104862,0.022549147581257874,0.4685933099081253,209
0.7104102409200641,0.0464421868128861,0.45108843985479496,209
0.7461162998896284,0.05170682960883849,0.4086554857798094,264
0.7742740037648254,0.08297161271250066,0.34420836237962465,318
0.8018379721462391,0.11729846845911808,0.27646076763067756,372
0.841216876207994,0.12725017278046152,0.22501625254042618,427
0.8728232690722468,0.14431907846785694,0.17296505175138813,481
0.9071775140377417,0.15426048390741395,0.12643299340890976,536
0.9415083678939571,0.16119327754915583,0.0836186121032594,590
0.975979857553082,0.16656873706079073,0.042203738104044826,644
0.9838540027805842,0.16627499295149062,0.03458275287391528,650
0.9864796063956514,0.16818888337887103,0.029589315205386848,655
0.9939919001059356,0.16748256219004598,0.022806345738985732,661
0.9974208284100915,0.16641901985812962,0.020707269215691593,666
1.0018860983009066,0.16775509972658442,0.014629169275412406,672
1.0019153336811364,0.17122252631129348,0.010357914033121718,677
1.0105131586111329,0.16897476883160745,0.004554994304868359,688
1.0073748296603058,0.1752745647969433,0.0,699
