Results written: Fri Feb  6 15:33:02 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01897342
Contributions  0.01809320
Restraints     0.00088021
Chi2           2.86476923
Reduced Chi2   0.00438709
Rw             0.13765541

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O303_Phase0   4.93583877e-01 +/- 3.95822807e+13
x_O30_Phase0    5.23694397e-01 +/- 4.03919066e+13
x_O31_Phase0    4.76311475e-01 +/- 3.99889725e+13
x_O320_Phase0   3.58444446e-01 +/- 4.02670943e+13
x_O321_Phase0   6.41555160e-01 +/- 4.27726686e+13
x_O322_Phase0   1.41386774e-01 +/- 2.81620575e+13
x_O323_Phase0   8.58613029e-01 +/- 4.02322521e+13
x_O324_Phase0   6.40975825e-01 +/- 4.02152481e+13
x_O325_Phase0   3.59020679e-01 +/- 3.83986431e+13
x_O326_Phase0   8.58828707e-01 +/- 4.06988274e+13
x_O327_Phase0   1.41187678e-01 +/- 2.84796610e+13
x_O328_Phase0   4.37741143e-01 +/- 4.02001240e+13
x_O329_Phase0   5.62260495e-01 +/- 4.15652714e+13
x_O335_Phase0   4.39581317e-01 +/- 4.10820810e+13
x_O344_Phase0   1.08010054e-02 +/- 2.88167871e+12
x_O345_Phase0   9.89203282e-01 +/- 4.05255129e+13
x_O346_Phase0   4.89161609e-01 +/- 3.95373694e+13
x_O347_Phase0   5.10833896e-01 +/- 3.92370745e+13
x_O348_Phase0   9.88443086e-01 +/- 4.02168479e+13
x_O349_Phase0   1.15545590e-02 +/- 3.35092902e+12
x_O350_Phase0   5.09401433e-01 +/- 3.95131958e+13
x_O351_Phase0   4.90594536e-01 +/- 3.94095081e+13
x_O368_Phase0   2.35759093e-01 +/- 3.38726572e+13
x_O369_Phase0   7.64240194e-01 +/- 4.06919053e+13
x_O370_Phase0   2.64613185e-01 +/- 3.49533835e+13
x_O371_Phase0   7.35388011e-01 +/- 4.03921269e+13
x_O372_Phase0   7.66963437e-01 +/- 4.03078247e+13
x_O373_Phase0   2.33034695e-01 +/- 3.48149888e+13
x_O374_Phase0   7.32399935e-01 +/- 4.00798119e+13
x_O375_Phase0   2.67591212e-01 +/- 3.57632271e+13
x_O392_Phase0   2.84080587e-01 +/- 3.55733313e+13
x_O393_Phase0   7.15935048e-01 +/- 3.94171080e+13
x_O394_Phase0   2.16203810e-01 +/- 3.17680293e+13
x_O395_Phase0   7.83786022e-01 +/- 4.03065486e+13
