Iteration,Rw
1,0.12422387366429412
2,0.12391061685711763
3,0.12391043144019873
4,0.1239104313722188
5,0.12391043135446449
6,0.12388587888850011
7,0.12388410072560302
8,0.12388409340644399
9,0.12382850780699733
10,0.12379536644595693
11,0.12376343520134679
12,0.12373213812717339
13,0.12370894517651285
14,0.12369459613485353
15,0.12366711326146722
16,0.12364175068936407
17,0.12362660226048826
18,0.12362389752030563
19,0.12362347668246505
20,0.12362330823983983
21,0.12362323460081981
22,0.12362320388386512
23,0.12362297813559962
24,0.12362233182735316
25,0.12362091262660037
26,0.12361892409363168
27,0.12361856336649396
28,0.12361768300400554
29,0.1236174694820958
30,0.12361746158061265
31,0.12276848309124468
32,0.1225107163010679
