Iteration,Rw
1,0.1288365271322699
2,0.12883383636699067
3,0.12883368832785227
4,0.12883368763426434
5,0.12883365492054413
6,0.12883365487245413
7,0.12881471457763355
8,0.1288001953006709
9,0.12878353948926463
10,0.12878256387790812
11,0.12878256349288075
12,0.12878184612714247
13,0.1287809493779099
14,0.1287805130889873
15,0.1287797703053193
16,0.12877970235427982
17,0.12877969352146076
18,0.12877969259268235
19,0.1286912619472258
20,0.12867976067282857
21,0.1286744056443075
22,0.12867238105405485
23,0.1286705185833739
24,0.12866762686656588
25,0.1286610064446194
