0.010870201	0.0000000
0.017253020	0.0000000
0.023635838	0.0000000
0.030018656	0.0000000
0.036401475	0.0000000
0.042784293	0.0000000
0.049167111	0.0000000
0.055549930	0.0000000
0.061932748	0.0000000
0.068315566	0.0000000
0.074698385	0.0000000
0.081081203	0.0000000
0.087464022	0.0000000
0.093846840	0.0000000
0.10022966	0.0000000
0.10661248	0.0000000
0.11299529	0.0000000
0.11937811	0.0000000
0.12576093	0.0000000
0.13214375	0.0000000
0.13852657	0.0000000
0.14490939	0.0000000
0.15129221	0.0000000
0.15767502	0.0000000
0.16405784	0.0000000
0.17044066	0.0000000
0.17682348	0.0000000
0.18320630	0.0000000
0.18958912	0.0000000
0.19597193	0.0000000
0.20235475	126466.91
0.20873757	126035.93
0.21512039	127582.65
0.22150321	134692.59
0.22788603	138112.14
0.23426884	142419.09
0.24065166	145939.16
0.24703448	149340.18
0.25341730	153610.52
0.25980012	155749.45
0.26618294	157162.00
0.27256575	158213.72
0.27894857	160368.48
0.28533139	161765.04
0.29171421	163929.96
0.29809703	165141.07
0.30447985	166057.88
0.31086266	167272.15
0.31724548	167764.01
0.32362830	168555.36
0.33001112	169271.83
0.33639394	169351.00
0.34277676	169983.49
0.34915957	170128.37
0.35554239	170882.61
0.36192521	168809.29
0.36830803	168762.27
0.37469085	167269.37
0.38107367	164774.21
0.38745648	162357.32
0.39383930	159648.92
0.40022212	158825.38
0.40660494	158400.79
0.41298776	159458.66
0.41937058	160286.74
0.42575339	161102.88
0.43213621	162008.83
0.43851903	162596.34
0.44490185	163356.61
0.45128467	163693.87
0.45766749	164163.97
0.46405030	164370.06
0.47043312	164466.29
0.47681594	164863.66
0.48319876	164872.00
0.48958158	165185.87
0.49596440	165169.45
0.50234722	165175.91
0.50873003	165025.20
0.51511285	164842.02
0.52149567	165106.97
0.52787849	165000.07
0.53426131	164842.88
0.54064413	164244.48
0.54702694	163914.30
0.55340976	163609.75
0.55979258	163106.52
0.56617540	162732.18
