Results written: Mon Feb  2 21:00:05 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01886287
Contributions  0.01886287
Restraints     0.00000000
Chi2           3.77957094
Reduced Chi2   0.00087571
Rw             0.13734215

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O179_Phase0   1.32622889e-01 +/- 3.69921884e+13
x_O17_Phase0    6.52607922e-01 +/- 4.07009993e+13
x_O180_Phase0   1.31308789e-01 +/- 3.68963935e+13
x_O181_Phase0   8.68669427e-01 +/- 4.08766675e+13
x_O182_Phase0   6.32214444e-01 +/- 4.07619076e+13
x_O183_Phase0   3.67532229e-01 +/- 4.04312876e+13
x_O184_Phase0   1.89743350e-01 +/- 3.90884704e+13
x_O185_Phase0   8.10256650e-01 +/- 4.07847536e+13
x_O186_Phase0   8.09834200e-01 +/- 4.07932993e+13
x_O187_Phase0   1.90165800e-01 +/- 3.90613587e+13
x_O188_Phase0   6.90686940e-01 +/- 4.07722598e+13
x_O189_Phase0   3.09150118e-01 +/- 4.00154496e+13
x_O18_Phase0    6.52026602e-01 +/- 4.06929655e+13
x_O190_Phase0   3.08997957e-01 +/- 4.01451707e+13
x_O191_Phase0   6.90730294e-01 +/- 4.06537228e+13
x_O192_Phase0   2.16616822e-02 +/- 1.42271891e+13
x_O193_Phase0   9.78485127e-01 +/- 4.08685211e+13
x_O194_Phase0   4.77645044e-01 +/- 4.05764558e+13
x_O195_Phase0   5.22354956e-01 +/- 4.06446150e+13
x_O196_Phase0   9.77489064e-01 +/- 4.08432098e+13
x_O197_Phase0   2.19806000e-02 +/- 1.39722352e+13
x_O198_Phase0   5.22932684e-01 +/- 4.06599486e+13
x_O199_Phase0   4.77067316e-01 +/- 4.06143762e+13
x_O19_Phase0    3.47978107e-01 +/- 4.02010788e+13
x_O1_Phase0     9.59607637e-01 +/- 4.08456511e+13
x_O200_Phase0   1.85780774e-01 +/- 3.89482386e+13
x_O201_Phase0   8.14400400e-01 +/- 4.07268131e+13
x_O202_Phase0   6.86764734e-01 +/- 4.07353150e+13
x_O203_Phase0   3.13235266e-01 +/- 4.00621528e+13
x_O204_Phase0   3.12294025e-01 +/- 4.02269414e+13
x_O205_Phase0   6.87488849e-01 +/- 4.07496107e+13
x_O206_Phase0   8.13314959e-01 +/- 4.07521779e+13
x_O207_Phase0   1.86685041e-01 +/- 3.89920908e+13
x_O208_Phase0   4.03828139e-01 +/- 4.03106854e+13
x_O209_Phase0   5.96675981e-01 +/- 4.06590117e+13
x_O20_Phase0    8.48373481e-01 +/- 4.08196458e+13
x_O210_Phase0   5.97568571e-01 +/- 4.05933344e+13
x_O211_Phase0   4.02431429e-01 +/- 4.04106064e+13
x_O212_Phase0   9.03514589e-01 +/- 4.07806496e+13
x_O213_Phase0   9.66977073e-02 +/- 3.49063092e+13
x_O214_Phase0   9.90679187e-02 +/- 3.53038880e+13
x_O215_Phase0   9.00932081e-01 +/- 4.07619187e+13
x_O216_Phase0   3.37451944e-01 +/- 4.01737669e+13
x_O217_Phase0   6.62548056e-01 +/- 4.06874532e+13
x_O218_Phase0   1.62558960e-01 +/- 3.80309984e+13
x_O219_Phase0   8.37441040e-01 +/- 4.08250105e+13
x_O21_Phase0    1.51626519e-01 +/- 3.75166100e+13
x_O220_Phase0   6.60790988e-01 +/- 4.05388840e+13
x_O221_Phase0   3.39209012e-01 +/- 4.00720873e+13
x_O222_Phase0   8.40815268e-01 +/- 4.06197463e+13
x_O223_Phase0   1.59184732e-01 +/- 3.80076450e+13
x_O224_Phase0   1.58051981e-01 +/- 3.79912589e+13
x_O225_Phase0   8.41948019e-01 +/- 4.06626013e+13
x_O226_Phase0   3.38966283e-01 +/- 4.02057045e+13
x_O227_Phase0   6.61033717e-01 +/- 4.06641763e+13
x_O228_Phase0   8.38795117e-01 +/- 4.07205328e+13
x_O229_Phase0   1.61204883e-01 +/- 3.84371397e+13
x_O22_Phase0    1.52005316e-01 +/- 3.75879732e+13
x_O230_Phase0   6.58913854e-01 +/- 4.06658833e+13
x_O231_Phase0   3.41086146e-01 +/- 4.00733104e+13
x_O232_Phase0   5.00815629e-01 +/- 4.05463652e+13
x_O233_Phase0   4.99184371e-01 +/- 4.05918872e+13
x_O234_Phase0   1.82614701e-03 +/- 1.14469830e+12
x_O235_Phase0   9.98173853e-01 +/- 4.06908113e+13
x_O236_Phase0   9.97585218e-01 +/- 4.07270821e+13
x_O237_Phase0   2.41478207e-03 +/- 1.63324015e+12
x_O238_Phase0   4.98480654e-01 +/- 4.05747700e+13
x_O239_Phase0   5.01519346e-01 +/- 4.05504875e+13
x_O23_Phase0    8.47994684e-01 +/- 4.08396313e+13
x_O240_Phase0   3.15066902e-01 +/- 3.99086224e+13
x_O241_Phase0   6.84933098e-01 +/- 4.06050774e+13
x_O242_Phase0   6.84383922e-01 +/- 4.05404825e+13
x_O243_Phase0   3.15616078e-01 +/- 3.99555264e+13
x_O244_Phase0   8.16386148e-01 +/- 4.05908013e+13
x_O245_Phase0   1.83613852e-01 +/- 3.86821707e+13
x_O246_Phase0   1.84379130e-01 +/- 3.88843852e+13
x_O247_Phase0   8.15620870e-01 +/- 4.06423703e+13
x_O248_Phase0   1.64064948e-01 +/- 3.84514163e+13
x_O249_Phase0   8.35935052e-01 +/- 4.08538846e+13
x_O24_Phase0    2.27886173e-02 +/- 1.47308212e+13
x_O250_Phase0   3.37665648e-01 +/- 4.02414812e+13
x_O251_Phase0   6.62238436e-01 +/- 4.07967401e+13
x_O252_Phase0   8.34417134e-01 +/- 4.09036753e+13
x_O253_Phase0   1.65582866e-01 +/- 3.84296234e+13
x_O254_Phase0   6.63038520e-01 +/- 6.20135176e+13
x_O255_Phase0   3.36961487e-01 +/- 4.04921046e+13
x_O256_Phase0   3.21853577e-01 +/- 3.98277180e+13
x_O257_Phase0   6.78146423e-01 +/- 4.04403060e+13
x_O258_Phase0   8.21759915e-01 +/- 4.06348939e+13
x_O259_Phase0   1.78178695e-01 +/- 3.83355749e+13
x_O25_Phase0    9.77211383e-01 +/- 4.08580459e+13
x_O260_Phase0   1.80368413e-01 +/- 3.82115650e+13
x_O261_Phase0   8.19631587e-01 +/- 4.05936443e+13
x_O262_Phase0   6.79752212e-01 +/- 5.29925022e+13
x_O263_Phase0   3.20247796e-01 +/- 4.01098637e+13
x_O264_Phase0   1.71956036e-01 +/- 3.82582749e+13
x_O265_Phase0   8.28043964e-01 +/- 4.08237281e+13
x_O266_Phase0   8.28405794e-01 +/- 4.07322949e+13
x_O267_Phase0   1.71484925e-01 +/- 3.84317701e+13
x_O268_Phase0   6.68347181e-01 +/- 4.07255657e+13
x_O269_Phase0   3.31652819e-01 +/- 4.01186693e+13
x_O26_Phase0    4.75902762e-01 +/- 4.06227806e+13
x_O270_Phase0   3.28636554e-01 +/- 6.89998434e+13
x_O271_Phase0   6.71363452e-01 +/- 4.08958379e+13
x_O272_Phase0   1.11796902e-02 +/- 6.61994672e+12
x_O273_Phase0   9.88820310e-01 +/- 4.06645754e+13
x_O274_Phase0   4.88374740e-01 +/- 4.04797766e+13
x_O275_Phase0   5.11625260e-01 +/- 4.04807519e+13
x_O276_Phase0   9.88367487e-01 +/- 4.07044235e+13
x_O277_Phase0   1.16325125e-02 +/- 7.46468091e+12
x_O278_Phase0   5.12081374e-01 +/- 4.04547209e+13
x_O279_Phase0   4.87918626e-01 +/- 4.03967632e+13
x_O27_Phase0    5.24097238e-01 +/- 4.06702478e+13
x_O280_Phase0   4.73199723e-01 +/- 4.04510528e+13
x_O281_Phase0   5.26800277e-01 +/- 4.04592904e+13
x_O282_Phase0   9.73533381e-01 +/- 4.06771527e+13
x_O283_Phase0   2.64666190e-02 +/- 1.65506834e+13
x_O284_Phase0   2.76864063e-02 +/- 1.73213517e+13
x_O285_Phase0   9.72313594e-01 +/- 4.06715415e+13
x_O286_Phase0   5.27224485e-01 +/- 4.04121658e+13
x_O287_Phase0   4.72775515e-01 +/- 4.03238247e+13
x_O288_Phase0   1.73858782e-01 +/- 3.85176017e+13
x_O289_Phase0   8.26141218e-01 +/- 4.07455830e+13
x_O28_Phase0    9.75969549e-01 +/- 4.08672733e+13
x_O290_Phase0   8.28603219e-01 +/- 4.07177807e+13
x_O291_Phase0   1.71396781e-01 +/- 3.82044836e+13
x_O292_Phase0   6.72625803e-01 +/- 4.07029306e+13
x_O293_Phase0   3.27374197e-01 +/- 4.01648458e+13
x_O294_Phase0   3.27154969e-01 +/- 3.99996170e+13
x_O295_Phase0   6.72845031e-01 +/- 4.06119461e+13
x_O296_Phase0   5.84780846e-03 +/- 4.01088506e+12
x_O297_Phase0   9.94152192e-01 +/- 4.06750286e+13
x_O298_Phase0   4.96416163e-01 +/- 4.05080795e+13
x_O299_Phase0   5.03583837e-01 +/- 4.04774712e+13
x_O29_Phase0    2.40304507e-02 +/- 1.43834288e+13
x_O2_Phase0     4.60218252e-01 +/- 4.04393027e+13
x_O300_Phase0   9.95149202e-01 +/- 4.08235636e+13
x_O301_Phase0   4.85079792e-03 +/- 3.23230407e+12
x_O302_Phase0   5.06244410e-01 +/- 4.05750877e+13
x_O303_Phase0   4.93755590e-01 +/- 4.05822658e+13
x_O304_Phase0   3.15254458e-01 +/- 3.94958886e+13
x_O305_Phase0   6.84745542e-01 +/- 4.02426630e+13
x_O306_Phase0   8.15568490e-01 +/- 4.07362263e+13
x_O307_Phase0   1.84431510e-01 +/- 3.85848676e+13
x_O308_Phase0   1.83875646e-01 +/- 3.85491897e+13
x_O309_Phase0   8.16124354e-01 +/- 4.07324265e+13
x_O30_Phase0    5.23651783e-01 +/- 4.06436075e+13
x_O310_Phase0   6.83191962e-01 +/- 4.06333798e+13
x_O311_Phase0   3.16808038e-01 +/- 4.00551453e+13
x_O312_Phase0   3.48350528e-01 +/- 4.01424831e+13
x_O313_Phase0   6.51649472e-01 +/- 4.06281619e+13
x_O314_Phase0   6.52731168e-01 +/- 4.06337631e+13
x_O315_Phase0   3.47268832e-01 +/- 4.00777222e+13
x_O316_Phase0   8.47143544e-01 +/- 4.06596101e+13
x_O317_Phase0   1.52856456e-01 +/- 3.72242905e+13
x_O318_Phase0   1.50542207e-01 +/- 3.73730268e+13
x_O319_Phase0   8.49457793e-01 +/- 4.06439066e+13
x_O31_Phase0    4.76348217e-01 +/- 4.06528152e+13
x_O320_Phase0   3.58409281e-01 +/- 4.03395461e+13
x_O321_Phase0   6.41590719e-01 +/- 4.06910800e+13
