Results written: Thu Mar 26 10:21:09 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.03495246
Contributions  0.03493367
Restraints     0.00001879
Chi2           3.68341169
Reduced Chi2   0.00084696
Rw             0.18694869

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O179_Phase0   1.32660151e-01 +/- 2.73743334e+13
x_O17_Phase0    6.52553487e-01 +/- 3.00828947e+13
x_O180_Phase0   1.31414734e-01 +/- 2.70983281e+13
x_O181_Phase0   8.68628737e-01 +/- 3.02416777e+13
x_O182_Phase0   6.32255233e-01 +/- 3.02324433e+13
x_O183_Phase0   3.67493624e-01 +/- 3.02666575e+13
x_O184_Phase0   1.90015835e-01 +/- 3.01033577e+13
x_O185_Phase0   8.09985403e-01 +/- 3.02078710e+13
x_O186_Phase0   8.09661526e-01 +/- 3.02333030e+13
x_O187_Phase0   1.90337993e-01 +/- 2.88976609e+13
x_O188_Phase0   6.90699103e-01 +/- 3.02120513e+13
x_O189_Phase0   3.09131971e-01 +/- 2.98150532e+13
x_O18_Phase0    6.51904702e-01 +/- 3.00513663e+13
x_O190_Phase0   3.08957126e-01 +/- 2.95017803e+13
x_O191_Phase0   6.90773126e-01 +/- 3.00951134e+13
x_O192_Phase0   2.13733539e-02 +/- 9.98812724e+12
x_O193_Phase0   9.78614988e-01 +/- 3.03280720e+13
x_O194_Phase0   4.77925978e-01 +/- 2.99492072e+13
x_O195_Phase0   5.22073324e-01 +/- 3.00102310e+13
x_O196_Phase0   9.77728200e-01 +/- 3.02371290e+13
x_O197_Phase0   2.18863911e-02 +/- 1.07040916e+13
x_O198_Phase0   5.22749259e-01 +/- 3.05038052e+13
x_O199_Phase0   4.77248390e-01 +/- 2.99927954e+13
x_O19_Phase0    3.48096813e-01 +/- 2.97912259e+13
x_O1_Phase0     9.59652530e-01 +/- 3.02961788e+13
x_O200_Phase0   1.85625608e-01 +/- 2.86550508e+13
x_O201_Phase0   8.14316415e-01 +/- 3.04000580e+13
x_O202_Phase0   6.86599131e-01 +/- 3.01585205e+13
x_O203_Phase0   3.13399838e-01 +/- 2.98498016e+13
x_O204_Phase0   3.12417195e-01 +/- 2.97471036e+13
x_O205_Phase0   6.87377307e-01 +/- 3.01978193e+13
x_O206_Phase0   8.13338690e-01 +/- 3.03798535e+13
x_O207_Phase0   1.86662126e-01 +/- 2.87328642e+13
x_O208_Phase0   4.03384520e-01 +/- 3.01189185e+13
x_O209_Phase0   5.96545700e-01 +/- 3.04245664e+13
x_O20_Phase0    8.48289240e-01 +/- 3.01826487e+13
x_O210_Phase0   5.97460586e-01 +/- 3.01452207e+13
x_O211_Phase0   4.02542352e-01 +/- 3.00484521e+13
x_O212_Phase0   9.03512172e-01 +/- 3.02020060e+13
x_O213_Phase0   9.67161205e-02 +/- 2.61268251e+13
x_O214_Phase0   9.86292435e-02 +/- 2.71386386e+13
x_O215_Phase0   9.01370306e-01 +/- 3.12605127e+13
x_O216_Phase0   3.37442938e-01 +/- 2.97922229e+13
x_O217_Phase0   6.62557031e-01 +/- 3.01148593e+13
x_O218_Phase0   1.62709072e-01 +/- 2.90730443e+13
x_O219_Phase0   8.37290498e-01 +/- 3.02655269e+13
x_O21_Phase0    1.51709299e-01 +/- 2.78319415e+13
x_O220_Phase0   6.60901633e-01 +/- 3.01142652e+13
x_O221_Phase0   3.39098210e-01 +/- 2.98897407e+13
x_O222_Phase0   8.40903880e-01 +/- 3.00761285e+13
x_O223_Phase0   1.59096194e-01 +/- 2.77444197e+13
x_O224_Phase0   1.58120714e-01 +/- 2.85550451e+13
x_O225_Phase0   8.41878956e-01 +/- 3.01250260e+13
x_O226_Phase0   3.39005933e-01 +/- 3.02918994e+13
x_O227_Phase0   6.60993871e-01 +/- 2.99817846e+13
x_O228_Phase0   8.38828866e-01 +/- 3.00845362e+13
x_O229_Phase0   1.61171173e-01 +/- 2.78283711e+13
x_O22_Phase0    1.51947955e-01 +/- 2.82686571e+13
x_O230_Phase0   6.58922950e-01 +/- 3.00927965e+13
x_O231_Phase0   3.41076951e-01 +/- 2.97053166e+13
x_O232_Phase0   5.01398932e-01 +/- 2.99548450e+13
x_O233_Phase0   4.98600626e-01 +/- 2.99772056e+13
x_O234_Phase0   1.99508962e-03 +/- 8.75196813e+11
x_O235_Phase0   9.98004669e-01 +/- 3.01218692e+13
x_O236_Phase0   9.97501043e-01 +/- 3.01696631e+13
x_O237_Phase0   2.49969402e-03 +/- 1.27329846e+12
x_O238_Phase0   4.98226827e-01 +/- 2.99678296e+13
x_O239_Phase0   5.01772172e-01 +/- 3.00787192e+13
x_O23_Phase0    8.48051360e-01 +/- 3.02065922e+13
x_O240_Phase0   3.14900662e-01 +/- 2.97095941e+13
x_O241_Phase0   6.85098673e-01 +/- 3.02231409e+13
x_O242_Phase0   6.84412872e-01 +/- 3.00157174e+13
x_O243_Phase0   3.15586711e-01 +/- 2.96884508e+13
