Results written: Sun Mar  1 15:32:38 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01236317
Contributions  0.01236317
Restraints     0.00000000
Chi2           2.30948967
Reduced Chi2   0.00345732
Rw             0.11118980

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O30_Phase0    5.23592530e-01 +/- 9.67932720e+12
x_O31_Phase0    4.76407780e-01 +/- 9.56325481e+12
x_O320_Phase0   3.58339946e-01 +/- 9.19849690e+12
x_O321_Phase0   6.41660092e-01 +/- 9.93308269e+12
x_O322_Phase0   1.41780938e-01 +/- 6.49469004e+12
x_O323_Phase0   8.58219460e-01 +/- 9.86816761e+12
x_O324_Phase0   6.41126178e-01 +/- 9.78855666e+12
x_O325_Phase0   3.58873738e-01 +/- 9.28212214e+12
x_O326_Phase0   8.58572925e-01 +/- 9.89729812e+12
x_O327_Phase0   1.41426978e-01 +/- 6.54455725e+12
x_O328_Phase0   4.37666546e-01 +/- 9.53481456e+12
x_O329_Phase0   5.62333484e-01 +/- 9.77761908e+12
x_O344_Phase0   1.07895294e-02 +/- 6.30694895e+11
x_O345_Phase0   9.89210566e-01 +/- 9.88596956e+12
x_O346_Phase0   4.89472553e-01 +/- 9.57486276e+12
x_O347_Phase0   5.10527317e-01 +/- 9.53563594e+12
x_O348_Phase0   9.88769805e-01 +/- 9.86081745e+12
x_O349_Phase0   1.12303183e-02 +/- 7.05770808e+11
x_O350_Phase0   5.09187027e-01 +/- 9.54319443e+12
x_O351_Phase0   4.90812840e-01 +/- 9.45756962e+12
x_O368_Phase0   2.35529460e-01 +/- 8.56502214e+12
x_O369_Phase0   7.64470521e-01 +/- 9.82320322e+12
x_O370_Phase0   2.64746378e-01 +/- 8.74017858e+12
x_O371_Phase0   7.35253402e-01 +/- 9.85964467e+12
x_O372_Phase0   7.67183858e-01 +/- 9.86288423e+12
x_O373_Phase0   2.32815974e-01 +/- 8.19254205e+12
x_O374_Phase0   7.32457089e-01 +/- 9.76052702e+12
x_O375_Phase0   2.67542167e-01 +/- 8.49410193e+12
x_O392_Phase0   2.83673703e-01 +/- 8.68162261e+12
x_O393_Phase0   7.16326461e-01 +/- 9.62347310e+12
x_O394_Phase0   2.16411687e-01 +/- 8.06614579e+12
x_O395_Phase0   7.83588006e-01 +/- 9.65722931e+12
x_O396_Phase0   7.18321719e-01 +/- 9.70105969e+12
x_O397_Phase0   2.81677556e-01 +/- 8.65793053e+12
x_O398_Phase0   7.83169914e-01 +/- 9.67281466e+12
x_O399_Phase0   2.16830388e-01 +/- 7.77212594e+12
x_O3_Phase0     5.39798413e-01 +/- 9.60030507e+12
x_O416_Phase0   1.91250470e-01 +/- 7.75905980e+12
x_O417_Phase0   8.08749618e-01 +/- 9.89914804e+12
x_O418_Phase0   3.10073511e-01 +/- 8.80176491e+12
x_O419_Phase0   6.89926024e-01 +/- 9.82384827e+12
x_O420_Phase0   8.09936567e-01 +/- 9.83892625e+12
x_O421_Phase0   1.90063424e-01 +/- 7.84603753e+12
x_O422_Phase0   6.90148172e-01 +/- 9.44769629e+12
x_O423_Phase0   3.09724130e-01 +/- 9.23994599e+12
x_O431_Phase0   2.98621024e-01 +/- 9.00673618e+12
x_O440_Phase0   1.57259989e-01 +/- 6.94957236e+12
x_O441_Phase0   8.42740179e-01 +/- 9.88476025e+12
x_O442_Phase0   3.43643307e-01 +/- 9.28369113e+12
