Results written: Sun Feb  1 02:14:56 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01874434
Contributions  0.01874434
Restraints     0.00000000
Chi2           3.88724311
Reduced Chi2   0.01561142
Rw             0.13690996

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O452_Phase0   7.29090925e-02 +/- 8.22069847e+12
x_O455_Phase0   4.28051019e-01 +/- 2.61825279e+13
x_O458_Phase0   8.11658246e-01 +/- 2.80762576e+13
x_O460_Phase0   6.87980262e-01 +/- 2.77949128e+13
x_O461_Phase0   3.12008846e-01 +/- 2.43805556e+13
x_O464_Phase0   1.02766858e-01 +/- 1.11133238e+13
x_O466_Phase0   3.98216678e-01 +/- 2.21003356e+13
x_O468_Phase0   8.97601137e-01 +/- 2.81728021e+13
x_O470_Phase0   6.02215356e-01 +/- 2.74008177e+13
x_O476_Phase0   2.97763738e-01 +/- 2.27537023e+13
x_O478_Phase0   7.98308109e-01 +/- 2.70665052e+13
x_O48_Phase0    8.88632703e-03 +/- 1.03213278e+12
x_O492_Phase0   2.35565434e-02 +/- 2.79904611e+12
x_O494_Phase0   4.75744945e-01 +/- 2.40520299e+13
x_O496_Phase0   9.75205896e-01 +/- 2.63030576e+13
x_O498_Phase0   5.23749661e-01 +/- 2.45914094e+13
x_O4_Phase0     9.60225928e-01 +/- 2.65125014e+13
x_O50_Phase0    4.90643264e-01 +/- 2.37397755e+13
x_O516_Phase0   1.02785171e-01 +/- 1.22200138e+13
x_O518_Phase0   3.97594357e-01 +/- 2.35928843e+13
x_O520_Phase0   8.97774789e-01 +/- 2.59555914e+13
x_O522_Phase0   6.02548216e-01 +/- 2.44545904e+13
x_O52_Phase0    9.90999558e-01 +/- 2.59092686e+13
x_O540_Phase0   2.52447141e-02 +/- 3.14036936e+12
x_O542_Phase0   4.74077120e-01 +/- 2.41923780e+13
x_O544_Phase0   9.76476855e-01 +/- 2.61055609e+13
x_O546_Phase0   5.25574455e-01 +/- 2.53736406e+13
x_O54_Phase0    5.10282977e-01 +/- 2.46470680e+13
x_O564_Phase0   4.00859013e-02 +/- 4.90579982e+12
x_O566_Phase0   4.58559843e-01 +/- 2.45690441e+13
x_O568_Phase0   9.60810637e-01 +/- 2.89559976e+13
x_O569_Phase0   3.91936488e-02 +/- 4.67680827e+12
x_O570_Phase0   5.40764530e-01 +/- 2.45669832e+13
x_O576_Phase0   2.24003848e-01 +/- 1.92868977e+13
x_O584_Phase0   6.40141508e-01 +/- 2.80392612e+13
x_O588_Phase0   1.63199431e-01 +/- 1.71848895e+13
x_O590_Phase0   3.36936134e-01 +/- 2.27998427e+13
x_O592_Phase0   8.36949271e-01 +/- 2.58694366e+13
x_O594_Phase0   6.62711668e-01 +/- 2.58842763e+13
x_O612_Phase0   2.55239424e-01 +/- 1.85733101e+13
x_O614_Phase0   2.47346402e-01 +/- 1.91417387e+13
x_O616_Phase0   7.47138399e-01 +/- 2.22603247e+13
x_O618_Phase0   7.56202727e-01 +/- 2.38948523e+13
x_O636_Phase0   2.00750987e-01 +/- 1.93487401e+13
x_O638_Phase0   3.00335184e-01 +/- 2.22349254e+13
x_O640_Phase0   8.00244240e-01 +/- 2.62534002e+13
x_O642_Phase0   7.00056078e-01 +/- 2.60172908e+13
x_O660_Phase0   1.43319964e-01 +/- 1.49302591e+13
x_O662_Phase0   3.56046957e-01 +/- 2.27078574e+13
x_O664_Phase0   8.55618858e-01 +/- 2.78136738e+13
x_O665_Phase0   1.44347553e-01 +/- 1.55741527e+13
x_O666_Phase0   6.44612248e-01 +/- 2.56098772e+13
x_O684_Phase0   7.10063656e-02 +/- 8.00809055e+12
x_O686_Phase0   4.30703031e-01 +/- 2.45496514e+13
x_O688_Phase0   9.30342570e-01 +/- 2.77828734e+13
x_O689_Phase0   6.97298273e-02 +/- 8.46710757e+12
x_O690_Phase0   5.69776816e-01 +/- 2.32379751e+13
x_O6_Phase0     5.40675290e-01 +/- 2.50243170e+13
x_O702_Phase0   6.99199511e-01 +/- 2.79023419e+13
x_O703_Phase0   3.00779467e-01 +/- 2.27314769e+13
x_O708_Phase0   1.36673515e-01 +/- 1.26137023e+13
x_O710_Phase0   3.63547605e-01 +/- 2.34588273e+13
x_O712_Phase0   8.63793374e-01 +/- 2.78476760e+13
x_O713_Phase0   1.36215981e-01 +/- 1.52877856e+13
x_O714_Phase0   6.36512502e-01 +/- 2.55030277e+13
x_O72_Phase0    2.69303971e-02 +/- 3.51127574e+12
x_O732_Phase0   1.99133626e-01 +/- 1.68908269e+13
x_O734_Phase0   2.99442349e-01 +/- 2.20967995e+13
x_O736_Phase0   7.99006406e-01 +/- 2.82427447e+13
x_O738_Phase0   7.01077244e-01 +/- 2.80355313e+13
x_O739_Phase0   2.98906444e-01 +/- 2.25281593e+13
x_O744_Phase0   2.55028024e-01 +/- 2.05567314e+13
x_O746_Phase0   7.55208785e-01 +/- 2.78275795e+13
x_O747_Phase0   2.44148584e-01 +/- 2.12226024e+13
x_O74_Phase0    4.71544472e-01 +/- 2.41495205e+13
x_O76_Phase0    9.72512185e-01 +/- 2.57379771e+13
x_O78_Phase0    5.26433987e-01 +/- 2.68408207e+13
x_O79_Phase0    4.73632179e-01 +/- 2.57743149e+13
x_O96_Phase0    9.85285158e-02 +/- 9.51818622e+12
x_O98_Phase0    4.02467716e-01 +/- 2.33237779e+13
x_V0_Phase0     4.34531753e-02 +/- 5.69334792e+12
x_V100_Phase0   8.74012002e-01 +/- 2.22520612e+13
x_V101_Phase0   1.26190949e-01 +/- 1.20878316e+13
x_V102_Phase0   6.29305461e-01 +/- 2.33669629e+13
x_V103_Phase0   3.70671564e-01 +/- 2.30314264e+13
x_V119_Phase0   7.94469297e-01 +/- 2.79947524e+13
x_V120_Phase0   1.34434383e-01 +/- 1.38753217e+13
x_V121_Phase0   8.65522783e-01 +/- 2.29106635e+13
x_V122_Phase0   3.66382571e-01 +/- 2.36132298e+13
x_V123_Phase0   6.33643173e-01 +/- 2.74387513e+13
x_V124_Phase0   8.67386945e-01 +/- 2.79974150e+13
x_V125_Phase0   1.32665246e-01 +/- 1.36888034e+13
x_V126_Phase0   6.29217656e-01 +/- 2.25072205e+13
x_V127_Phase0   3.70706490e-01 +/- 2.07255176e+13
x_V12_Phase0    2.80574538e-01 +/- 2.11541568e+13
x_V131_Phase0   1.25829184e-01 +/- 1.50937786e+13
x_V132_Phase0   1.25483562e-01 +/- 1.25340299e+13
x_V138_Phase0   7.94690483e-01 +/- 2.57974901e+13
x_V13_Phase0    7.19398941e-01 +/- 2.74135932e+13
x_V140_Phase0   7.04037438e-01 +/- 2.71386629e+13
x_V141_Phase0   2.95933602e-01 +/- 2.34308858e+13
x_V144_Phase0   2.87328476e-02 +/- 3.64263563e+12
x_V145_Phase0   9.71331117e-01 +/- 2.74535680e+13
x_V146_Phase0   4.75959929e-01 +/- 2.23127834e+13
x_V147_Phase0   5.24030172e-01 +/- 2.23086023e+13
x_V148_Phase0   9.79395374e-01 +/- 2.02600556e+13
x_V149_Phase0   2.06270995e-02 +/- 2.58223426e+12
x_V150_Phase0   5.28929657e-01 +/- 2.65443266e+13
x_V151_Phase0   4.70877562e-01 +/- 2.17212800e+13
x_V153_Phase0   6.28339312e-01 +/- 2.74555633e+13
x_V158_Phase0   6.31314875e-01 +/- 2.56741190e+13
x_V161_Phase0   9.53724677e-01 +/- 2.75331760e+13
x_V168_Phase0   3.66860388e-02 +/- 4.35294822e+12
x_V169_Phase0   9.63236430e-01 +/- 2.46033355e+13
x_V170_Phase0   4.58055413e-01 +/- 2.23578641e+13
x_V171_Phase0   5.41917402e-01 +/- 2.25596068e+13
x_V172_Phase0   9.62969260e-01 +/- 2.30210371e+13
x_V173_Phase0   3.68675000e-02 +/- 4.69051396e+12
x_V174_Phase0   5.37407303e-01 +/- 2.34582616e+13
x_V175_Phase0   4.62570531e-01 +/- 2.28729645e+13
x_V185_Phase0   6.30822265e-01 +/- 2.66852273e+13
x_V192_Phase0   2.10755900e-01 +/- 1.79602255e+13
x_V193_Phase0   7.89135885e-01 +/- 2.54009857e+13
x_V194_Phase0   2.82854857e-01 +/- 1.99589081e+13
x_V195_Phase0   7.17229432e-01 +/- 2.74619140e+13
x_V196_Phase0   7.87173014e-01 +/- 2.56771521e+13
x_V197_Phase0   2.13103095e-01 +/- 1.92323304e+13
x_V198_Phase0   7.13905216e-01 +/- 2.72583133e+13
x_V199_Phase0   2.85654880e-01 +/- 2.21003022e+13
x_V1_Phase0     9.56300300e-01 +/- 2.80056891e+13
x_V201_Phase0   7.00155250e-01 +/- 2.76413528e+13
x_V203_Phase0   2.08015197e-01 +/- 1.81324874e+13
x_V206_Phase0   7.06770265e-01 +/- 2.74178460e+13
x_V207_Phase0   2.93172009e-01 +/- 2.14764571e+13
x_V20_Phase0    6.20785158e-01 +/- 2.69878118e+13
x_V212_Phase0   9.64714509e-01 +/- 2.78908574e+13
x_V213_Phase0   3.49565481e-02 +/- 4.30004664e+12
x_V214_Phase0   4.08706358e-02 +/- 4.96717397e+12
x_V26_Phase0    1.21606529e-01 +/- 1.18828782e+13
x_V28_Phase0    6.19375616e-01 +/- 2.58907679e+13
