Results written: Mon Feb 23 16:52:51 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01627904
Contributions  0.01362709
Restraints     0.00265195
Chi2           2.72268558
Reduced Chi2   0.00922944
Rw             0.12742888

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O466_Phase0   3.98188723e-01 +/- 1.16687907e+13
x_O468_Phase0   8.97681116e-01 +/- 1.48282520e+13
x_O470_Phase0   6.02135723e-01 +/- 1.40156856e+13
x_O476_Phase0   2.97913236e-01 +/- 1.21011758e+13
x_O478_Phase0   7.98409180e-01 +/- 1.42027550e+13
x_O48_Phase0    8.86092054e-03 +/- 4.55668517e+11
x_O492_Phase0   2.34237035e-02 +/- 1.37067396e+12
x_O494_Phase0   4.76037660e-01 +/- 1.24788989e+13
x_O496_Phase0   9.75299402e-01 +/- 1.40239750e+13
x_O498_Phase0   5.23719224e-01 +/- 1.26832260e+13
x_O4_Phase0     9.60252390e-01 +/- 1.38581387e+13
x_O50_Phase0    4.90851808e-01 +/- 1.25193843e+13
x_O516_Phase0   1.02816465e-01 +/- 5.81407355e+12
x_O518_Phase0   3.97556421e-01 +/- 1.23040750e+13
x_O520_Phase0   8.97837582e-01 +/- 1.40377682e+13
x_O522_Phase0   6.02615156e-01 +/- 1.22881254e+13
x_O52_Phase0    9.91145735e-01 +/- 1.39787287e+13
x_O540_Phase0   2.52743837e-02 +/- 1.46955746e+12
x_O542_Phase0   4.74096170e-01 +/- 1.31372448e+13
x_O544_Phase0   9.76251143e-01 +/- 1.37376351e+13
x_O546_Phase0   5.25484466e-01 +/- 1.28689175e+13
x_O54_Phase0    5.09903063e-01 +/- 1.28366515e+13
x_O564_Phase0   3.98931047e-02 +/- 2.25999294e+12
x_O566_Phase0   4.58832563e-01 +/- 1.25563371e+13
x_O568_Phase0   9.60810620e-01 +/- 1.47413506e+13
x_O570_Phase0   5.40467360e-01 +/- 1.31867089e+13
x_O576_Phase0   2.24064510e-01 +/- 1.03117835e+13
x_O584_Phase0   6.39790266e-01 +/- 1.43488325e+13
x_O588_Phase0   1.63449711e-01 +/- 7.68705213e+12
x_O590_Phase0   3.36704099e-01 +/- 1.14138929e+13
x_O592_Phase0   8.36672265e-01 +/- 1.35797563e+13
x_O594_Phase0   6.62825091e-01 +/- 1.34988705e+13
x_O612_Phase0   2.55351981e-01 +/- 1.00840065e+13
x_O614_Phase0   2.46786507e-01 +/- 9.11487918e+12
x_O616_Phase0   7.46645483e-01 +/- 1.17021718e+13
x_O618_Phase0   7.56207928e-01 +/- 1.30423753e+13
x_O636_Phase0   2.00644536e-01 +/- 8.85818308e+12
x_O638_Phase0   3.00271847e-01 +/- 1.11981519e+13
x_O640_Phase0   8.00418876e-01 +/- 1.34963073e+13
x_O642_Phase0   6.99889136e-01 +/- 1.36976709e+13
x_O660_Phase0   1.43343048e-01 +/- 6.98447486e+12
x_O662_Phase0   3.55998232e-01 +/- 1.05795217e+13
x_O664_Phase0   8.55717951e-01 +/- 1.46914832e+13
x_O665_Phase0   1.44261998e-01 +/- 6.79306668e+12
x_O666_Phase0   6.44488665e-01 +/- 1.38540320e+13
x_O684_Phase0   7.10304022e-02 +/- 4.02063951e+12
x_O686_Phase0   4.30561195e-01 +/- 1.27977424e+13
x_O688_Phase0   9.30166705e-01 +/- 1.45945541e+13
x_O689_Phase0   6.98847915e-02 +/- 3.78663223e+12
x_O690_Phase0   5.69822509e-01 +/- 1.21922116e+13
x_O6_Phase0     5.40588211e-01 +/- 1.31406014e+13
x_O702_Phase0   6.99156760e-01 +/- 1.45177065e+13
x_O708_Phase0   1.36785778e-01 +/- 7.16358431e+12
x_O710_Phase0   3.63431901e-01 +/- 1.20724660e+13
x_O712_Phase0   8.63801323e-01 +/- 1.44000019e+13
x_O713_Phase0   1.36193474e-01 +/- 7.27167131e+12
x_O714_Phase0   6.36583698e-01 +/- 1.35226812e+13
x_O72_Phase0    2.70287158e-02 +/- 1.47599402e+12
x_O732_Phase0   1.99412327e-01 +/- 9.65616554e+12
x_O734_Phase0   2.99423440e-01 +/- 1.09974613e+13
x_O736_Phase0   7.98919890e-01 +/- 1.45425693e+13
x_O738_Phase0   7.01115087e-01 +/- 1.44133420e+13
x_O739_Phase0   2.98854891e-01 +/- 1.16460211e+13
x_O744_Phase0   2.54934709e-01 +/- 1.05271939e+13
x_O746_Phase0   7.55677354e-01 +/- 1.45447473e+13
x_O747_Phase0   2.44280574e-01 +/- 1.01764745e+13
x_O74_Phase0    4.71593503e-01 +/- 1.25961228e+13
x_O76_Phase0    9.72537820e-01 +/- 1.38083426e+13
x_O78_Phase0    5.26562802e-01 +/- 1.31769054e+13
x_O79_Phase0    4.73493334e-01 +/- 1.31905636e+13
x_O96_Phase0    9.81910996e-02 +/- 5.26630572e+12
x_O98_Phase0    4.02545095e-01 +/- 1.22487904e+13
x_V0_Phase0     4.36538679e-02 +/- 2.68050754e+12
x_V100_Phase0   8.73516925e-01 +/- 1.19809042e+13
x_V101_Phase0   1.26690621e-01 +/- 6.19767061e+12
x_V102_Phase0   6.29346033e-01 +/- 1.22433770e+13
x_V103_Phase0   3.70449183e-01 +/- 1.20472852e+13
x_V119_Phase0   7.94491802e-01 +/- 1.46170028e+13
x_V120_Phase0   1.34793649e-01 +/- 7.05562952e+12
x_V121_Phase0   8.65400375e-01 +/- 1.23846906e+13
x_V122_Phase0   3.66349232e-01 +/- 1.17277939e+13
x_V123_Phase0   6.33673920e-01 +/- 1.39185078e+13
x_V124_Phase0   8.67191008e-01 +/- 1.40635579e+13
x_V126_Phase0   6.29457059e-01 +/- 1.20419052e+13
x_V127_Phase0   3.70467787e-01 +/- 1.11721090e+13
x_V12_Phase0    2.80826048e-01 +/- 9.63028004e+12
x_V131_Phase0   1.26030301e-01 +/- 6.27259416e+12
x_V132_Phase0   1.25826944e-01 +/- 6.52727551e+12
x_V138_Phase0   7.94491745e-01 +/- 1.36068403e+13
x_V140_Phase0   7.04016341e-01 +/- 1.41155120e+13
x_V141_Phase0   2.95952115e-01 +/- 1.10385498e+13
x_V144_Phase0   2.85096387e-02 +/- 1.70806851e+12
x_V146_Phase0   4.75834723e-01 +/- 1.13630612e+13
x_V147_Phase0   5.24159160e-01 +/- 1.21359650e+13
x_V148_Phase0   9.78905996e-01 +/- 1.11179525e+13
x_V149_Phase0   2.10953236e-02 +/- 1.17937651e+12
x_V150_Phase0   5.28902498e-01 +/- 1.19698940e+13
x_V151_Phase0   4.71088788e-01 +/- 1.18114679e+13
x_V168_Phase0   3.70095643e-02 +/- 2.03520520e+12
x_V170_Phase0   4.57763760e-01 +/- 7.37363857e+12
x_V172_Phase0   9.62687213e-01 +/- 1.22940454e+13
x_V173_Phase0   3.72038391e-02 +/- 2.20182910e+12
x_V174_Phase0   5.37388415e-01 +/- 1.18061376e+13
x_V175_Phase0   4.62572154e-01 +/- 1.17136110e+13
x_V192_Phase0   2.10741122e-01 +/- 6.81707934e+12
x_V194_Phase0   2.83042224e-01 +/- 7.53596652e+12
x_V196_Phase0   7.86821738e-01 +/- 1.22089778e+13
x_V197_Phase0   2.13435809e-01 +/- 9.16636820e+12
x_V198_Phase0   7.14295200e-01 +/- 1.35864619e+13
x_V199_Phase0   2.85300378e-01 +/- 1.13001413e+13
x_V1_Phase0     9.56276454e-01 +/- 1.46238037e+13
x_V206_Phase0   7.06777415e-01 +/- 1.43579795e+13
x_V207_Phase0   2.93169012e-01 +/- 1.08365739e+13
x_V20_Phase0    6.20970617e-01 +/- 1.38547552e+13
x_V213_Phase0   3.50278209e-02 +/- 2.06697476e+12
x_V26_Phase0    1.21673298e-01 +/- 5.83126894e+12
x_V2_Phase0     4.52631368e-01 +/- 1.15530341e+13
x_V34_Phase0    4.64288005e-01 +/- 1.15749951e+13
x_V35_Phase0    5.35716301e-01 +/- 1.19410593e+13
x_V3_Phase0     5.47384938e-01 +/- 1.23275740e+13
x_V42_Phase0    1.98585413e-01 +/- 8.27807094e+12
x_V43_Phase0    8.01369930e-01 +/- 1.39077663e+13
x_V48_Phase0    3.65382307e-02 +/- 2.05766560e+12
x_V49_Phase0    9.63357201e-01 +/- 1.24716430e+13
x_V4_Phase0     9.59534753e-01 +/- 1.45657860e+13
x_V50_Phase0    4.62573689e-01 +/- 1.05331940e+13
x_V51_Phase0    5.37512756e-01 +/- 1.32432319e+13
x_V52_Phase0    9.63239493e-01 +/- 1.22912189e+13
x_V53_Phase0    3.68660496e-02 +/- 2.32636807e+12
x_V54_Phase0    5.37390976e-01 +/- 8.63148450e+12
x_V5_Phase0     4.04195627e-02 +/- 2.54417974e+12
x_V6_Phase0     5.40876886e-01 +/- 7.77003401e+12
x_V72_Phase0    2.01108346e-01 +/- 9.05864983e+12
x_V73_Phase0    7.98887055e-01 +/- 1.19960690e+13
x_V74_Phase0    3.04947252e-01 +/- 1.14611649e+13
x_V76_Phase0    8.04117205e-01 +/- 1.37658539e+13
x_V78_Phase0    6.97812370e-01 +/- 8.61948335e+12
x_V82_Phase0    9.68658083e-01 +/- 1.36219643e+13
x_V83_Phase0    3.14031564e-02 +/- 1.80067591e+12
x_V84_Phase0    3.13486829e-02 +/- 1.92577040e+12
x_V91_Phase0    3.71299464e-01 +/- 1.20420551e+13
x_V96_Phase0    1.28611571e-01 +/- 6.66066710e+12
x_V97_Phase0    8.71392719e-01 +/- 1.30258898e+13
x_V98_Phase0    3.71602107e-01 +/- 7.82184567e+12
x_V9_Phase0     7.84837781e-01 +/- 1.32271491e+13
x_ZR0_Phase0    1.33581125e-03 +/- 8.47186120e+10
x_ZR100_Phase0  5.01765604e-01 +/- 1.15397170e+13
x_ZR101_Phase0  4.98286886e-01 +/- 1.13638566e+13
x_ZR102_Phase0  4.94835370e-01 +/- 1.06458141e+13
x_ZR103_Phase0  5.03463813e-01 +/- 1.04826275e+13
x_ZR104_Phase0  5.95429397e-04 +/- 3.24469609e+10
x_ZR105_Phase0  9.99567796e-01 +/- 1.14451248e+13
x_ZR106_Phase0  9.97971466e-01 +/- 1.12358758e+13
x_ZR107_Phase0  2.18997278e-03 +/- 1.23137598e+11
x_ZR10_Phase0   9.93215661e-01 +/- 9.89179885e+12
x_ZR11_Phase0   6.98719673e-03 +/- 3.68505375e+11
x_ZR12_Phase0   2.76706469e-03 +/- 1.48344947e+11
x_ZR13_Phase0   9.97160335e-01 +/- 1.14784959e+13
x_ZR14_Phase0   5.03788230e-01 +/- 1.08842514e+13
x_ZR15_Phase0   4.96687258e-01 +/- 1.08345377e+13
x_ZR16_Phase0   3.37749612e-01 +/- 9.05876822e+12
x_ZR17_Phase0   6.62405051e-01 +/- 1.03844491e+13
x_ZR18_Phase0   6.62253061e-01 +/- 1.09115473e+13
x_ZR19_Phase0   3.37908436e-01 +/- 9.96777298e+12
x_ZR1_Phase0    9.98678732e-01 +/- 1.11141838e+13
x_ZR20_Phase0   8.34572429e-01 +/- 1.17965827e+13
x_ZR21_Phase0   1.65425374e-01 +/- 7.80188667e+12
x_ZR22_Phase0   1.63787619e-01 +/- 6.99785979e+12
x_ZR23_Phase0   8.35953800e-01 +/- 1.12449765e+13
x_ZR24_Phase0   4.99720287e-01 +/- 1.06275158e+13
x_ZR25_Phase0   9.99986931e-01 +/- 1.33027295e+13
x_ZR26_Phase0   5.00061888e-01 +/- 1.25587042e+13
x_ZR27_Phase0   -6.75497204e-05 +/- 4.07568995e+09
