Iteration,Rw
1,0.8809884086359578
2,0.880981010512131
3,0.8809809329991404
4,0.8809809329989222
5,0.5584820313674866
6,0.3466334063928331
7,0.32835746280969563
8,0.32725339822327965
9,0.32724974886721747
10,0.3272497482219965
11,0.3253232905645639
12,0.3228154931201056
13,0.31910603831143414
14,0.31613328999231105
15,0.3143542234403328
16,0.3138224456246285
17,0.3134177279181001
18,0.3131743959715146
19,0.3127575212183601
20,0.31248807566968734
21,0.3124030186202711
22,0.3123543168463311
23,0.31233960083662976
24,0.31233659439695843
25,0.3123361872957882
26,0.31233613647298236
27,0.31233613589832715
28,0.2967019029616175
29,0.29667157243224757
30,0.296651954543313
31,0.2966218990543599
32,0.29660893386436304
33,0.296608458158649
34,0.2966082396740858
35,0.2966082395352948
36,0.25576633349929645
37,0.24653002922460343
38,0.2411420414518831
39,0.23656418660915535
40,0.2343596961536801
41,0.22995086013033164
42,0.22144322908847533
43,0.21497561072527516
44,0.18791669931933808
45,0.18008249611522043
46,0.17571295506958606
47,0.16612677238635332
48,0.1624770378667084
49,0.16190313457866842
50,0.16183981504067635
51,0.1618080587519015
52,0.16179099792542317
53,0.1617150632673855
54,0.161602244432856
55,0.16141192341906233
56,0.16125165248735962
57,0.16122139106498787
58,0.16120813292459876
59,0.16120691894618464
60,0.16120684633897822
61,0.16120684171467087
62,0.1554788183888416
63,0.1546432140218347
64,0.15456185127041114
65,0.15446466097079614
66,0.15430157792066052
67,0.153175233862867
68,0.15120293166987334
69,0.14790932880949845
70,0.1445202874921557
71,0.14162275321052079
72,0.140743244612797
73,0.140610492465809
