Results written: Thu Mar  5 15:27:04 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01684734
Contributions  0.01684734
Restraints     0.00000000
Chi2           3.45586848
Reduced Chi2   0.00517346
Rw             0.12979731

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O30_Phase0    5.23571306e-01 +/- 9.94463039e+12
x_O31_Phase0    4.76429300e-01 +/- 9.85475735e+12
x_O320_Phase0   3.58363198e-01 +/- 9.72587087e+12
x_O321_Phase0   6.41636875e-01 +/- 1.02690338e+13
x_O322_Phase0   1.41729140e-01 +/- 6.88784339e+12
x_O323_Phase0   8.58271646e-01 +/- 1.01602702e+13
x_O324_Phase0   6.41053160e-01 +/- 1.00591295e+13
x_O325_Phase0   3.58946150e-01 +/- 9.54722689e+12
x_O326_Phase0   8.58567602e-01 +/- 1.02397993e+13
x_O327_Phase0   1.41431782e-01 +/- 6.88540676e+12
x_O328_Phase0   4.37572393e-01 +/- 9.91834094e+12
x_O329_Phase0   5.62427756e-01 +/- 1.00890730e+13
x_O344_Phase0   1.08982912e-02 +/- 7.23818625e+11
x_O345_Phase0   9.89102568e-01 +/- 1.02372728e+13
x_O346_Phase0   4.89347154e-01 +/- 9.77421518e+12
x_O347_Phase0   5.10652883e-01 +/- 1.00449938e+13
x_O348_Phase0   9.88658914e-01 +/- 1.01881932e+13
x_O349_Phase0   1.13415321e-02 +/- 7.39929639e+11
x_O350_Phase0   5.09275867e-01 +/- 9.87199203e+12
x_O351_Phase0   4.90724624e-01 +/- 9.82659583e+12
x_O368_Phase0   2.35646127e-01 +/- 8.70937514e+12
x_O369_Phase0   7.64354640e-01 +/- 1.01363658e+13
x_O370_Phase0   2.64759422e-01 +/- 8.70120174e+12
x_O371_Phase0   7.35239928e-01 +/- 1.01623508e+13
x_O372_Phase0   7.67160219e-01 +/- 1.01727593e+13
x_O373_Phase0   2.32839873e-01 +/- 8.47420769e+12
x_O374_Phase0   7.32390525e-01 +/- 1.00492515e+13
x_O375_Phase0   2.67608537e-01 +/- 8.83829518e+12
x_O392_Phase0   2.83843897e-01 +/- 8.68522066e+12
x_O393_Phase0   7.16156847e-01 +/- 9.95615735e+12
x_O394_Phase0   2.16355322e-01 +/- 8.22394891e+12
x_O395_Phase0   7.83643496e-01 +/- 1.00015713e+13
x_O396_Phase0   7.18257903e-01 +/- 1.00277938e+13
x_O397_Phase0   2.81739991e-01 +/- 8.98716686e+12
x_O398_Phase0   7.83312300e-01 +/- 9.99527252e+12
x_O399_Phase0   2.16688038e-01 +/- 8.34320113e+12
x_O3_Phase0     5.39784304e-01 +/- 9.89354578e+12
x_O416_Phase0   1.91201020e-01 +/- 7.86190474e+12
x_O417_Phase0   8.08799001e-01 +/- 1.02008690e+13
x_O418_Phase0   3.10090993e-01 +/- 9.42849370e+12
x_O419_Phase0   6.89908545e-01 +/- 1.01606489e+13
x_O420_Phase0   8.09965398e-01 +/- 1.01948476e+13
x_O421_Phase0   1.90033112e-01 +/- 8.07471630e+12
x_O422_Phase0   6.90108020e-01 +/- 1.01104855e+13
x_O423_Phase0   3.09732239e-01 +/- 9.50343127e+12
x_O431_Phase0   2.98638096e-01 +/- 9.42581329e+12
x_O440_Phase0   1.57249261e-01 +/- 7.45373612e+12
x_O441_Phase0   8.42751039e-01 +/- 1.02650131e+13
x_O442_Phase0   3.43666964e-01 +/- 9.40248856e+12
x_O443_Phase0   6.56333320e-01 +/- 1.01331679e+13
x_O444_Phase0   8.43283846e-01 +/- 1.04080322e+13
x_O445_Phase0   1.56716745e-01 +/- 7.39133901e+12
x_O446_Phase0   6.57784756e-01 +/- 1.01538464e+13
x_O447_Phase0   3.42135717e-01 +/- 9.45401086e+12
x_O452_Phase0   7.24371190e-02 +/- 4.41999162e+12
x_O453_Phase0   9.27563259e-01 +/- 1.04064229e+13
x_O455_Phase0   4.28050497e-01 +/- 9.89627942e+12
x_O458_Phase0   8.11726195e-01 +/- 1.03889638e+13
x_O459_Phase0   1.88274190e-01 +/- 7.86361974e+12
x_O460_Phase0   6.87947123e-01 +/- 1.02988887e+13
x_O461_Phase0   3.12057242e-01 +/- 9.25633954e+12
x_O464_Phase0   1.02694874e-01 +/- 5.82029365e+12
x_O465_Phase0   8.97305784e-01 +/- 1.01694898e+13
x_O466_Phase0   3.98304395e-01 +/- 9.54260209e+12
x_O467_Phase0   6.01697336e-01 +/- 9.75296270e+12
x_O468_Phase0   8.97683821e-01 +/- 1.04190171e+13
x_O469_Phase0   1.02315813e-01 +/- 5.69096531e+12
x_O470_Phase0   6.02120442e-01 +/- 1.02655155e+13
x_O471_Phase0   3.97879470e-01 +/- 9.87121474e+12
x_O476_Phase0   2.97886291e-01 +/- 9.14266829e+12
x_O477_Phase0   7.02113521e-01 +/- 1.02853670e+13
x_O478_Phase0   7.98378780e-01 +/- 1.03017850e+13
x_O479_Phase0   2.01620659e-01 +/- 8.24313581e+12
x_O48_Phase0    8.88533975e-03 +/- 4.70736922e+11
x_O492_Phase0   2.34159365e-02 +/- 1.32366360e+12
x_O493_Phase0   9.76584094e-01 +/- 1.02029891e+13
x_O494_Phase0   4.76059744e-01 +/- 9.81963660e+12
x_O495_Phase0   5.23940553e-01 +/- 9.83051832e+12
x_O496_Phase0   9.75393006e-01 +/- 1.02898267e+13
x_O497_Phase0   2.46084978e-02 +/- 1.53569832e+12
x_O498_Phase0   5.23664195e-01 +/- 9.85123712e+12
x_O499_Phase0   4.76336318e-01 +/- 9.76926858e+12
x_O49_Phase0    9.91113549e-01 +/- 1.01830097e+13
x_O4_Phase0     9.60246462e-01 +/- 1.02750425e+13
x_O50_Phase0    4.90852992e-01 +/- 9.87760025e+12
x_O516_Phase0   1.03080821e-01 +/- 5.57330628e+12
x_O517_Phase0   8.97034831e-01 +/- 9.98423381e+12
x_O518_Phase0   3.97478964e-01 +/- 9.57864215e+12
x_O519_Phase0   6.02521010e-01 +/- 9.92015381e+12
x_O51_Phase0    5.09146929e-01 +/- 9.92363835e+12
x_O520_Phase0   8.97810388e-01 +/- 1.01573879e+13
x_O521_Phase0   1.02191219e-01 +/- 5.42488569e+12
x_O522_Phase0   6.02264053e-01 +/- 9.90101503e+12
x_O523_Phase0   3.97735004e-01 +/- 9.47765877e+12
x_O52_Phase0    9.91112627e-01 +/- 1.02074112e+13
x_O53_Phase0    8.88722601e-03 +/- 6.40345261e+11
x_O540_Phase0   2.52628304e-02 +/- 1.64499203e+12
x_O541_Phase0   9.74738038e-01 +/- 1.02409008e+13
x_O542_Phase0   4.74126600e-01 +/- 9.96160420e+12
x_O543_Phase0   5.25874277e-01 +/- 9.84215045e+12
x_O544_Phase0   9.76250840e-01 +/- 1.02172969e+13
x_O545_Phase0   2.37486167e-02 +/- 1.53785098e+12
x_O546_Phase0   5.25458583e-01 +/- 9.80329136e+12
x_O547_Phase0   4.74540996e-01 +/- 9.91034049e+12
x_O54_Phase0    5.09975087e-01 +/- 9.83823792e+12
x_O55_Phase0    4.90025271e-01 +/- 9.81775391e+12
x_O564_Phase0   3.99119275e-02 +/- 2.61275837e+12
x_O565_Phase0   9.60087733e-01 +/- 1.02455336e+13
x_O566_Phase0   4.58810136e-01 +/- 9.78220941e+12
x_O567_Phase0   5.41189519e-01 +/- 9.91336755e+12
x_O568_Phase0   9.60810421e-01 +/- 1.04632960e+13
x_O569_Phase0   3.91912523e-02 +/- 2.40843623e+12
x_O570_Phase0   5.40516341e-01 +/- 9.90966458e+12
x_O571_Phase0   4.59484345e-01 +/- 9.71817761e+12
x_O576_Phase0   2.24039743e-01 +/- 8.51977873e+12
x_O577_Phase0   7.75960008e-01 +/- 1.03931677e+13
x_O584_Phase0   6.39851578e-01 +/- 1.03291735e+13
