Results written: Mon Mar  2 07:36:39 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01224365
Contributions  0.01224365
Restraints     0.00000000
Chi2           2.31512012
Reduced Chi2   0.00784786
Rw             0.11065101

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O466_Phase0   3.98141000e-01 +/- 2.14552202e+11
x_O468_Phase0   8.97660000e-01 +/- 2.72726096e+11
x_O470_Phase0   6.02155000e-01 +/- 2.64858185e+11
x_O476_Phase0   2.97922000e-01 +/- 2.09304348e+11
x_O478_Phase0   7.98420000e-01 +/- 2.61717854e+11
x_O48_Phase0    8.82300000e-03 +/- 9.30555787e+09
x_O492_Phase0   2.33820000e-02 +/- 2.76547382e+10
x_O494_Phase0   4.76095000e-01 +/- 2.31836974e+11
x_O496_Phase0   9.75354000e-01 +/- 2.58567729e+11
x_O498_Phase0   5.23669000e-01 +/- 2.40114670e+11
x_O4_Phase0     9.60251000e-01 +/- 2.62652412e+11
x_O50_Phase0    4.90900000e-01 +/- 2.37069456e+11
x_O516_Phase0   1.02872000e-01 +/- 8.55268578e+10
x_O518_Phase0   3.97495000e-01 +/- 2.15054605e+11
x_O520_Phase0   8.97756000e-01 +/- 2.55850533e+11
x_O522_Phase0   6.02702000e-01 +/- 2.36724461e+11
x_O52_Phase0    9.91171000e-01 +/- 2.59357891e+11
x_O540_Phase0   2.52530000e-02 +/- 2.31731848e+10
x_O542_Phase0   4.74111000e-01 +/- 2.45817463e+11
x_O544_Phase0   9.76242000e-01 +/- 2.56179134e+11
x_O546_Phase0   5.25454000e-01 +/- 2.42669801e+11
x_O54_Phase0    5.09859000e-01 +/- 2.43010273e+11
x_O564_Phase0   3.98670000e-02 +/- 4.03926818e+10
x_O566_Phase0   4.58869000e-01 +/- 2.36390186e+11
x_O568_Phase0   9.60818000e-01 +/- 2.74512771e+11
x_O570_Phase0   5.40438000e-01 +/- 2.39528214e+11
x_O576_Phase0   2.24056000e-01 +/- 1.88511687e+11
x_O584_Phase0   6.39838000e-01 +/- 2.64226917e+11
x_O588_Phase0   1.63426000e-01 +/- 1.44581764e+11
x_O590_Phase0   3.36704000e-01 +/- 2.13257644e+11
x_O592_Phase0   8.36661000e-01 +/- 2.53961426e+11
x_O594_Phase0   6.62696000e-01 +/- 2.49675238e+11
x_O612_Phase0   2.55271000e-01 +/- 1.80417670e+11
x_O614_Phase0   2.46721000e-01 +/- 1.82967506e+11
x_O616_Phase0   7.46600000e-01 +/- 2.13852414e+11
x_O618_Phase0   7.56247000e-01 +/- 2.37004622e+11
x_O636_Phase0   2.00597000e-01 +/- 1.71855632e+11
x_O638_Phase0   3.00296000e-01 +/- 2.10518006e+11
x_O640_Phase0   8.00430000e-01 +/- 2.59966132e+11
x_O642_Phase0   6.99828000e-01 +/- 2.56712308e+11
x_O660_Phase0   1.43362000e-01 +/- 1.35333233e+11
x_O662_Phase0   3.55963000e-01 +/- 2.16327386e+11
x_O664_Phase0   8.55727000e-01 +/- 2.74599217e+11
x_O665_Phase0   1.44252000e-01 +/- 1.43896456e+11
x_O666_Phase0   6.44505000e-01 +/- 2.51578384e+11
x_O684_Phase0   7.09650000e-02 +/- 7.53098191e+10
x_O686_Phase0   4.30943000e-01 +/- 2.39294805e+11
x_O688_Phase0   9.30174000e-01 +/- 2.69769366e+11
x_O689_Phase0   6.98730000e-02 +/- 6.88281090e+10
x_O690_Phase0   5.69860000e-01 +/- 2.22746672e+11
x_O6_Phase0     5.40588000e-01 +/- 2.44956364e+11
x_O702_Phase0   6.99129000e-01 +/- 2.67224782e+11
x_O708_Phase0   1.36827000e-01 +/- 1.23517128e+11
x_O710_Phase0   3.63415000e-01 +/- 2.14237167e+11
x_O712_Phase0   8.63798000e-01 +/- 2.70965277e+11
x_O713_Phase0   1.36196000e-01 +/- 1.27104129e+11
x_O714_Phase0   6.36600000e-01 +/- 2.48963743e+11
x_O72_Phase0    2.69940000e-02 +/- 3.13324678e+10
x_O732_Phase0   1.99458000e-01 +/- 1.65178496e+11
x_O734_Phase0   2.99445000e-01 +/- 1.95881253e+11
x_O736_Phase0   7.98916000e-01 +/- 2.72109344e+11
x_O738_Phase0   7.01122000e-01 +/- 2.66441398e+11
x_O739_Phase0   2.98859000e-01 +/- 2.13634329e+11
x_O744_Phase0   2.54930000e-01 +/- 1.94376275e+11
x_O746_Phase0   7.55669000e-01 +/- 2.71598937e+11
x_O747_Phase0   2.44288000e-01 +/- 1.99811730e+11
x_O74_Phase0    4.71649000e-01 +/- 2.34047720e+11
x_O76_Phase0    9.72566000e-01 +/- 2.51863186e+11
x_O78_Phase0    5.26556000e-01 +/- 2.55661508e+11
x_O79_Phase0    4.73497000e-01 +/- 2.49778329e+11
x_O96_Phase0    9.81590000e-02 +/- 9.57887177e+10
x_O98_Phase0    4.02515000e-01 +/- 2.19187336e+11
x_V0_Phase0     4.37750000e-02 +/- 4.94669008e+10
x_V100_Phase0   8.73514000e-01 +/- 2.25731480e+11
x_V101_Phase0   1.26695000e-01 +/- 1.16344176e+11
x_V102_Phase0   6.29198000e-01 +/- 2.30454449e+11
x_V103_Phase0   3.70525000e-01 +/- 2.20454834e+11
x_V119_Phase0   7.94526000e-01 +/- 2.70637044e+11
x_V120_Phase0   1.34562000e-01 +/- 1.24846261e+11
x_V121_Phase0   8.65440000e-01 +/- 2.31676967e+11
x_V122_Phase0   3.66469000e-01 +/- 2.22013892e+11
x_V123_Phase0   6.33617000e-01 +/- 2.66232672e+11
x_V124_Phase0   8.67394000e-01 +/- 2.62020322e+11
x_V126_Phase0   6.29336000e-01 +/- 2.21282867e+11
x_V127_Phase0   3.70603000e-01 +/- 2.05104847e+11
x_V12_Phase0    2.80867000e-01 +/- 1.96913891e+11
x_V131_Phase0   1.26039000e-01 +/- 1.25282387e+11
x_V132_Phase0   1.25957000e-01 +/- 1.16351164e+11
x_V138_Phase0   7.94496000e-01 +/- 2.54140170e+11
x_V140_Phase0   7.04007000e-01 +/- 2.65735912e+11
x_V141_Phase0   2.95957000e-01 +/- 2.07183868e+11
x_V144_Phase0   2.84690000e-02 +/- 2.99310094e+10
x_V146_Phase0   4.75888000e-01 +/- 2.22071947e+11
x_V147_Phase0   5.24107000e-01 +/- 2.18204292e+11
x_V148_Phase0   9.78845000e-01 +/- 2.09081236e+11
x_V149_Phase0   2.11480000e-02 +/- 2.19033376e+10
x_V150_Phase0   5.28914000e-01 +/- 2.25119695e+11
x_V151_Phase0   4.71080000e-01 +/- 2.25062792e+11
x_V168_Phase0   3.68109999e-02 +/- 3.70116116e+10
x_V170_Phase0   4.57684000e-01 +/- 1.39555390e+11
x_V172_Phase0   9.62661000e-01 +/- 2.34162667e+11
x_V173_Phase0   3.72310000e-02 +/- 4.02201085e+10
x_V174_Phase0   5.37417000e-01 +/- 2.25178365e+11
x_V175_Phase0   4.62550000e-01 +/- 2.22448885e+11
x_V192_Phase0   2.10529000e-01 +/- 1.27208820e+11
x_V194_Phase0   2.83138000e-01 +/- 1.36642665e+11
x_V196_Phase0   7.86915000e-01 +/- 2.31871256e+11
x_V197_Phase0   2.13375000e-01 +/- 1.77922188e+11
x_V198_Phase0   7.14131999e-01 +/- 2.44651129e+11
x_V199_Phase0   2.85366000e-01 +/- 2.10425854e+11
x_V1_Phase0     9.56236000e-01 +/- 2.72424244e+11
x_V206_Phase0   7.06751000e-01 +/- 2.64433179e+11
x_V207_Phase0   2.93224000e-01 +/- 2.02285090e+11
x_V20_Phase0    6.20922000e-01 +/- 2.57912416e+11
x_V213_Phase0   3.50540000e-02 +/- 3.74863099e+10
x_V26_Phase0    1.21790000e-01 +/- 1.02526211e+11
x_V2_Phase0     4.52595000e-01 +/- 2.12197430e+11
x_V34_Phase0    4.64202000e-01 +/- 2.13892219e+11
x_V35_Phase0    5.35800000e-01 +/- 2.19470390e+11
x_V3_Phase0     5.47417000e-01 +/- 2.24528744e+11
x_V42_Phase0    1.98617000e-01 +/- 1.59732743e+11
x_V43_Phase0    8.01359000e-01 +/- 2.58554684e+11
x_V48_Phase0    3.66010000e-02 +/- 3.82363123e+10
x_V49_Phase0    9.63311000e-01 +/- 2.32783169e+11
x_V4_Phase0     9.59519000e-01 +/- 2.72623407e+11
x_V50_Phase0    4.62400000e-01 +/- 2.03888365e+11
x_V51_Phase0    5.37593000e-01 +/- 2.48241874e+11
x_V52_Phase0    9.63116000e-01 +/- 2.26201997e+11
x_V53_Phase0    3.69840000e-02 +/- 4.02427258e+10
x_V54_Phase0    5.37549000e-01 +/- 1.68660612e+11
x_V5_Phase0     4.04510000e-02 +/- 3.94823958e+10
x_V6_Phase0     5.41024000e-01 +/- 1.52075545e+11
x_V72_Phase0    2.01219000e-01 +/- 1.57041262e+11
