Results written: Mon Mar 23 12:21:18 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.03408042
Contributions  0.03149704
Restraints     0.00258339
Chi2           3.66099729
Reduced Chi2   0.01241016
Rw             0.18444056

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O466_Phase0   3.98155032e-01 +/- 2.74464903e+13
x_O468_Phase0   8.97674385e-01 +/- 3.91994784e+13
x_O470_Phase0   6.02159212e-01 +/- 3.62854018e+13
x_O476_Phase0   2.97905644e-01 +/- 3.06161307e+13
x_O478_Phase0   7.98402047e-01 +/- 3.61602823e+13
x_O48_Phase0    8.77111339e-03 +/- 1.29498993e+12
x_O492_Phase0   2.34788333e-02 +/- 3.36121405e+12
x_O494_Phase0   4.75953254e-01 +/- 3.07604596e+13
x_O496_Phase0   9.75197601e-01 +/- 3.42440924e+13
x_O498_Phase0   5.23791589e-01 +/- 3.18029462e+13
x_O4_Phase0     9.60261104e-01 +/- 3.49578453e+13
x_O50_Phase0    4.90964446e-01 +/- 3.14228891e+13
x_O516_Phase0   1.02872874e-01 +/- 1.30744036e+13
x_O518_Phase0   3.97489763e-01 +/- 2.96935164e+13
x_O520_Phase0   8.97835735e-01 +/- 3.33088761e+13
x_O522_Phase0   6.02707729e-01 +/- 3.25811256e+13
x_O52_Phase0    9.91270464e-01 +/- 3.41387109e+13
x_O540_Phase0   2.54152926e-02 +/- 3.89277448e+12
x_O542_Phase0   4.74088768e-01 +/- 3.12161779e+13
x_O544_Phase0   9.76210304e-01 +/- 3.33038754e+13
x_O546_Phase0   5.25524935e-01 +/- 3.26017181e+13
x_O54_Phase0    5.09842645e-01 +/- 3.25125053e+13
x_O564_Phase0   3.99805489e-02 +/- 5.98164879e+12
x_O566_Phase0   4.58676738e-01 +/- 3.11714611e+13
x_O568_Phase0   9.60810236e-01 +/- 3.84281162e+13
x_O570_Phase0   5.40552906e-01 +/- 3.20497998e+13
x_O576_Phase0   2.24079978e-01 +/- 2.60721152e+13
x_O584_Phase0   6.39758298e-01 +/- 3.71533745e+13
