Iteration,Rw
1,0.13247143389083865
2,0.13246143597556062
3,0.13245477007441966
4,0.13245423909188575
5,0.13245406267696727
6,0.13245404924190887
7,0.13245404673526143
8,0.1323981711925058
9,0.13238532879777412
10,0.13238126183592291
11,0.13238018554636588
12,0.13237839511325378
13,0.13237644668556095
14,0.1323738987543803
15,0.13237193291089389
16,0.13236955394051422
17,0.13236883871660915
18,0.13236849133963322
19,0.13236811132734086
20,0.13236740561804683
21,0.132366009149847
22,0.13236442526877143
23,0.1323642338897004
24,0.13236348919332805
25,0.13236340060158003
26,0.13236339463981378
27,0.13236429573782224
28,0.13183508283739354
29,0.13137105752935904
30,0.13090703743838122
31,0.131162614390956
32,0.13104616194282992
33,0.1308961429484795
34,0.1306465569700777
35,0.13047525250998773
