Results written: Sun Feb 22 06:01:07 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01700831
Contributions  0.01697609
Restraints     0.00003223
Chi2           2.75772140
Reduced Chi2   0.00065133
Rw             0.13040477

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O179_Phase0   1.32860921e-01 +/- 4.81150805e+13
x_O17_Phase0    6.52577953e-01 +/- 5.31177721e+13
x_O180_Phase0   1.31351603e-01 +/- 4.74702923e+13
x_O181_Phase0   8.68646880e-01 +/- 5.33276826e+13
x_O182_Phase0   6.32267171e-01 +/- 5.30760829e+13
x_O183_Phase0   3.67447405e-01 +/- 5.26001358e+13
x_O184_Phase0   1.89759911e-01 +/- 5.03965094e+13
x_O185_Phase0   8.10243689e-01 +/- 5.33773993e+13
x_O186_Phase0   8.09958850e-01 +/- 5.34990036e+13
x_O187_Phase0   1.90042284e-01 +/- 5.12482565e+13
x_O188_Phase0   6.90571987e-01 +/- 5.31360106e+13
x_O189_Phase0   3.09162496e-01 +/- 5.26401127e+13
x_O18_Phase0    6.51822733e-01 +/- 5.29746686e+13
x_O190_Phase0   3.09036466e-01 +/- 5.23150634e+13
x_O191_Phase0   6.90658697e-01 +/- 5.36393510e+13
x_O192_Phase0   2.14497059e-02 +/- 1.75863017e+13
x_O193_Phase0   9.78584706e-01 +/- 5.37760974e+13
x_O194_Phase0   4.77743550e-01 +/- 5.28037677e+13
x_O195_Phase0   5.22255096e-01 +/- 5.32450449e+13
x_O196_Phase0   9.77715047e-01 +/- 5.37386089e+13
x_O197_Phase0   2.18833517e-02 +/- 1.68625221e+13
x_O198_Phase0   5.22924895e-01 +/- 5.78654304e+13
x_O199_Phase0   4.77041775e-01 +/- 5.29884193e+13
x_O19_Phase0    3.48179261e-01 +/- 5.22334219e+13
x_O1_Phase0     9.59574491e-01 +/- 5.34880401e+13
x_O200_Phase0   1.85600062e-01 +/- 5.08445024e+13
x_O201_Phase0   8.14394083e-01 +/- 5.34124265e+13
x_O202_Phase0   6.86947257e-01 +/- 5.30471775e+13
x_O203_Phase0   3.13051951e-01 +/- 5.22251203e+13
x_O204_Phase0   3.12344001e-01 +/- 5.26601332e+13
x_O205_Phase0   6.87461014e-01 +/- 5.32608304e+13
x_O206_Phase0   8.13245532e-01 +/- 5.34435214e+13
x_O207_Phase0   1.86747198e-01 +/- 5.16539702e+13
x_O208_Phase0   4.03413732e-01 +/- 5.33154492e+13
x_O209_Phase0   5.96668907e-01 +/- 5.30245002e+13
x_O20_Phase0    8.48504289e-01 +/- 5.38190160e+13
x_O210_Phase0   5.97379128e-01 +/- 5.30985839e+13
x_O211_Phase0   4.02623184e-01 +/- 5.28939701e+13
x_O212_Phase0   9.03104913e-01 +/- 5.74309197e+13
x_O213_Phase0   9.68771967e-02 +/- 4.43174170e+13
x_O214_Phase0   9.90138286e-02 +/- 4.79872525e+13
x_O215_Phase0   9.00980645e-01 +/- 5.33182927e+13
x_O216_Phase0   3.37443014e-01 +/- 5.23668836e+13
x_O217_Phase0   6.62556986e-01 +/- 5.30271837e+13
