Results written: Sat Feb 21 14:26:37 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01769306
Contributions  0.00887112
Restraints     0.00882194
Chi2           2.84641363
Reduced Chi2   0.00964886
Rw             0.13248518

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O466_Phase0   3.98255219e-01 +/- 3.81957021e+13
x_O468_Phase0   8.97644305e-01 +/- 5.64648084e+13
x_O470_Phase0   6.02203283e-01 +/- 5.31128232e+13
x_O476_Phase0   2.97841325e-01 +/- 4.27802777e+13
x_O478_Phase0   7.98329772e-01 +/- 5.18044434e+13
x_O48_Phase0    9.06432366e-03 +/- 1.86901667e+12
x_O492_Phase0   2.36992674e-02 +/- 5.28807886e+12
x_O494_Phase0   4.75733003e-01 +/- 3.80873134e+13
x_O496_Phase0   9.75073578e-01 +/- 4.89714322e+13
x_O498_Phase0   5.23885405e-01 +/- 3.73290853e+13
x_O4_Phase0     9.60288744e-01 +/- 5.07192727e+13
x_O50_Phase0    4.90653552e-01 +/- 4.44612120e+13
x_O516_Phase0   1.02938441e-01 +/- 1.94266802e+13
x_O518_Phase0   3.97371469e-01 +/- 4.01788758e+13
x_O520_Phase0   8.97791801e-01 +/- 4.86443820e+13
x_O522_Phase0   6.02744376e-01 +/- 4.66253893e+13
x_O52_Phase0    9.90847787e-01 +/- 4.88285876e+13
x_O540_Phase0   2.55135693e-02 +/- 5.55536156e+12
x_O542_Phase0   4.74019227e-01 +/- 4.64279415e+13
x_O544_Phase0   9.76249224e-01 +/- 4.82032370e+13
x_O546_Phase0   5.25704486e-01 +/- 4.64738389e+13
x_O54_Phase0    5.10425038e-01 +/- 4.61998407e+13
x_O564_Phase0   4.00616500e-02 +/- 8.18141166e+12
x_O566_Phase0   4.58461726e-01 +/- 4.50761644e+13
x_O568_Phase0   9.60817817e-01 +/- 5.61524405e+13
x_O570_Phase0   5.40727860e-01 +/- 4.56773236e+13
x_O576_Phase0   2.23895706e-01 +/- 3.69370671e+13
x_O584_Phase0   6.39851856e-01 +/- 5.52625100e+13
x_O588_Phase0   1.63216231e-01 +/- 2.94358719e+13
x_O590_Phase0   3.36892708e-01 +/- 4.03357676e+13
x_O592_Phase0   8.36827720e-01 +/- 4.70479231e+13
x_O594_Phase0   6.62276070e-01 +/- 3.80994722e+13
x_O612_Phase0   2.54955289e-01 +/- 3.56067714e+13
x_O614_Phase0   2.47642915e-01 +/- 3.45791248e+13
x_O616_Phase0   7.47384639e-01 +/- 4.23939917e+13
x_O618_Phase0   7.55820222e-01 +/- 4.58907362e+13
x_O636_Phase0   2.00549597e-01 +/- 3.35692078e+13
x_O638_Phase0   3.00274728e-01 +/- 4.02221298e+13
x_O640_Phase0   8.00232614e-01 +/- 4.89131843e+13
x_O642_Phase0   6.99962043e-01 +/- 4.86270827e+13
x_O660_Phase0   1.43328615e-01 +/- 2.76050187e+13
x_O662_Phase0   3.55954820e-01 +/- 4.30988119e+13
x_O664_Phase0   8.55725482e-01 +/- 5.46319697e+13
x_O665_Phase0   1.44246423e-01 +/- 2.80450057e+13
x_O666_Phase0   6.44540463e-01 +/- 4.76060695e+13
x_O684_Phase0   7.06230116e-02 +/- 1.60094430e+13
x_O686_Phase0   4.31193239e-01 +/- 4.64490020e+13
x_O688_Phase0   9.30255353e-01 +/- 5.45680128e+13
x_O689_Phase0   6.97995957e-02 +/- 1.64717078e+13
x_O690_Phase0   5.69637737e-01 +/- 4.42578045e+13
x_O6_Phase0     5.40673828e-01 +/- 4.81440341e+13
x_O702_Phase0   6.99117359e-01 +/- 5.48899732e+13
x_O708_Phase0   1.36678361e-01 +/- 2.65947876e+13
x_O710_Phase0   3.63420984e-01 +/- 4.16835620e+13
x_O712_Phase0   8.63784456e-01 +/- 5.51408265e+13
x_O713_Phase0   1.36206610e-01 +/- 2.69486947e+13
x_O714_Phase0   6.36600942e-01 +/- 4.68765194e+13
x_O72_Phase0    2.64303671e-02 +/- 5.25351608e+12
x_O732_Phase0   1.99004731e-01 +/- 3.47407275e+13
x_O734_Phase0   2.99693648e-01 +/- 4.13101340e+13
x_O736_Phase0   7.99027912e-01 +/- 5.57981620e+13
x_O738_Phase0   7.01062556e-01 +/- 5.60379465e+13
x_O739_Phase0   2.98921526e-01 +/- 4.42987755e+13
x_O744_Phase0   2.54022325e-01 +/- 3.89370560e+13
x_O746_Phase0   7.55759982e-01 +/- 5.48875837e+13
x_O747_Phase0   2.44200194e-01 +/- 4.01166184e+13
x_O74_Phase0    4.71719584e-01 +/- 4.48810474e+13
x_O76_Phase0    9.72765955e-01 +/- 4.74638770e+13
x_O78_Phase0    5.26283755e-01 +/- 5.13477236e+13
x_O79_Phase0    4.73752808e-01 +/- 5.05966711e+13
x_O96_Phase0    9.84468141e-02 +/- 2.04240937e+13
x_O98_Phase0    4.02451475e-01 +/- 4.23313707e+13
x_V0_Phase0     4.40644413e-02 +/- 9.21049348e+12
x_V100_Phase0   8.73535428e-01 +/- 3.69126331e+13
x_V101_Phase0   1.26659769e-01 +/- 2.29101086e+13
x_V102_Phase0   6.28837193e-01 +/- 4.34996036e+13
x_V103_Phase0   3.70752965e-01 +/- 4.45736039e+13
x_V119_Phase0   7.94544507e-01 +/- 5.41821883e+13
x_V120_Phase0   1.34595307e-01 +/- 2.42385003e+13
x_V121_Phase0   8.65407179e-01 +/- 3.98500638e+13
x_V122_Phase0   3.66345568e-01 +/- 4.53892426e+13
x_V123_Phase0   6.33688424e-01 +/- 5.35633041e+13
x_V124_Phase0   8.67451209e-01 +/- 5.05608311e+13
x_V126_Phase0   6.29061142e-01 +/- 4.15745990e+13
x_V127_Phase0   3.70825813e-01 +/- 4.05755440e+13
x_V12_Phase0    2.80955915e-01 +/- 3.82401280e+13
x_V131_Phase0   1.26057445e-01 +/- 2.57013318e+13
x_V132_Phase0   1.25748904e-01 +/- 2.47635689e+13
x_V138_Phase0   7.94717145e-01 +/- 4.93633733e+13
x_V140_Phase0   7.03917980e-01 +/- 5.51261547e+13
x_V141_Phase0   2.96059480e-01 +/- 4.50303881e+13
x_V144_Phase0   2.79845158e-02 +/- 6.34553347e+12
x_V146_Phase0   4.76309353e-01 +/- 4.05072102e+13
x_V147_Phase0   5.23679083e-01 +/- 4.15395802e+13
x_V148_Phase0   9.79820331e-01 +/- 3.34391890e+13
x_V149_Phase0   2.01728901e-02 +/- 4.61090535e+12
x_V150_Phase0   5.29081448e-01 +/- 4.10524860e+13
x_V151_Phase0   4.70920079e-01 +/- 4.03193279e+13
x_V168_Phase0   3.66089104e-02 +/- 8.54038433e+12
x_V170_Phase0   4.58181079e-01 +/- 1.88013730e+13
x_V172_Phase0   9.63482191e-01 +/- 3.43896586e+13
x_V173_Phase0   3.63021500e-02 +/- 8.08145833e+12
x_V174_Phase0   5.37195863e-01 +/- 4.25428300e+13
x_V175_Phase0   4.62850374e-01 +/- 4.14105249e+13
x_V192_Phase0   2.09720562e-01 +/- 1.89473854e+13
x_V194_Phase0   2.82678284e-01 +/- 1.94743762e+13
x_V196_Phase0   7.86871478e-01 +/- 4.10199780e+13
x_V197_Phase0   2.13344353e-01 +/- 3.67049572e+13
x_V198_Phase0   7.14124702e-01 +/- 4.71957141e+13
x_V199_Phase0   2.85226888e-01 +/- 4.29432089e+13
x_V1_Phase0     9.56104685e-01 +/- 5.54209453e+13
x_V206_Phase0   7.06842284e-01 +/- 5.49591821e+13
x_V207_Phase0   2.93087861e-01 +/- 4.02523566e+13
x_V20_Phase0    6.20950361e-01 +/- 5.32286788e+13
x_V213_Phase0   3.47819292e-02 +/- 7.69010632e+12
x_V26_Phase0    1.21241358e-01 +/- 1.76749054e+13
x_V2_Phase0     4.52204777e-01 +/- 4.06914534e+13
x_V34_Phase0    4.64044212e-01 +/- 4.08360827e+13
x_V35_Phase0    5.36002213e-01 +/- 4.17819386e+13
x_V3_Phase0     5.47857272e-01 +/- 4.15580781e+13
x_V42_Phase0    1.98425237e-01 +/- 3.00832009e+13
x_V43_Phase0    8.01422696e-01 +/- 5.07378946e+13
x_V48_Phase0    3.70175769e-02 +/- 8.19772800e+12
x_V49_Phase0    9.62906084e-01 +/- 3.54601099e+13
x_V4_Phase0     9.59371887e-01 +/- 5.52173523e+13
x_V50_Phase0    4.62720109e-01 +/- 3.29169696e+13
x_V51_Phase0    5.37415736e-01 +/- 4.85985661e+13
x_V52_Phase0    9.63180737e-01 +/- 3.62262713e+13
x_V53_Phase0    3.69294790e-02 +/- 8.23390253e+12
x_V54_Phase0    5.37822222e-01 +/- 2.30127491e+13
x_V5_Phase0     4.07284864e-02 +/- 1.01219773e+13
x_V6_Phase0     5.41241385e-01 +/- 2.02169824e+13
x_V72_Phase0    2.01412483e-01 +/- 3.12506934e+13
x_V73_Phase0    7.98576754e-01 +/- 3.84137618e+13
x_V74_Phase0    3.05432175e-01 +/- 3.93508475e+13
x_V76_Phase0    8.04584333e-01 +/- 5.08414173e+13
x_V78_Phase0    6.98360117e-01 +/- 1.99377789e+13
x_V82_Phase0    9.68705728e-01 +/- 4.74986551e+13
x_V83_Phase0    3.13915449e-02 +/- 7.26928829e+12
x_V84_Phase0    3.08708360e-02 +/- 7.56626731e+12
x_V91_Phase0    3.71135502e-01 +/- 4.70962557e+13
x_V96_Phase0    1.28614868e-01 +/- 2.38962355e+13
x_V97_Phase0    8.71355522e-01 +/- 3.95979464e+13
x_V98_Phase0    3.71145053e-01 +/- 2.37409104e+13
x_V9_Phase0     7.85035649e-01 +/- 4.81337107e+13
x_ZR0_Phase0    1.09574699e-03 +/- 2.52019262e+11
x_ZR100_Phase0  5.01583715e-01 +/- 5.01830377e+13
x_ZR101_Phase0  4.98593493e-01 +/- 4.99175202e+13
x_ZR102_Phase0  4.94564415e-01 +/- 4.93993936e+13
x_ZR103_Phase0  5.03858778e-01 +/- 4.88331977e+13
x_ZR104_Phase0  4.65468806e-04 +/- 1.07535212e+11
x_ZR105_Phase0  9.99535289e-01 +/- 5.23030139e+13
x_ZR106_Phase0  9.97693848e-01 +/- 5.11944420e+13
x_ZR107_Phase0  2.34941525e-03 +/- 4.96415389e+11
x_ZR10_Phase0   9.93053917e-01 +/- 5.16443177e+13
x_ZR11_Phase0   6.99502003e-03 +/- 1.53382968e+12
x_ZR12_Phase0   2.74086649e-03 +/- 6.59940625e+11
x_ZR13_Phase0   9.97151608e-01 +/- 5.24139862e+13
x_ZR14_Phase0   5.03878160e-01 +/- 5.00723845e+13
x_ZR15_Phase0   4.96691949e-01 +/- 4.99032566e+13
x_ZR16_Phase0   3.37782296e-01 +/- 4.31707584e+13
x_ZR17_Phase0   6.62369401e-01 +/- 5.00401417e+13
x_ZR18_Phase0   6.62452498e-01 +/- 5.11122851e+13
x_ZR19_Phase0   3.37569398e-01 +/- 4.45053625e+13
x_ZR1_Phase0    9.98996992e-01 +/- 5.14140257e+13
x_ZR20_Phase0   8.34388870e-01 +/- 5.17424565e+13
x_ZR21_Phase0   1.65538166e-01 +/- 3.06050205e+13
x_ZR22_Phase0   1.63764639e-01 +/- 2.79708302e+13
x_ZR23_Phase0   8.36133074e-01 +/- 5.14568022e+13
x_ZR24_Phase0   4.99746174e-01 +/- 5.18053011e+13
x_ZR25_Phase0   9.99906368e-01 +/- 5.75837177e+13
x_ZR26_Phase0   5.00037784e-01 +/- 5.20416250e+13
x_ZR27_Phase0   9.75476619e-05 +/- 1.93226889e+10
x_ZR28_Phase0   1.64508900e-01 +/- 2.88532057e+13
