Results written: Sat Feb  7 09:43:43 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01781538
Contributions  0.01742556
Restraints     0.00038982
Chi2           2.50986516
Reduced Chi2   0.00868465
Rw             0.13344186

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O383_Phase0   3.13319827e-01 +/- 4.66615388e+13
x_O392_Phase0   2.84294425e-01 +/- 4.08269992e+13
x_O393_Phase0   7.15747404e-01 +/- 4.83571613e+13
x_O394_Phase0   2.16024611e-01 +/- 3.78206537e+13
x_O395_Phase0   7.83857526e-01 +/- 5.13606436e+13
x_O396_Phase0   7.18744713e-01 +/- 4.94930519e+13
x_O397_Phase0   2.81223370e-01 +/- 4.51268964e+13
x_O398_Phase0   7.83280835e-01 +/- 4.89487287e+13
x_O399_Phase0   2.16758233e-01 +/- 3.96752677e+13
x_O3_Phase0     5.39746282e-01 +/- 4.86248453e+13
x_O416_Phase0   1.91099958e-01 +/- 3.70732623e+13
x_O417_Phase0   8.08868833e-01 +/- 5.14835980e+13
x_O418_Phase0   3.09953598e-01 +/- 4.40845249e+13
x_O419_Phase0   6.90037169e-01 +/- 4.98410717e+13
x_O420_Phase0   8.09964584e-01 +/- 4.98436718e+13
x_O421_Phase0   1.90051579e-01 +/- 3.82939774e+13
x_O422_Phase0   6.90201141e-01 +/- 4.95662708e+13
x_O423_Phase0   3.09923525e-01 +/- 4.41105160e+13
x_O425_Phase0   7.01111534e-01 +/- 5.16695647e+13
x_O431_Phase0   2.98886508e-01 +/- 4.66638331e+13
x_O440_Phase0   1.57567059e-01 +/- 3.39736871e+13
x_O441_Phase0   8.42362794e-01 +/- 4.99817137e+13
x_O442_Phase0   3.43218999e-01 +/- 4.72003914e+13
x_O443_Phase0   6.56731827e-01 +/- 5.07134878e+13
x_O444_Phase0   8.43012426e-01 +/- 5.25653420e+13
x_O445_Phase0   1.56859349e-01 +/- 3.26237435e+13
x_O446_Phase0   6.57851401e-01 +/- 4.89442523e+13
x_O447_Phase0   3.42070206e-01 +/- 4.63894184e+13
x_O452_Phase0   7.26918159e-02 +/- 1.97345835e+13
x_O455_Phase0   4.27889246e-01 +/- 4.93067515e+13
x_O458_Phase0   8.11715195e-01 +/- 5.13150080e+13
x_O460_Phase0   6.87975004e-01 +/- 5.15771157e+13
x_O461_Phase0   3.12017252e-01 +/- 4.54314310e+13
x_O464_Phase0   1.02647221e-01 +/- 2.57135170e+13
x_O466_Phase0   3.98331613e-01 +/- 3.69794780e+13
x_O468_Phase0   8.97545712e-01 +/- 5.18259868e+13
x_O470_Phase0   6.02315832e-01 +/- 5.05026183e+13
x_O476_Phase0   2.97664298e-01 +/- 4.41082017e+13
x_O478_Phase0   7.98209514e-01 +/- 4.82237143e+13
x_O48_Phase0    9.19703584e-03 +/- 2.42776617e+12
x_O492_Phase0   2.39763244e-02 +/- 6.43156107e+12
x_O494_Phase0   4.75383414e-01 +/- 4.73960741e+13
x_O495_Phase0   5.24612297e-01 +/- 4.84344550e+13
x_O496_Phase0   9.74738352e-01 +/- 4.48680381e+13
x_O498_Phase0   5.24107435e-01 +/- 4.22719476e+13
x_O4_Phase0     9.60144179e-01 +/- 4.56436394e+13
x_O50_Phase0    4.90441934e-01 +/- 4.27334589e+13
x_O516_Phase0   1.03098580e-01 +/- 2.58201642e+13
x_O518_Phase0   3.97263469e-01 +/- 3.92381338e+13
x_O520_Phase0   8.97664258e-01 +/- 4.45856394e+13
x_O522_Phase0   6.02742524e-01 +/- 4.38073581e+13
x_O52_Phase0    9.90705416e-01 +/- 4.51189641e+13
x_O540_Phase0   2.54982775e-02 +/- 7.07402769e+12
x_O541_Phase0   9.74490266e-01 +/- 5.07282264e+13
x_O542_Phase0   4.73920219e-01 +/- 4.26281907e+13
x_O544_Phase0   9.76464792e-01 +/- 3.78317358e+13
x_O545_Phase0   2.35225244e-02 +/- 7.00557809e+12
x_O546_Phase0   5.25836462e-01 +/- 4.35352763e+13
x_O54_Phase0    5.10885652e-01 +/- 4.34223884e+13
x_O564_Phase0   4.03641203e-02 +/- 1.14275547e+13
x_O566_Phase0   4.57973534e-01 +/- 4.14168817e+13
x_O568_Phase0   9.60835328e-01 +/- 5.29171194e+13
x_O569_Phase0   3.91657414e-02 +/- 1.02321968e+13
x_O570_Phase0   5.41062370e-01 +/- 4.29247310e+13
x_O576_Phase0   2.23672311e-01 +/- 3.99143834e+13
x_O577_Phase0   7.76296035e-01 +/- 5.21226248e+13
x_O584_Phase0   6.40152982e-01 +/- 5.11736503e+13
x_O588_Phase0   1.62938285e-01 +/- 3.27143061e+13
x_O590_Phase0   3.37141163e-01 +/- 4.50940922e+13
x_O591_Phase0   6.62888334e-01 +/- 4.87233154e+13
x_O592_Phase0   8.37215903e-01 +/- 4.25819114e+13
x_O594_Phase0   6.62329622e-01 +/- 5.00716177e+13
