Results written: Sun Mar 22 12:18:37 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.03575706
Contributions  0.03565702
Restraints     0.00010004
Chi2           3.87064093
Reduced Chi2   0.01312082
Rw             0.18908906

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O466_Phase0   3.98106092e-01 +/- 1.64534092e+13
x_O468_Phase0   8.97655374e-01 +/- 2.24467216e+13
x_O470_Phase0   6.02166051e-01 +/- 2.15504028e+13
x_O476_Phase0   2.97917876e-01 +/- 1.70962682e+13
x_O478_Phase0   7.98416311e-01 +/- 2.08878785e+13
x_O48_Phase0    8.79644975e-03 +/- 8.28777324e+11
x_O492_Phase0   2.34042870e-02 +/- 2.08626475e+12
x_O494_Phase0   4.76062105e-01 +/- 1.78140471e+13
x_O496_Phase0   9.75310788e-01 +/- 2.02349504e+13
x_O498_Phase0   5.23698096e-01 +/- 1.82896853e+13
x_O4_Phase0     9.60252501e-01 +/- 2.02718203e+13
x_O50_Phase0    4.90922801e-01 +/- 1.85515533e+13
x_O516_Phase0   1.02899514e-01 +/- 8.53006742e+12
x_O518_Phase0   3.97502440e-01 +/- 1.66688170e+13
x_O520_Phase0   8.97759633e-01 +/- 1.90656701e+13
x_O522_Phase0   6.02736004e-01 +/- 1.93316046e+13
x_O52_Phase0    9.91202832e-01 +/- 1.95674626e+13
x_O540_Phase0   2.52948717e-02 +/- 2.21120642e+12
x_O542_Phase0   4.74101594e-01 +/- 1.82993141e+13
x_O544_Phase0   9.76234269e-01 +/- 1.91871140e+13
x_O546_Phase0   5.25477674e-01 +/- 1.86886457e+13
x_O54_Phase0    5.09847651e-01 +/- 1.85800817e+13
x_O564_Phase0   3.98965665e-02 +/- 3.59141817e+12
x_O566_Phase0   4.58818017e-01 +/- 1.82867466e+13
x_O568_Phase0   9.60814760e-01 +/- 2.21570007e+13
x_O570_Phase0   5.40465938e-01 +/- 1.84289900e+13
x_O576_Phase0   2.24064987e-01 +/- 1.59418742e+13
x_O584_Phase0   6.39829765e-01 +/- 2.18699692e+13
x_O588_Phase0   1.63418536e-01 +/- 1.16886950e+13
x_O590_Phase0   3.36724668e-01 +/- 1.59532192e+13
x_O592_Phase0   8.36674711e-01 +/- 1.89396798e+13
x_O594_Phase0   6.62648655e-01 +/- 1.76592160e+13
