x,yobs,ycalc,ydiff
1.5,0.040459356747937485,-0.18397205587624996,0.22443141262418745
1.51,0.01584881821283282,-0.1827977213079855,0.19864653952081832
1.52,-0.009892335408174227,-0.18316826696640728,0.17327593155823307
1.53,-0.03584579617553418,-0.1849655573795066,0.1491197612039724
1.54,-0.06129712737963914,-0.18798333227135344,0.1266862048917143
1.55,-0.0852854347350827,-0.19193695966961505,0.10665152493453235
1.56,-0.1072962590327859,-0.19647735684450943,0.08918109781172352
1.57,-0.12666574799880437,-0.201208460263987,0.07454271226518264
1.58,-0.14235333027955693,-0.2057074450305028,0.06335411475094588
1.59,-0.15443634150994734,-0.2095467494835726,0.055110407973625264
1.6,-0.16252260328041493,-0.21231685910772197,0.04979425582730704
1.61,-0.1657995828197621,-0.21364875090665528,0.047849168086893185
1.62,-0.1649406878825912,-0.21323489808087145,0.04829421019828026
1.6300000000000001,-0.15996082495681874,-0.21084778586063896,0.05088696090382022
1.6400000000000001,-0.15053642623259555,-0.2063549909202302,0.05581856468763466
1.6500000000000001,-0.13774580493313113,-0.1997300247516347,0.06198421981850358
1.6600000000000001,-0.12201371087198476,-0.19105832929675653,0.06904461842477178
1.67,-0.10363749198630973,-0.1805380326667615,0.07690054068045177
1.68,-0.08376619793898721,-0.1684753139797273,0.08470911604074008
1.69,-0.06310113944207621,-0.1552744781606847,0.0921733387186085
1.7,-0.04251502047687251,-0.1414230922899839,0.0989080718131114
1.71,-0.02285327056133688,-0.12747277299635465,0.10461950243501777
1.72,-0.00486688466293696,-0.1140164281799452,0.10914954351700824
1.73,0.010216347074982939,-0.10166293573023714,0.11187928280522008
1.74,0.022147797438855803,-0.09101037807809106,0.11315817551694687
1.75,0.030372479934895585,-0.08261903751143884,0.11299151744633443
1.76,0.03364565418767885,-0.07698538856703559,0.11063104275471444
1.77,0.032427498928645604,-0.07451829835661013,0.10694579728525573
1.78,0.0265414321065919,-0.07551856388094301,0.1020599959875349
1.79,0.015085234783920601,-0.08016278033602622,0.09524801511994682
1.8,-0.000885279530758204,-0.08849235172764479,0.08760707219688658
1.81,-0.02111060490502676,-0.10040823265550808,0.07929762775048133
1.82,-0.04587780252185572,-0.11567173769804114,0.06979393517618541
1.83,-0.07384461036723594,-0.13391148370363148,0.06006687333639554
1.84,-0.10440538435432681,-0.15463625273206769,0.05023086837774088
1.85,-0.1371219769724892,-0.17725329207216342,0.040131315099674214
1.86,-0.17078618478459467,-0.201091315209551,0.030305130424956334
1.87,-0.2046330117668046,-0.225427245616048,0.020794233849243393
1.8800000000000001,-0.23764079646627295,-0.24951556427425894,0.011874767807985992
1.8900000000000001,-0.2690826728318853,-0.2726189906513045,0.00353631781941921
1.9000000000000001,-0.2982777342888872,-0.2940391519069785,-0.004238582381908718
1.9100000000000001,-0.3239545184947621,-0.31314588045949454,-0.010808638035267548
1.92,-0.346049063298515,-0.32940382690747866,-0.016645236391036322
1.93,-0.3641846191993321,-0.3423951821855552,-0.02178943701377689
1.94,-0.377237283694737,-0.35183746541921834,-0.025399818275518682
1.95,-0.3857897079507823,-0.3575955453633962,-0.028194162587386107
1.96,-0.3898861470764747,-0.35968731438717455,-0.030198832689300126
1.97,-0.3888806072972536,-0.35828271364269776,-0.03059789365455584
1.98,-0.383801730749055,-0.35369610386757183,-0.03010562688148316
1.99,-0.3750892773285037,-0.3463722749143478,-0.028717002414155923
2.0,-0.36273424884396294,-0.3368666750354679,-0.025867573808495026
2.0100000000000002,-0.34789459575620224,-0.32582070501205984,-0.0220738907441424
2.02,-0.33124801111972413,-0.3139331502164591,-0.017314860903265006
2.0300000000000002,-0.3133667878523733,-0.301929005002192,-0.011437782850181322
2.04,-0.2952053496514543,-0.29052706982463855,-0.004678279826815734
2.05,-0.2774457501475508,-0.28040776606266987,0.002962015915119076
2.06,-0.2610010111615438,-0.2721826132360959,0.0111816020745521
2.07,-0.24637260811763761,-0.2663667477174978,0.019994139599860183
2.08,-0.2340193196781477,-0.2633557336072379,0.0293364139290902
2.09,-0.2248600493067559,-0.2634077305370315,0.03854768123027558
2.1,-0.21884606209472365,-0.26663184779991145,0.047785785705187794
2.11,-0.21606979804552207,-0.27298323968568583,0.056913441640163764
2.12,-0.21714478169113374,-0.2822651953944065,0.06512041370327273
2.13,-0.22154541274048428,-0.2941381618800126,0.07259274913952835
2.14,-0.22898673273577316,-0.3081353236233081,0.07914859088753493
2.15,-0.23959271974945676,-0.32368406389714394,0.08409134414768718
2.16,-0.2525701550416736,-0.34013236123837476,0.08756220619670113
2.17,-0.2673773464394352,-0.3567789450499188,0.08940159861048358
2.18,-0.28364568255286676,-0.3729058562158558,0.08926017366298905
2.19,-0.30058549088702713,-0.3878119407450227,0.08722644985799555
2.2,-0.3176036164836434,-0.40084575251835997,0.08324213603471659
2.21,-0.3340051346828837,-0.41143635801122497,0.07743122332834129
2.22,-0.3492491273735148,-0.4191206211115302,0.06987149373801538
2.23,-0.36290476152973383,-0.4235656964774212,0.06066093494768737
2.24,-0.3742163138315162,-0.4245856689289967,0.05036935509748047
2.25,-0.3830373940289444,-0.42215153510546977,0.03911414107652539
2.2600000000000002,-0.3892449222153733,-0.4163940206953867,0.0271490984800134
2.27,-0.3922867004123856,-0.40759904880903525,0.015312348396649633
2.2800000000000002,-0.3924202012554087,-0.39619600812995703,0.0037758068745483153
2.29,-0.3898575919263922,-0.3827392983931289,-0.007118293533263265
2.3000000000000003,-0.38442005230833654,-0.3678839406132628,-0.01653611169507374
2.31,-0.37665049983184584,-0.352356316206485,-0.024294183625360843
2.32,-0.36700113484731645,-0.33692132998645274,-0.0300798048608637
2.33,-0.3556889032751086,-0.3223474662218974,-0.03334143705321119
2.34,-0.3433445211086796,-0.3093713162368996,-0.03397320487177996
2.35,-0.3304829310094049,-0.29866319499442595,-0.03181973601497895
2.36,-0.31759596359761866,-0.2907954304203868,-0.026800533177231856
2.37,-0.30519543356924833,-0.2862148038297204,-0.01898062973952791
2.38,-0.2936693115264081,-0.2852204468524517,-0.008448864673956447
2.39,-0.2835766665738183,-0.287948266918684,0.004371600344865723
2.4,-0.27516246688150814,-0.2943626895835476,0.01920022270203947
2.41,-0.2685572612222944,-0.30425618400929155,0.035698922786997156
2.42,-0.26417777385488567,-0.3172566918086375,0.05307891795375186
2.43,-0.2619565555602114,-0.33284272439755325,0.07088616883734183
2.44,-0.2617420017994485,-0.35036554571341233,0.08862354391396382
2.45,-0.2636766770084056,-0.36907753113952524,0.10540085413111966
2.46,-0.26744420122263685,-0.38816550437177766,0.12072130314914081
2.47,-0.27269584057920254,-0.4067876148675288,0.13409177428832625
2.48,-0.2792904765897155,-0.42411214041339595,0.14482166382368045
2.49,-0.2868050239824488,-0.4393564906074136,0.15255146662496483
2.5,-0.2948493906277822,-0.45182465305108654,0.15697526242330434
2.5100000000000002,-0.303105373420443,-0.4609413669258823,0.15783599350543925
2.52,-0.3112088066812915,-0.4662814271766693,0.1550726204953778
2.5300000000000002,-0.3188887377222563,-0.46759271222351395,0.14870397450125766
2.54,-0.3258201308762082,-0.4648117813325751,0.1389916504563669
2.5500000000000003,-0.3318259813113044,-0.45807119405608077,0.12624521274477635
2.56,-0.33685309251475426,-0.4476980507060095,0.11084495819125523
2.57,-0.34072676789681744,-0.4342036250565894,0.09347685715977194
2.58,-0.34350231677610876,-0.4182643426015263,0.07476202582541752
2.59,-0.3453404172655175,-0.4006947334511313,0.05535431618561382
2.6,-0.34629063095056156,-0.3824133422767459,0.03612271132618433
2.61,-0.3465868619179901,-0.3644028934281232,0.017816031510133112
2.62,-0.34649910599155653,-0.34766627384938376,0.0011671678578272227
2.63,-0.3462559703907919,-0.33318009822433375,-0.013075872166458169
2.64,-0.34613614260733877,-0.32184775104572916,-0.024288391561609612
2.65,-0.34635789730305033,-0.314453853186583,-0.031904044116467356
2.66,-0.3471771784864677,-0.31162207346998105,-0.03555510501648662
2.67,-0.34875026525146885,-0.3137780994622404,-0.03497216578922846
2.68,-0.3510960912252665,-0.3211194003484138,-0.02997669087685273
2.69,-0.35429651036671445,-0.3335931655232222,-0.020703344843492233
2.7,-0.35824405793181285,-0.3508834955015842,-0.007360562430228645
2.71,-0.3626927317670835,-0.37240856936465255,0.009715837597569055
2.72,-0.3673790804003878,-0.3973281295054659,0.029949049105078118
2.73,-0.3718691410483252,-0.42456122545881636,0.05269208441049117
2.74,-0.3757085586756363,-0.452813760209196,0.07710520153355971
2.75,-0.3782211040596344,-0.48061500058534695,0.10239389652571257
2.7600000000000002,-0.378691724038587,-0.5063618634174304,0.12767013937884342
2.77,-0.37663110062346206,-0.528369484899515,0.1517383842760529
2.7800000000000002,-0.371026485672217,-0.54492633394665,0.173899848274433
2.79,-0.3610325303773588,-0.5543519507010852,0.19331942032372645
2.8000000000000003,-0.34636373991596286,-0.5550552853571284,0.20869154544116558
2.81,-0.3258822621038882,-0.5455915837192945,0.2197093216154063
2.82,-0.2988342161883804,-0.5247158148043136,0.2258815986159332
2.83,-0.26536101408138524,-0.4914307596312304,0.22606974554984516
2.84,-0.2244912341485967,-0.4450280734278776,0.2205368392792809
2.85,-0.17579912975861767,-0.3851208874377188,0.2093217576791011
2.86,-0.1199769893445514,-0.31166682066172235,0.19168983131717096
2.87,-0.05650789684887612,-0.22498061372403177,0.16847271687515566
2.88,0.014516027812694366,-0.12573596285431174,0.1402519906670061
2.89,0.09188382057759498,-0.014956507312622743,0.10684032789021772
