Results written: Wed Mar 11 23:49:30 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01975981
Contributions  0.01548808
Restraints     0.00427173
Chi2           2.77410086
Reduced Chi2   0.00940373
Rw             0.14029042

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   1.03032689e-02 +/- 1.87589155e+12
Uiso_V_Phase0   3.09811717e-03 +/- 6.10941488e+11
Uiso_Zr_Phase0  2.76754222e-03 +/- 5.76519642e+11
a_Phase0        2.64271572e+01 +/- 8.38888521e+12
delta2_Phase0   2.42686514e+00 +/- 1.98756279e+14
psize_Phase0    1.80831606e+02 +/- 4.85074254e+13
s_Phase0        5.02796722e-01 +/- 4.96100602e+11
x_O0_Phase0     4.04068416e-02 +/- 7.45271412e+12
x_O100_Phase0   9.04619011e-01 +/- 4.55053865e+13
x_O101_Phase0   9.54560583e-02 +/- 1.52559271e+13
x_O102_Phase0   5.97038533e-01 +/- 3.74906768e+13
x_O120_Phase0   2.12743951e-02 +/- 4.44046956e+12
x_O122_Phase0   4.79662123e-01 +/- 3.15737242e+13
x_O124_Phase0   9.78843601e-01 +/- 4.02626304e+13
x_O126_Phase0   5.21445832e-01 +/- 3.75800023e+13
x_O144_Phase0   1.36859105e-01 +/- 2.31546796e+13
x_O146_Phase0   3.62512772e-01 +/- 3.73825662e+13
x_O148_Phase0   8.62950430e-01 +/- 4.12721445e+13
x_O150_Phase0   6.36308047e-01 +/- 4.54556197e+13
x_O151_Phase0   3.63527786e-01 +/- 4.01057353e+13
x_O168_Phase0   7.25625790e-02 +/- 1.27934396e+13
x_O170_Phase0   4.26496709e-01 +/- 3.66285255e+13
x_O172_Phase0   9.25755892e-01 +/- 4.38867162e+13
x_O174_Phase0   5.74978222e-01 +/- 4.67152994e+13
x_O175_Phase0   4.24607405e-01 +/- 4.11179422e+13
x_O181_Phase0   8.68645479e-01 +/- 4.88109252e+13
x_O182_Phase0   6.32238080e-01 +/- 4.65886288e+13
x_O189_Phase0   3.09146925e-01 +/- 3.96870855e+13
x_O192_Phase0   2.13786104e-02 +/- 4.10025493e+12
