Results written: Wed Mar 18 04:44:29 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.03205041
Contributions  0.03097927
Restraints     0.00107113
Chi2           3.54281835
Reduced Chi2   0.00531157
Rw             0.17891426

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
Uiso_O_Phase0   1.67315324e-02 +/- 3.38871468e+12
Uiso_V_Phase0   5.16546734e-03 +/- 1.16149857e+12
Uiso_Zr_Phase0  5.96790059e-03 +/- 1.25132527e+12
a_Phase0        2.64051359e+01 +/- 5.94072202e+12
delta2_Phase0   2.58029518e+00 +/- 9.55141436e+13
psize_Phase0    1.67943258e+02 +/- 3.10085366e+13
s_Phase0        4.92011080e-01 +/- 3.42978966e+11
x_O0_Phase0     4.03506144e-02 +/- 8.74172697e+12
x_O100_Phase0   9.04923516e-01 +/- 3.73683285e+13
x_O101_Phase0   9.51614311e-02 +/- 1.80364756e+13
x_O102_Phase0   5.96714789e-01 +/- 3.73578302e+13
x_O103_Phase0   4.03284488e-01 +/- 3.64064324e+13
x_O120_Phase0   2.09961041e-02 +/- 4.66376625e+12
x_O121_Phase0   9.79004620e-01 +/- 3.80682350e+13
x_O122_Phase0   4.79760431e-01 +/- 3.35637712e+13
x_O123_Phase0   5.20261050e-01 +/- 3.62730274e+13
x_O124_Phase0   9.79042553e-01 +/- 3.52273034e+13
x_O125_Phase0   2.09577379e-02 +/- 4.87558489e+12
x_O126_Phase0   5.21246632e-01 +/- 3.68308991e+13
x_O127_Phase0   4.78753338e-01 +/- 3.63868997e+13
x_O144_Phase0   1.36837300e-01 +/- 2.53614160e+13
x_O145_Phase0   8.63162812e-01 +/- 3.87433712e+13
x_O146_Phase0   3.62539879e-01 +/- 3.55790780e+13
x_O147_Phase0   6.37459680e-01 +/- 3.81572266e+13
x_O148_Phase0   8.62957969e-01 +/- 3.85405248e+13
x_O149_Phase0   1.37041543e-01 +/- 2.55578315e+13
x_O150_Phase0   6.36339588e-01 +/- 3.79091709e+13
x_O151_Phase0   3.63496469e-01 +/- 3.59646184e+13
x_O168_Phase0   7.26830402e-02 +/- 1.52340947e+13
x_O169_Phase0   9.27317007e-01 +/- 3.81534341e+13
x_O170_Phase0   4.26265376e-01 +/- 3.61023336e+13
x_O171_Phase0   5.73734961e-01 +/- 3.70019353e+13
x_O172_Phase0   9.25747903e-01 +/- 3.74679054e+13
x_O173_Phase0   7.42502771e-02 +/- 1.71818799e+13
x_O174_Phase0   5.74959836e-01 +/- 3.91328133e+13
x_O175_Phase0   4.24644494e-01 +/- 3.58485924e+13
x_O181_Phase0   8.68633950e-01 +/- 4.03000987e+13
x_O182_Phase0   6.32238235e-01 +/- 3.86396656e+13
x_O189_Phase0   3.09127148e-01 +/- 3.57624434e+13
x_O192_Phase0   2.13850658e-02 +/- 4.95656463e+12
x_O193_Phase0   9.78611000e-01 +/- 3.85256314e+13
x_O194_Phase0   4.77920741e-01 +/- 3.66421777e+13
x_O195_Phase0   5.22079099e-01 +/- 3.73459092e+13
x_O196_Phase0   9.77734028e-01 +/- 3.83548954e+13
x_O197_Phase0   2.18841760e-02 +/- 5.07797906e+12
x_O198_Phase0   5.22752480e-01 +/- 3.75821918e+13
x_O199_Phase0   4.77246955e-01 +/- 3.75377609e+13
x_O1_Phase0     9.59649468e-01 +/- 3.87484892e+13
x_O205_Phase0   6.87378865e-01 +/- 3.92732114e+13
x_O218_Phase0   1.62695015e-01 +/- 2.82020037e+13
x_O219_Phase0   8.37304795e-01 +/- 3.82647770e+13
x_O224_Phase0   1.58105371e-01 +/- 2.64741545e+13
x_O225_Phase0   8.41894563e-01 +/- 3.77751467e+13
x_O226_Phase0   3.39007424e-01 +/- 3.69668136e+13
x_O227_Phase0   6.60992681e-01 +/- 3.93819540e+13
x_O228_Phase0   8.38831616e-01 +/- 4.00714311e+13
x_O229_Phase0   1.61168362e-01 +/- 2.95903757e+13
x_O230_Phase0   6.58906945e-01 +/- 3.78434389e+13
x_O231_Phase0   3.41093073e-01 +/- 3.50407660e+13
x_O234_Phase0   1.98790744e-03 +/- 5.00402097e+11
x_O235_Phase0   9.98012040e-01 +/- 3.92264076e+13
x_O236_Phase0   9.97503375e-01 +/- 3.95383393e+13
x_O237_Phase0   2.49687601e-03 +/- 5.88299921e+11
x_O248_Phase0   1.64088099e-01 +/- 2.95150301e+13
x_O249_Phase0   8.35911908e-01 +/- 3.83422478e+13
x_O24_Phase0    2.30262533e-02 +/- 5.83245326e+12
x_O250_Phase0   3.37454358e-01 +/- 3.54919245e+13
x_O251_Phase0   6.62448011e-01 +/- 3.80027149e+13
x_O252_Phase0   8.34132103e-01 +/- 3.79087929e+13
x_O253_Phase0   1.65868226e-01 +/- 2.83859570e+13
x_O254_Phase0   6.63230432e-01 +/- 3.77347013e+13
x_O255_Phase0   3.36770101e-01 +/- 3.60130097e+13
x_O25_Phase0    9.76973897e-01 +/- 3.85109806e+13
x_O26_Phase0    4.75886027e-01 +/- 3.69327041e+13
x_O272_Phase0   1.10740048e-02 +/- 2.81371837e+12
x_O273_Phase0   9.88926096e-01 +/- 3.77645089e+13
x_O274_Phase0   4.88575543e-01 +/- 3.64704953e+13
x_O275_Phase0   5.11424023e-01 +/- 3.69385400e+13
x_O276_Phase0   9.88469894e-01 +/- 3.77164421e+13
x_O277_Phase0   1.15295554e-02 +/- 2.72221841e+12
x_O278_Phase0   5.11927690e-01 +/- 3.61264079e+13
x_O279_Phase0   4.88071346e-01 +/- 3.59091528e+13
x_O27_Phase0    5.24114269e-01 +/- 3.77945521e+13
x_O28_Phase0    9.75944729e-01 +/- 3.89888436e+13
x_O296_Phase0   5.85598243e-03 +/- 1.48615444e+12
x_O297_Phase0   9.94144292e-01 +/- 3.65406331e+13
x_O298_Phase0   4.96474757e-01 +/- 3.37539133e+13
x_O299_Phase0   5.03542600e-01 +/- 3.66048293e+13
x_O29_Phase0    2.40550218e-02 +/- 5.52386415e+12
x_O2_Phase0     4.60307596e-01 +/- 3.74970464e+13
x_O300_Phase0   9.94991263e-01 +/- 3.69332399e+13
x_O301_Phase0   5.01005724e-03 +/- 1.15415887e+12
x_O302_Phase0   5.06155262e-01 +/- 3.70100827e+13
x_O303_Phase0   4.93844692e-01 +/- 3.69448661e+13
x_O30_Phase0    5.23804306e-01 +/- 3.76280883e+13
x_O31_Phase0    4.76196075e-01 +/- 3.74689532e+13
x_O320_Phase0   3.58426961e-01 +/- 3.69006493e+13
x_O321_Phase0   6.41573033e-01 +/- 3.98634923e+13
x_O322_Phase0   1.41568336e-01 +/- 2.67660938e+13
x_O323_Phase0   8.58431905e-01 +/- 3.79848380e+13
x_O324_Phase0   6.40912340e-01 +/- 3.78308185e+13
x_O325_Phase0   3.59087583e-01 +/- 3.60134884e+13
x_O326_Phase0   8.58689742e-01 +/- 3.83271567e+13
x_O327_Phase0   1.41310616e-01 +/- 2.58217528e+13
x_O328_Phase0   4.37489353e-01 +/- 3.75580082e+13
x_O329_Phase0   5.62510740e-01 +/- 3.87388554e+13
x_O344_Phase0   1.07056146e-02 +/- 2.75997594e+12
x_O345_Phase0   9.89294582e-01 +/- 3.83125335e+13
x_O346_Phase0   4.89497375e-01 +/- 3.68202637e+13
x_O347_Phase0   5.10502170e-01 +/- 3.67584473e+13
x_O348_Phase0   9.88707147e-01 +/- 3.78395629e+13
x_O349_Phase0   1.12927994e-02 +/- 2.84729994e+12
x_O350_Phase0   5.09153938e-01 +/- 3.71522147e+13
x_O351_Phase0   4.90845776e-01 +/- 3.66868861e+13
x_O368_Phase0   2.35964657e-01 +/- 3.26331598e+13
x_O369_Phase0   7.64035310e-01 +/- 3.82571957e+13
x_O370_Phase0   2.64423806e-01 +/- 3.37347127e+13
x_O371_Phase0   7.35576113e-01 +/- 3.83335159e+13
x_O372_Phase0   7.66873910e-01 +/- 3.82429082e+13
x_O373_Phase0   2.33126100e-01 +/- 3.21999309e+13
x_O374_Phase0   7.32657121e-01 +/- 3.75757586e+13
x_O375_Phase0   2.67341480e-01 +/- 3.35749246e+13
x_O392_Phase0   2.83775087e-01 +/- 3.35775122e+13
x_O393_Phase0   7.16225362e-01 +/- 3.68483070e+13
x_O394_Phase0   2.16476473e-01 +/- 3.10923928e+13
x_O395_Phase0   7.83523334e-01 +/- 3.75515757e+13
x_O396_Phase0   7.18551419e-01 +/- 3.78599822e+13
x_O397_Phase0   2.81447958e-01 +/- 3.33327275e+13
x_O398_Phase0   7.83104456e-01 +/- 3.74883191e+13
x_O399_Phase0   2.16896060e-01 +/- 3.12497245e+13
x_O3_Phase0     5.39693352e-01 +/- 3.72212908e+13
x_O416_Phase0   1.91369728e-01 +/- 2.93766932e+13
x_O417_Phase0   8.08630667e-01 +/- 3.87767615e+13
x_O418_Phase0   3.09895357e-01 +/- 3.42484146e+13
x_O419_Phase0   6.90104170e-01 +/- 3.85102334e+13
x_O420_Phase0   8.09789055e-01 +/- 3.80781901e+13
x_O421_Phase0   1.90211110e-01 +/- 2.95782634e+13
x_O422_Phase0   6.90136508e-01 +/- 3.80452488e+13
x_O423_Phase0   3.09722586e-01 +/- 3.60934408e+13
x_O431_Phase0   2.98672995e-01 +/- 3.52965553e+13
x_O440_Phase0   1.57342565e-01 +/- 2.64106597e+13
x_O441_Phase0   8.42657685e-01 +/- 3.81758312e+13
x_O442_Phase0   3.43588284e-01 +/- 3.62707442e+13
x_O443_Phase0   6.56411988e-01 +/- 3.85541793e+13
x_O444_Phase0   8.43249131e-01 +/- 4.01953506e+13
x_O445_Phase0   1.56750990e-01 +/- 2.72573283e+13
x_O446_Phase0   6.57795882e-01 +/- 3.77618522e+13
