Results written: Wed Mar 11 09:34:44 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01895148
Contributions  0.01893037
Restraints     0.00002111
Chi2           2.86505653
Reduced Chi2   0.00442822
Rw             0.13766231

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O30_Phase0    5.23683443e-01 +/- 4.65974855e+13
x_O31_Phase0    4.76316566e-01 +/- 4.67445443e+13
x_O320_Phase0   3.58468066e-01 +/- 4.68925891e+13
x_O321_Phase0   6.41531934e-01 +/- 5.00995147e+13
x_O322_Phase0   1.41481703e-01 +/- 3.18095222e+13
x_O323_Phase0   8.58518297e-01 +/- 4.74132484e+13
x_O324_Phase0   6.40893562e-01 +/- 4.73157545e+13
x_O325_Phase0   3.59106435e-01 +/- 4.49817736e+13
x_O326_Phase0   8.58697011e-01 +/- 4.76151277e+13
x_O327_Phase0   1.41302991e-01 +/- 3.19216213e+13
x_O328_Phase0   4.37534883e-01 +/- 4.73998343e+13
x_O329_Phase0   5.62465119e-01 +/- 4.86910395e+13
x_O344_Phase0   1.08349618e-02 +/- 3.33871995e+12
x_O345_Phase0   9.89165043e-01 +/- 4.77509786e+13
x_O346_Phase0   4.89323707e-01 +/- 4.63366131e+13
x_O347_Phase0   5.10676292e-01 +/- 4.61203922e+13
x_O348_Phase0   9.88513051e-01 +/- 4.72217335e+13
x_O349_Phase0   1.14869485e-02 +/- 4.00438478e+12
x_O350_Phase0   5.09282645e-01 +/- 4.64674676e+13
x_O351_Phase0   4.90717355e-01 +/- 4.59309609e+13
x_O368_Phase0   2.35951919e-01 +/- 4.07211334e+13
x_O369_Phase0   7.64048089e-01 +/- 4.77878213e+13
x_O370_Phase0   2.64441850e-01 +/- 4.15708628e+13
x_O371_Phase0   7.35558147e-01 +/- 4.78780770e+13
x_O372_Phase0   7.66856896e-01 +/- 4.75830099e+13
x_O373_Phase0   2.33143103e-01 +/- 4.09460521e+13
x_O374_Phase0   7.32572686e-01 +/- 4.69114656e+13
x_O375_Phase0   2.67427301e-01 +/- 4.18398037e+13
x_O392_Phase0   2.83910135e-01 +/- 4.21431431e+13
x_O393_Phase0   7.16089873e-01 +/- 4.59885644e+13
x_O394_Phase0   2.16381607e-01 +/- 4.09168637e+13
x_O395_Phase0   7.83618385e-01 +/- 4.71669657e+13
x_O396_Phase0   7.18568218e-01 +/- 4.73377303e+13
x_O397_Phase0   2.81431789e-01 +/- 4.22230844e+13
x_O398_Phase0   7.83131760e-01 +/- 4.70523051e+13
x_O399_Phase0   2.16868244e-01 +/- 3.92227866e+13
x_O3_Phase0     5.39637560e-01 +/- 4.71270312e+13
x_O416_Phase0   1.91268917e-01 +/- 3.65911799e+13
x_O417_Phase0   8.08731093e-01 +/- 4.80967051e+13
x_O418_Phase0   3.10067992e-01 +/- 4.41316460e+13
x_O419_Phase0   6.89932004e-01 +/- 4.76623617e+13
x_O420_Phase0   8.09948828e-01 +/- 4.80812985e+13
x_O421_Phase0   1.90051176e-01 +/- 3.78996461e+13
x_O422_Phase0   6.90064649e-01 +/- 4.71263960e+13
x_O423_Phase0   3.09748707e-01 +/- 4.59615312e+13
x_O431_Phase0   2.98693626e-01 +/- 4.46996483e+13
x_O440_Phase0   1.57190487e-01 +/- 3.76467235e+13
x_O441_Phase0   8.42809636e-01 +/- 4.79190142e+13
x_O442_Phase0   3.43606251e-01 +/- 4.58990846e+13
x_O443_Phase0   6.56393756e-01 +/- 4.91508307e+13
x_O444_Phase0   8.43256271e-01 +/- 5.04437472e+13
x_O445_Phase0   1.56743734e-01 +/- 3.63332742e+13
x_O446_Phase0   6.57781133e-01 +/- 4.71442258e+13
x_O447_Phase0   3.42133435e-01 +/- 4.56591442e+13
x_O452_Phase0   7.30070222e-02 +/- 2.04181716e+13
x_O453_Phase0   9.26992980e-01 +/- 5.07513835e+13
x_O455_Phase0   4.27982715e-01 +/- 4.83594704e+13
x_O458_Phase0   8.11691334e-01 +/- 5.05153587e+13
x_O459_Phase0   1.88308666e-01 +/- 3.75997825e+13
x_O460_Phase0   6.88036672e-01 +/- 5.01478638e+13
x_O461_Phase0   3.11964514e-01 +/- 4.57253999e+13
x_O464_Phase0   1.02554412e-01 +/- 2.58199788e+13
x_O465_Phase0   8.97445588e-01 +/- 4.70950573e+13
x_O466_Phase0   3.98302652e-01 +/- 4.37625044e+13
x_O467_Phase0   6.01697914e-01 +/- 4.54909839e+13
x_O468_Phase0   8.97676351e-01 +/- 5.03103985e+13
x_O469_Phase0   1.02323655e-01 +/- 2.61786774e+13
x_O470_Phase0   6.02156589e-01 +/- 4.89882425e+13
x_O471_Phase0   3.97843412e-01 +/- 4.70856905e+13
x_O476_Phase0   2.97874079e-01 +/- 4.45735011e+13
x_O477_Phase0   7.02125916e-01 +/- 4.89985021e+13
x_O478_Phase0   7.98366544e-01 +/- 4.90513661e+13
x_O479_Phase0   2.01633457e-01 +/- 3.99253086e+13
x_O48_Phase0    9.01420827e-03 +/- 2.87403969e+12
x_O492_Phase0   2.36422816e-02 +/- 7.20101818e+12
x_O493_Phase0   9.76357725e-01 +/- 4.80133347e+13
x_O494_Phase0   4.75795297e-01 +/- 3.96804998e+13
x_O495_Phase0   5.24216884e-01 +/- 4.61741536e+13
x_O496_Phase0   9.75115056e-01 +/- 4.79777147e+13
x_O497_Phase0   2.48849427e-02 +/- 6.91830055e+12
x_O498_Phase0   5.23907371e-01 +/- 4.60182855e+13
x_O499_Phase0   4.76092627e-01 +/- 4.57014930e+13
x_O49_Phase0    9.90985781e-01 +/- 4.76595954e+13
