25C,60C,70C,75C,80C,85C,90C,95C,100C,105C,111C,117C,122C,154C,209C,264C,318C,372C,427C,481C,536C,590C,644C,650C,655C,661C,666C,672C,677C,688C,699C
-1.0610516784576596e-16,-1.0620063905199935e-16,-1.0623568544416095e-16,0.00010217135719178107,-1.0631226619881866e-16,1.0459831867943556e-05,2.1133230085072996e-05,-1.0633089356238907e-16,2.1441056391636564e-07,-1.0650661850623083e-16,1.270286113366213e-08,1.2703245148086156e-08,1.7965305059734623e-08,-1.0654124079629133e-16,-1.0653077359231957e-16,-1.0649454096318645e-16,1.2696092879438953e-08,5.602298905769108e-05,1.8493843918055728e-05,5.619275444255411e-05,1.0665526866235936e-05,1.06636022962959e-05,-1.0631425113346409e-16,1.2654751830848708e-08,-1.0630740677333306e-16,-1.0630619894507459e-16,1.0661055661963786e-05,-1.06308211992172e-16,-1.0630297806971887e-16,-1.062993545849437e-16,-1.062985493661047e-16
1.3163871499763949e-08,-1.0620063905199919e-16,-1.0623568544416086e-16,4.01364114073656e-05,-1.0631226619881866e-16,1.0890954077071532e-05,2.2116485298974715e-05,-1.06330893562389e-16,1.089216793907737e-05,-1.0650661850623064e-16,-1.0653721494860968e-16,1.3229175941072822e-08,-1.0654164338105947e-16,-1.0654124079629116e-16,1.3227976201718077e-08,-1.0649454096318651e-16,-1.0648045049630125e-16,3.327320110876408e-05,1.0900384779971068e-05,2.192781075712299e-05,-1.0634549235620066e-16,1.3224681778393867e-08,-1.0631425113346396e-16,-1.0631264069578619e-16,-1.0630740677333312e-16,-1.0630619894507462e-16,1.1021122676962381e-05,-1.0630821199217199e-16,-1.0630297806971889e-16,1.322149106296191e-08,-1.062985493661047e-16
0.12855626022427785,0.12891154451786255,0.1289587574219244,0.13003491327022587,0.13045818263014575,0.1312445099050636,0.13116922299344735,0.13105862333062,0.13094800517145083,0.13141646174215052,0.13144818126875396,0.1314521550190043,0.13145364517534644,0.13145314845656642,0.13144023376824965,0.13139552907792645,0.13138417353955797,0.12553772193065435,0.12055926611754188,0.11877213772870182,0.116202268516707,0.11591817076822956,0.11400947914387038,0.11395981526517306,0.1138315030818365,0.11393226681993116,0.11398120730785859,0.11409615901021351,0.1132869328306771,0.11327380998629012,0.1104608004607429
0.1277863071133811,0.12825686798133312,0.1283264641735524,0.12950855980640544,0.12960418186256412,0.13027817406654707,0.1301084789580252,0.12994373362867323,0.12983332845237688,0.1295024845538328,0.1295314350067537,0.12953535081272088,0.1295368192399543,0.12953632976421062,0.1295236033948233,0.12947955057771163,0.12947066660346204,0.12446309280508601,0.1197286318669169,0.11965825181417797,0.11874308851140011,0.11874254207760486,0.10632213283905961,0.10633914460867185,0.10648808273291706,0.1068445915879987,0.1071820950030845,0.10889092699810987,0.1090996784467691,0.10912910409028045,0.11017111413399354
0.1285562602242783,0.12891154451786255,0.12895875742192486,0.1300604908363578,0.12969960464322522,0.13009895431455748,0.13008435070084634,0.13000300058163183,0.1299230115316794,0.12996302346349428,0.1300003582903323,0.13000428827210445,0.13000576201526684,0.13000527076754687,0.12999249832678791,0.1299482860318483,0.1299322593454727,0.12518359820565275,0.12022851998967309,0.11761345723391413,0.11439623263241945,0.11386967293240777,0.11055004653633393,0.11047249032025563,0.11027015779539577,0.1102314189399744,0.11004430651801901,0.10954900637319027,0.10868574113241611,0.1087118449911862,0.10529015676768602
0.12855491413232892,0.12903054035828584,0.12909925704075492,0.13035635299481269,0.12980102045220618,0.12992664106485685,0.12982448464063506,0.1297473521025707,0.12966354448118103,0.1288943947114316,0.12892581174395965,0.12892581804709896,0.1289272795646004,0.12892679239210278,0.12891412590705442,0.1288702803818931,0.12885711834799013,0.1259512671134708,0.12285642662810731,0.12355518990233173,0.12296354968425163,0.12287022945064299,0.12369870019877191,0.1236877717523287,0.1236640155767402,0.12370023669211251,0.1238387836231638,0.12447519035046974,0.12443348636894846,0.12430555538239613,0.12433577373443565
0.12855491413232775,0.12904272270621414,0.1291113902518712,0.13058794480825395,0.13094374777702933,0.13171471957431727,0.13154929697921453,0.13143800969666974,0.13131717745231147,0.13070864140978428,0.13073777975260775,0.13074173202703313,0.13074321412994067,0.13074272009563784,0.13072987520375481,0.1306854121164694,0.1306765271142191,0.1255454534378411,0.12038869625655216,0.12002902771606692,0.11900308967412765,0.1188956571405825,0.11963151991951496,0.11962193203149317,0.11960718923435269,0.11988705327119151,0.12011274239094438,0.12120790181501245,0.12082532073561421,0.12082485720197081,0.11948862724057191
0.1278271807029713,0.12817283362565113,0.1282253883357596,0.12939938339112178,0.12939820736577481,0.1300480474080503,0.1300368957623597,0.12989949754183483,0.1297613822921928,0.13052873777736806,0.130560324674235,0.13056427158409714,0.13056575167529416,0.13056525831156185,0.1305524308545119,0.13050802811856982,0.1304966676829997,0.12509413857603074,0.120976255308511,0.11987379147561332,0.11778769192431138,0.11761153802256255,0.10320878312736823,0.10319514486840274,0.10326034400285684,0.10346780599519691,0.10367615757712953,0.10458015691222534,0.10447696754178927,0.10448968804289728,0.10443156646714669
0.4778878663955152,0.47839349002658266,0.47861230963544477,0.4818748526080113,0.4890011571668325,0.4886264228571663,0.48907398179656275,0.48912781917658954,0.48926993777253613,0.4891494361508601,0.48928995542325737,0.4893047469256156,0.48931029373900037,0.48930844480120445,0.4892603724185447,0.4890939680170201,0.48902925519420737,0.48939915504702347,0.5017273048349408,0.5122127097201726,0.5183102754072718,0.5194268299327633,0.528395793776019,0.5285878979185014,0.5289795794472162,0.5301748501555854,0.5308257174822409,0.5362255579731292,0.537393257782797,0.5374124086628057,0.546677608858379
0.30204162560469117,0.30232191334709707,0.30243266465878454,0.3034929067494554,0.30795073201336776,0.3086295422242994,0.3093718401094906,0.3098049491921841,0.31027417066269974,0.30858330401655976,0.3086719515711701,0.3086812828927064,0.30868478213828576,0.3086836157230931,0.30865328892809424,0.30854831156079143,0.30850748702906344,0.3124572911250809,0.31360580559188367,0.3182704035556781,0.32021720059627784,0.3201361986872442,0.3195727478708395,0.3194820464655665,0.3194087429186087,0.3193899825742512,0.31943867024692385,0.32029916008286063,0.318572554893562,0.31856013494052043,0.3186437609048223
