Results written: Wed Feb 11 20:22:22 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02065118
Contributions  0.02050356
Restraints     0.00014763
Chi2           2.31408499
Reduced Chi2   0.00377502
Rw             0.14368543

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O298_Phase0   4.96026818e-01 +/- 4.05873940e+13
x_O299_Phase0   5.03824948e-01 +/- 4.34051602e+13
x_O29_Phase0    2.48013241e-02 +/- 8.27079407e+12
x_O2_Phase0     4.60467736e-01 +/- 4.09385828e+13
x_O300_Phase0   9.94665343e-01 +/- 4.24832612e+13
x_O301_Phase0   5.45439759e-03 +/- 1.69040619e+12
x_O302_Phase0   5.07987124e-01 +/- 4.11727135e+13
x_O303_Phase0   4.92068376e-01 +/- 4.16259193e+13
x_O307_Phase0   1.84939815e-01 +/- 3.53405344e+13
x_O30_Phase0    5.24119870e-01 +/- 4.16838324e+13
x_O31_Phase0    4.75893873e-01 +/- 4.16995241e+13
x_O320_Phase0   3.58905285e-01 +/- 4.12748134e+13
x_O321_Phase0   6.41094639e-01 +/- 4.40172095e+13
x_O322_Phase0   1.40289243e-01 +/- 3.09721317e+13
x_O323_Phase0   8.59710831e-01 +/- 4.19464997e+13
x_O324_Phase0   6.39843542e-01 +/- 4.17968160e+13
x_O325_Phase0   3.60156689e-01 +/- 3.93102260e+13
x_O326_Phase0   8.59111239e-01 +/- 4.21232231e+13
x_O327_Phase0   1.41317104e-01 +/- 3.02857002e+13
x_O328_Phase0   4.37967333e-01 +/- 4.17683774e+13
x_O329_Phase0   5.62031162e-01 +/- 4.36724577e+13
x_O335_Phase0   4.39781326e-01 +/- 4.26959612e+13
x_O337_Phase0   6.21538488e-01 +/- 4.39316980e+13
x_O344_Phase0   9.26155109e-03 +/- 2.65462191e+12
x_O345_Phase0   9.90738641e-01 +/- 4.21710741e+13
x_O346_Phase0   4.89627677e-01 +/- 4.11597740e+13
x_O347_Phase0   5.10372667e-01 +/- 4.14942370e+13
x_O348_Phase0   9.88326074e-01 +/- 4.19135354e+13
x_O349_Phase0   1.16738408e-02 +/- 3.48798741e+12
x_O350_Phase0   5.08974078e-01 +/- 4.11870052e+13
x_O351_Phase0   4.90957845e-01 +/- 4.08650573e+13
x_O368_Phase0   2.35973643e-01 +/- 3.65273398e+13
x_O369_Phase0   7.64026470e-01 +/- 4.18473934e+13
x_O370_Phase0   2.63985573e-01 +/- 3.82748563e+13
x_O371_Phase0   7.36014625e-01 +/- 4.23012220e+13
x_O372_Phase0   7.66275665e-01 +/- 4.17157531e+13
x_O373_Phase0   2.33724171e-01 +/- 3.65060586e+13
x_O374_Phase0   7.32259343e-01 +/- 4.09102245e+13
x_O375_Phase0   2.67739264e-01 +/- 3.94381096e+13
x_O383_Phase0   3.13316234e-01 +/- 4.06265334e+13
x_O392_Phase0   2.84707607e-01 +/- 3.76401379e+13
x_O393_Phase0   7.15393535e-01 +/- 4.07255717e+13
x_O394_Phase0   2.15346451e-01 +/- 3.55314579e+13
x_O395_Phase0   7.84240334e-01 +/- 4.33471056e+13
x_O396_Phase0   7.19086124e-01 +/- 4.19217480e+13
x_O397_Phase0   2.80916288e-01 +/- 3.86095155e+13
x_O398_Phase0   7.83451938e-01 +/- 4.10921410e+13
x_O399_Phase0   2.16715406e-01 +/- 3.71851037e+13
x_O3_Phase0     5.39691806e-01 +/- 4.11118569e+13
x_O403_Phase0   1.99777974e-01 +/- 3.63624972e+13
x_O407_Phase0   3.01431428e-01 +/- 3.99554485e+13
x_O416_Phase0   1.91283939e-01 +/- 3.54212898e+13
x_O417_Phase0   8.08779232e-01 +/- 4.38325847e+13
x_O418_Phase0   3.10066097e-01 +/- 3.97931291e+13
x_O419_Phase0   6.89927774e-01 +/- 4.22277613e+13
x_O420_Phase0   8.10048475e-01 +/- 4.20992483e+13
x_O421_Phase0   1.90005883e-01 +/- 3.41115841e+13
x_O422_Phase0   6.90029684e-01 +/- 4.20085180e+13
x_O423_Phase0   3.09982629e-01 +/- 4.10128670e+13
x_O425_Phase0   7.01097562e-01 +/- 4.41835414e+13
x_O431_Phase0   2.99091567e-01 +/- 3.94950632e+13
x_O440_Phase0   1.57997029e-01 +/- 3.30113117e+13
x_O441_Phase0   8.41976249e-01 +/- 4.20889271e+13
x_O442_Phase0   3.43089391e-01 +/- 4.03220780e+13
x_O443_Phase0   6.57092800e-01 +/- 4.29561828e+13
x_O444_Phase0   8.42678513e-01 +/- 4.42134678e+13
x_O445_Phase0   1.57136837e-01 +/- 3.32620280e+13
x_O446_Phase0   6.58501444e-01 +/- 4.13777444e+13
x_O447_Phase0   3.41610619e-01 +/- 4.13133352e+13
x_O452_Phase0   7.29526622e-02 +/- 2.02915407e+13
x_O453_Phase0   9.27047443e-01 +/- 4.43042694e+13
x_O455_Phase0   4.27834404e-01 +/- 4.24633411e+13
x_O458_Phase0   8.11555046e-01 +/- 4.43550036e+13
x_O459_Phase0   1.88445054e-01 +/- 3.53116469e+13
x_O460_Phase0   6.87990642e-01 +/- 4.42546362e+13
x_O461_Phase0   3.11999274e-01 +/- 4.06421262e+13
x_O464_Phase0   1.03208554e-01 +/- 2.73063694e+13
x_O465_Phase0   8.96791669e-01 +/- 4.23595754e+13
x_O466_Phase0   3.97670409e-01 +/- 3.88466448e+13
x_O467_Phase0   6.02329351e-01 +/- 3.99355349e+13
x_O468_Phase0   8.97216293e-01 +/- 4.45810692e+13
x_O469_Phase0   1.02783753e-01 +/- 2.59926578e+13
x_O470_Phase0   6.02686689e-01 +/- 4.38421682e+13
x_O471_Phase0   3.97313525e-01 +/- 4.23882950e+13
x_O476_Phase0   2.97626304e-01 +/- 3.97418743e+13
x_O477_Phase0   7.02373411e-01 +/- 4.32664783e+13
x_O478_Phase0   7.98069691e-01 +/- 4.34080920e+13
x_O479_Phase0   2.01930577e-01 +/- 3.61576804e+13
x_O48_Phase0    9.51496429e-03 +/- 2.72067860e+12
x_O492_Phase0   2.43746535e-02 +/- 7.33034257e+12
x_O493_Phase0   9.75641698e-01 +/- 4.23476137e+13
x_O494_Phase0   4.75005289e-01 +/- 4.09552033e+13
x_O495_Phase0   5.25089432e-01 +/- 4.11144474e+13
x_O496_Phase0   9.73866398e-01 +/- 4.27926796e+13
x_O497_Phase0   2.61337426e-02 +/- 7.55855490e+12
x_O498_Phase0   5.24416200e-01 +/- 4.12300510e+13
x_O499_Phase0   4.75583872e-01 +/- 4.10560694e+13
x_O49_Phase0    9.90484831e-01 +/- 4.20900076e+13
x_O4_Phase0     9.59538397e-01 +/- 4.30372106e+13
x_O50_Phase0    4.90343033e-01 +/- 4.10942312e+13
x_O516_Phase0   1.03698110e-01 +/- 2.65531448e+13
x_O517_Phase0   8.96302398e-01 +/- 4.11974587e+13
x_O518_Phase0   3.97124126e-01 +/- 3.97296709e+13
x_O519_Phase0   6.02902425e-01 +/- 4.11883881e+13
x_O51_Phase0    5.09657101e-01 +/- 4.14481843e+13
x_O520_Phase0   8.97128753e-01 +/- 4.22330246e+13
x_O521_Phase0   1.02818360e-01 +/- 2.52244816e+13
x_O522_Phase0   6.03847072e-01 +/- 4.19927573e+13
x_O523_Phase0   3.96152582e-01 +/- 4.01161510e+13
