Results written: Fri Mar  6 16:06:21 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01738092
Contributions  0.01738092
Restraints     0.00000000
Chi2           3.60449438
Reduced Chi2   0.00539595
Rw             0.13183671

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O30_Phase0    5.23575644e-01 +/- 1.02920174e+13
x_O31_Phase0    4.76425095e-01 +/- 1.01653205e+13
x_O320_Phase0   3.58350592e-01 +/- 9.90608716e+12
x_O321_Phase0   6.41649581e-01 +/- 1.04362231e+13
x_O322_Phase0   1.41758509e-01 +/- 7.07082791e+12
x_O323_Phase0   8.58242230e-01 +/- 1.04129064e+13
x_O324_Phase0   6.41090267e-01 +/- 1.03233082e+13
x_O325_Phase0   3.58908566e-01 +/- 9.70952947e+12
x_O326_Phase0   8.58565344e-01 +/- 1.04651999e+13
x_O327_Phase0   1.41433618e-01 +/- 7.26463617e+12
x_O328_Phase0   4.37620591e-01 +/- 1.01680453e+13
x_O329_Phase0   5.62379752e-01 +/- 1.03018893e+13
x_O344_Phase0   1.08465414e-02 +/- 6.66359076e+11
x_O345_Phase0   9.89154188e-01 +/- 1.04642356e+13
x_O346_Phase0   4.89409578e-01 +/- 9.98086521e+12
x_O347_Phase0   5.10590573e-01 +/- 1.02235472e+13
x_O348_Phase0   9.88718178e-01 +/- 1.04045140e+13
x_O349_Phase0   1.12824400e-02 +/- 7.54859044e+11
x_O350_Phase0   5.09231775e-01 +/- 1.01107302e+13
x_O351_Phase0   4.90769607e-01 +/- 9.90806972e+12
x_O368_Phase0   2.35579282e-01 +/- 8.87187375e+12
x_O369_Phase0   7.64421195e-01 +/- 1.04009780e+13
x_O370_Phase0   2.64766047e-01 +/- 9.18040829e+12
x_O371_Phase0   7.35233075e-01 +/- 1.04080765e+13
x_O372_Phase0   7.67185306e-01 +/- 1.03548835e+13
x_O373_Phase0   2.32814443e-01 +/- 8.92451544e+12
x_O374_Phase0   7.32410977e-01 +/- 1.03065848e+13
x_O375_Phase0   2.67589001e-01 +/- 8.73908372e+12
x_O392_Phase0   2.83768047e-01 +/- 9.04605039e+12
x_O393_Phase0   7.16232808e-01 +/- 1.01631881e+13
x_O394_Phase0   2.16374550e-01 +/- 8.48110175e+12
x_O395_Phase0   7.83624856e-01 +/- 1.02207590e+13
x_O396_Phase0   7.18276573e-01 +/- 1.03271268e+13
x_O397_Phase0   2.81719988e-01 +/- 9.11426161e+12
x_O398_Phase0   7.83256967e-01 +/- 1.02297282e+13
x_O399_Phase0   2.16743318e-01 +/- 8.32712569e+12
x_O3_Phase0     5.39791688e-01 +/- 1.02179124e+13
x_O416_Phase0   1.91224153e-01 +/- 7.91581140e+12
x_O417_Phase0   8.08776010e-01 +/- 1.04974767e+13
x_O418_Phase0   3.10089575e-01 +/- 9.57592872e+12
x_O419_Phase0   6.89909796e-01 +/- 1.04124109e+13
x_O420_Phase0   8.09957691e-01 +/- 1.04493305e+13
x_O421_Phase0   1.90040292e-01 +/- 7.75253291e+12
x_O422_Phase0   6.90117292e-01 +/- 1.03243228e+13
x_O423_Phase0   3.09728861e-01 +/- 9.65874725e+12
x_O431_Phase0   2.98632652e-01 +/- 9.46213615e+12
x_O440_Phase0   1.57257220e-01 +/- 7.29073330e+12
x_O441_Phase0   8.42742781e-01 +/- 1.04558983e+13
x_O442_Phase0   3.43656125e-01 +/- 9.93227298e+12
x_O443_Phase0   6.56344139e-01 +/- 1.05006040e+13
x_O444_Phase0   8.43286422e-01 +/- 1.06425084e+13
x_O445_Phase0   1.56714195e-01 +/- 7.09517378e+12
x_O446_Phase0   6.57799053e-01 +/- 1.03257267e+13
x_O447_Phase0   3.42126754e-01 +/- 9.85242646e+12
x_O452_Phase0   7.24385297e-02 +/- 3.96617907e+12
