Results written: Tue Mar  3 12:06:35 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01692013
Contributions  0.01673835
Restraints     0.00018178
Chi2           3.41787230
Reduced Chi2   0.00528265
Rw             0.13006319

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_O30_Phase0    5.23548942e-01 +/- 2.71359737e+13
x_O31_Phase0    4.76451481e-01 +/- 2.70272349e+13
x_O320_Phase0   3.58395057e-01 +/- 2.63204969e+13
x_O321_Phase0   6.41604851e-01 +/- 2.82537154e+13
x_O322_Phase0   1.41637040e-01 +/- 1.96628097e+13
x_O323_Phase0   8.58363277e-01 +/- 2.76850358e+13
x_O324_Phase0   6.40915901e-01 +/- 2.75814255e+13
x_O325_Phase0   3.59083754e-01 +/- 2.56494489e+13
x_O326_Phase0   8.58558036e-01 +/- 2.79157814e+13
x_O327_Phase0   1.41441715e-01 +/- 1.88497494e+13
x_O328_Phase0   4.37454641e-01 +/- 2.68913457e+13
x_O329_Phase0   5.62545556e-01 +/- 2.74846637e+13
x_O344_Phase0   1.10775140e-02 +/- 2.12498909e+12
x_O345_Phase0   9.88923106e-01 +/- 2.77767472e+13
x_O346_Phase0   4.89102314e-01 +/- 2.70928741e+13
x_O347_Phase0   5.10897782e-01 +/- 2.67797624e+13
x_O348_Phase0   9.88417651e-01 +/- 2.76830598e+13
x_O349_Phase0   1.15823619e-02 +/- 2.15327371e+12
x_O350_Phase0   5.09459312e-01 +/- 2.63427546e+13
x_O351_Phase0   4.90541115e-01 +/- 2.67107495e+13
x_O368_Phase0   2.35917773e-01 +/- 2.25461532e+13
x_O369_Phase0   7.64082688e-01 +/- 2.76066790e+13
x_O370_Phase0   2.64740177e-01 +/- 2.46319299e+13
x_O371_Phase0   7.35259626e-01 +/- 2.78316399e+13
x_O372_Phase0   7.67067258e-01 +/- 2.77356300e+13
x_O373_Phase0   2.32932598e-01 +/- 2.29165768e+13
x_O374_Phase0   7.32228843e-01 +/- 2.73860348e+13
x_O375_Phase0   2.67770900e-01 +/- 2.39686453e+13
x_O392_Phase0   2.84128421e-01 +/- 2.39761383e+13
x_O393_Phase0   7.15871768e-01 +/- 2.74156314e+13
x_O394_Phase0   2.16252783e-01 +/- 2.24664009e+13
x_O395_Phase0   7.83746795e-01 +/- 2.72919005e+13
x_O396_Phase0   7.18192064e-01 +/- 2.72340527e+13
x_O397_Phase0   2.81807438e-01 +/- 2.40543965e+13
x_O398_Phase0   7.83487409e-01 +/- 2.71948420e+13
x_O399_Phase0   2.16512545e-01 +/- 2.24725082e+13
x_O3_Phase0     5.39705516e-01 +/- 2.68954596e+13
x_O416_Phase0   1.91044486e-01 +/- 2.22221408e+13
x_O417_Phase0   8.08950031e-01 +/- 2.77556395e+13
x_O418_Phase0   3.10103012e-01 +/- 2.50461549e+13
x_O419_Phase0   6.89896873e-01 +/- 2.78145075e+13
x_O420_Phase0   8.10015734e-01 +/- 2.78754264e+13
x_O421_Phase0   1.89983359e-01 +/- 2.03174194e+13
x_O422_Phase0   6.90049367e-01 +/- 2.76582342e+13
x_O423_Phase0   3.09753901e-01 +/- 2.62332069e+13
x_O431_Phase0   2.98664728e-01 +/- 2.53688144e+13
x_O440_Phase0   1.57269474e-01 +/- 2.10668618e+13
x_O441_Phase0   8.42731020e-01 +/- 2.79059442e+13
x_O442_Phase0   3.43655811e-01 +/- 2.60875072e+13
x_O443_Phase0   6.56344352e-01 +/- 2.79328971e+13
x_O444_Phase0   8.43260032e-01 +/- 2.86339422e+13
x_O445_Phase0   1.56740097e-01 +/- 1.98800420e+13
x_O446_Phase0   6.57730894e-01 +/- 2.76743566e+13
x_O447_Phase0   3.42171162e-01 +/- 2.62417268e+13
x_O452_Phase0   7.24416216e-02 +/- 1.28036300e+13
x_O453_Phase0   9.27558491e-01 +/- 2.86317943e+13
x_O455_Phase0   4.28012272e-01 +/- 2.66884466e+13
x_O458_Phase0   8.11665431e-01 +/- 2.85547900e+13
x_O459_Phase0   1.88334645e-01 +/- 2.09416516e+13
x_O460_Phase0   6.87972975e-01 +/- 2.82715770e+13
x_O461_Phase0   3.12031412e-01 +/- 2.54726054e+13
x_O464_Phase0   1.02643896e-01 +/- 1.39684380e+13
x_O465_Phase0   8.97356289e-01 +/- 2.75193087e+13
x_O466_Phase0   3.98568318e-01 +/- 2.53121222e+13
x_O467_Phase0   6.01432975e-01 +/- 2.66174580e+13
x_O468_Phase0   8.97712514e-01 +/- 2.86196342e+13
x_O469_Phase0   1.02287292e-01 +/- 1.69900688e+13
x_O470_Phase0   6.02075838e-01 +/- 2.79621416e+13
x_O471_Phase0   3.97924168e-01 +/- 2.68660313e+13
x_O476_Phase0   2.97853659e-01 +/- 2.57795148e+13
x_O477_Phase0   7.02146219e-01 +/- 2.80443615e+13
x_O478_Phase0   7.98343743e-01 +/- 2.81245111e+13
